row_model,RN101_clip,RN50_clip,ResNet50-ClusterFit-16K-RotNet_selfsupervised,ResNet50-DeepClusterV2-2x224_selfsupervised,ResNet50-MoCoV2-BS256_selfsupervised,ResNet50-PIRL_selfsupervised,ResNet50-SimCLR_selfsupervised,ResNet50-SwAV-BS4096-2x224_selfsupervised,ViT-B_32_clip,ViT-L_14_clip,coat_lite_tiny_classification,convit_base_classification,convnext_base_classification,crossvit_base_240_classification,cspresnet50_classification,deit_base_patch16_224_classification,eca_nfnet_l0_classification,ghostnet_100_classification,hardcorenas_f_classification,jx_nest_tiny_classification,levit_128_classification,mobilenetv3_large_100_classification,nf_resnet50_classification,pit_ti_224_classification,resnet50_classification,semnasnet_100_classification,swin_large_patch4_window7_224_classification,tnt_s_patch16_224_classification,visformer_small_classification,vit_base_patch16_224_classification,vit_base_patch32_224_classification,xcit_nano_12_p16_224_classification,xcit_nano_12_p8_224_classification
RN101_clip,0.0,0.2414255584880518,2.7983356753013062,1.5841068928871334,1.8565246124610244,2.054028232623377,1.5389631006888127,1.487235684258648,1.0746603452698054,1.0146304796349987,1.57369193184795,1.999775771763636,0.6938519992101675,1.8092876076214548,1.1776040435786133,1.822895402335016,1.1550543830616729,1.9264554827096383,1.8293029851959852,1.431318293583347,1.6591379183810293,1.2323107283177084,1.675877302748539,1.8620834160106288,1.7351464770563645,1.6619512645508792,1.2978260404686657,2.2120965234607013,1.528002475848366,1.8537968240423623,2.151299536092358,2.250730371019639,2.2376744458125515
RN50_clip,0.7251730553001323,0.0,2.995068603546484,1.6878771234973993,1.8882938139941172,2.2309114533342704,1.6503020849788044,1.6737619661677936,1.055245690395683,1.0261761455257048,1.5932042165108928,2.1970383778844877,0.664220738474258,2.0014758452955004,1.35762122158064,1.9965301608589563,1.1603698362177273,2.1344333996783185,1.9648142745447217,1.5178826935727994,1.7965464083498457,1.2874230793770651,1.935823989615958,1.931071999012904,1.876267331220696,1.8908988692916893,1.6179733918795307,2.473195902516597,1.5596410439257866,2.008131696836161,2.404158171066305,2.4430638796015405,2.45605810910832
ResNet50-ClusterFit-16K-RotNet_selfsupervised,0.4244111105672754,0.1373965420003742,0.0,0.1502884238120962,0.3069521113470745,0.250262829694142,0.1328677293938334,0.2541852092029852,0.0,0.0757541447701957,0.126357002563104,0.4735178921043435,0.0,0.3394818836428932,0.3642915681835958,0.2911115939798403,0.0834822213491168,0.7148257382295906,0.5999288772655582,0.0786143597993387,0.2439959128320428,0.149499043153849,0.6468990271445083,0.1750733573529608,0.4282751259016084,0.4254822339407482,0.6165350825928471,0.7244377478147488,0.01640220497144,0.4451754455269636,0.6876193648092812,0.6663002508999334,0.7867669201807388
ResNet50-DeepClusterV2-2x224_selfsupervised,0.598529372410951,0.2185521062091382,1.5386354680699448,0.0,0.6020749594988057,0.765778342864845,0.3040319358185144,0.5516021415430092,0.1942910679145271,0.2587002398407776,0.4336185638715832,0.9835265229071536,0.0751821391669462,0.8458882271719705,0.5189316561911621,0.8291039020464179,0.2201070603294592,1.0055092195397446,0.8875455060560267,0.3986735200713358,0.7650637977176746,0.2798562369387802,0.9515777366905168,0.6673497234065895,0.8105637934066383,0.8490846278697362,0.8936133199013554,1.2411728020512651,0.399126736170837,0.810223572311985,1.226460431209695,1.2044861340188255,1.2230884037285357
ResNet50-MoCoV2-BS256_selfsupervised,0.6266983908677215,0.1747200955887358,1.4510504544878025,0.3578262583816851,0.0,0.7775928744598293,0.4356799109324303,0.7039553945822696,0.1084614079902319,0.2043090657017607,0.2551942110001981,0.9119044831384108,0.0274417997568612,0.8514901373540997,0.6066311729664733,0.8638442876028591,0.1989654888418748,1.0406482685994298,0.818808229693893,0.3820723813028266,0.8656185472381974,0.2819173518631608,1.0647580284227054,0.4439912229610296,0.8106044931125975,0.9346144081451744,0.9347275921942408,1.148240320204044,0.3383688525924597,0.7352248918010265,1.2112240823765053,1.1196094018001226,1.1291611800867931
ResNet50-PIRL_selfsupervised,0.6114480176529558,0.3045837415517702,1.1816071794577514,0.3087756483706059,0.5648388810827107,0.0,0.1695766772102214,0.4645114952245812,0.1296655746834982,0.2230578852116735,0.4134954689761869,0.739420981208978,0.164103151696251,0.6222123308932872,0.5702492732304592,0.5945548694595111,0.2763919339335743,1.0184523865377937,0.8942381627109288,0.2627437556121279,0.7065932510777237,0.378370538047367,0.88363521589927,0.5330813438489752,0.8168861604436302,0.7888678874909161,0.855225403738233,0.9721712057304756,0.2911532107883054,0.6669692385446311,1.018643849935815,0.9920380977317222,0.9581718371060006
ResNet50-SimCLR_selfsupervised,0.7302340040806303,0.3578254915585432,1.6980631975196818,0.4808803596865143,0.8567770359175508,0.8034277955724605,0.0,0.6375270892507992,0.3224073410135677,0.3829230617240373,0.674216150474237,1.123206175272184,0.2236051866493298,0.9536234350942224,0.7164211461284928,0.9298883766182424,0.431967241543953,1.2576475123515607,1.1993240411235533,0.5550974616259925,0.9383249103426738,0.5425971591634653,1.0909784471180115,0.9160028151842,1.0439298300167297,1.0553053490385125,1.104062403854538,1.388550394030732,0.6126644406434085,0.9621567021345,1.3627441624441925,1.4313516284279366,1.337359836018523
ResNet50-SwAV-BS4096-2x224_selfsupervised,0.4274228946145868,0.1302016797116536,1.5682969842929548,0.4773668723751303,0.8739688265315113,0.8472789205509415,0.3864433962149203,0.0,0.242943645749353,0.2808188731697605,0.5884628165019556,0.9368999723631344,0.0589602574009315,0.7323132573065578,0.3521135246680575,0.6761214442471708,0.3635958173055478,1.1407219220073763,1.0692545878180724,0.3871017357567812,0.584112002795699,0.4449652714310037,0.8017429712609161,0.8123878554401447,0.7743405821547462,0.7487680150540665,0.8007825233146217,1.2366569586925564,0.5240523196047828,0.8342176142318376,1.1408836837861551,1.28349574618559,1.2560434408097445
ViT-B_32_clip,1.070497513970345,0.5673353622841422,2.3697617334345686,1.1757057570912472,1.3341247982840727,1.5680829583544575,1.126973606322288,1.298593604093952,0.0,0.4195043193049024,0.8869448903060206,1.523752176414412,0.4277854049606748,1.3604333570925,1.26759772884847,1.3700391920238957,0.6723263306214164,1.7832937808486855,1.5195968422685748,0.8100806614737284,1.3672322930950962,0.8852630882031587,1.749758357995198,1.1137551140556765,1.581570048060284,1.559418734349073,1.3935327809554447,1.9112661896869287,0.8291579248748135,1.4050456848700588,1.8867947794784747,1.8404819448597909,1.8854986444662387
ViT-L_14_clip,1.0453123624753609,0.5731105315539882,2.4803605923445886,1.274959643157322,1.4648171701354258,1.6963199830224571,1.2223340411725818,1.3713135456541838,0.4543490334447266,0.0,1.0444393234702307,1.622879795654283,0.4681583043732242,1.479925672224935,1.2985943626360663,1.494307289538524,0.7977321679809446,1.842384578786792,1.6017216721064305,0.9457703429183316,1.496172878443483,0.9698925876047326,1.7745867185356945,1.3189105161213792,1.6491211938834862,1.6380029979669235,1.4069034100382805,1.9708267174912493,1.0352059422740982,1.4559306165484998,1.9741666207992683,1.9490038917854464,1.950597400975962
