model_1,model_2,layer_1,layer_2,subj_id,n_samples,n_components_source_1,n_components_source_2,n_components_target,pid_method,rng_seed,bias_correction,red,unq1,unq2,syn,bi_mi_1,bi_mi_2,tri_mi
ghostnet_100_classification,jx_nest_tiny_classification,290,148,subj01,10000,100,100,100,tilde,56,True,9.565957270108159,0.4337042613375761,1.3911208789483727,1.1345427973329922,9.999661531445735,10.957078149056532,12.5253252077271
ghostnet_100_classification,pit_ti_224_classification,290,207,subj01,10000,100,100,100,tilde,56,True,9.366122295874117,0.6335392355716181,1.0999168261453853,1.0723197801746842,9.999661531445735,10.466039122019502,12.171898137765805
ghostnet_100_classification,vit_base_patch32_224_classification,290,218,subj01,10000,100,100,100,tilde,56,True,9.030440833803175,0.9692206976425624,0.6340798475666798,1.2372257638583637,9.999661531445735,9.664520681369853,11.870967142870779
ghostnet_100_classification,vit_base_patch16_224_classification,290,197,subj01,10000,100,100,100,tilde,56,True,9.260269420758421,0.739392110687314,0.8860003552198474,1.1796687092068954,9.999661531445735,10.146269775978269,12.065330595872478
ghostnet_100_classification,tnt_s_patch16_224_classification,290,198,subj01,10000,100,100,100,tilde,56,True,8.927667595448847,1.071993935996888,0.7123816757125514,1.1762265536323167,9.999661531445735,9.640049271161399,11.888269760790603
ghostnet_100_classification,crossvit_base_240_classification,290,336,subj01,10000,100,100,100,tilde,56,True,9.218371713690091,0.7812898177556455,1.0512747395919053,1.1601004501407903,9.999661531445735,10.269646453281995,12.21103672117843
ghostnet_100_classification,deit_base_patch16_224_classification,290,205,subj01,10000,100,100,100,tilde,56,True,9.209456976458423,0.7902045549873122,1.0745678017914422,1.1707101977155183,9.999661531445735,10.284024778249865,12.244939530952696
ghostnet_100_classification,levit_128_classification,290,181,subj01,10000,100,100,100,tilde,56,True,9.389901828749675,0.60975970269606,1.185565194208479,1.0187219652986101,9.999661531445735,10.575467022958154,12.203948690952824
ghostnet_100_classification,coat_lite_tiny_classification,290,219,subj01,10000,100,100,100,tilde,56,True,9.620265813410606,0.3793957180351306,1.2986511683016406,1.0211012934432038,9.999661531445735,10.918916981712245,12.31941399319058
ghostnet_100_classification,visformer_small_classification,290,163,subj01,10000,100,100,100,tilde,56,True,9.581211627593875,0.41844990385186165,1.4391418843102617,1.1502877953892803,9.999661531445735,11.020353511904135,12.589091211145277
ghostnet_100_classification,convit_base_classification,290,201,subj01,10000,100,100,100,tilde,56,True,9.123696777133834,0.8759647543118998,0.9545964612569264,1.1882797610805937,9.999661531445735,10.078293238390762,12.142537753783255
ghostnet_100_classification,ViT-B_32_clip,290,53,subj01,10000,100,100,100,tilde,56,True,9.76802167999964,0.23163985144609356,1.7832937808486857,1.1768803120815026,9.999661531445735,11.551315460848327,12.959835624375923
