pc_index,heldout_component_variance,heldout_explained_variance_ratio,heldout_explained_variance_percent,heldout_cumulative_explained_variance_ratio,training_explained_variance_ratio
97,10.534254,0.00089577417,0.089577414,0.7070356,0.0009661244
98,10.9852295,0.0009341226,0.09341226,0.7079697,0.00094472757
99,9.179772,0.0007805966,0.07805966,0.7087503,0.0009234701
100,11.055704,0.00094011537,0.09401154,0.70969045,0.0009180836
101,9.9638405,0.0008472694,0.08472694,0.71053773,0.00090582075
102,9.696971,0.00082457624,0.082457624,0.7113623,0.00088763714
103,9.139681,0.0007771874,0.07771874,0.7121395,0.00088124885
104,9.890488,0.00084103184,0.08410318,0.7129805,0.0008777054
105,9.709708,0.0008256594,0.08256593,0.71380615,0.0008666008
106,9.288292,0.00078982447,0.07898245,0.714596,0.00085057993
107,9.607285,0.0008169498,0.08169498,0.7154129,0.0008497968
108,9.730375,0.0008274168,0.08274168,0.71624035,0.0008367486
109,9.1643305,0.00077928347,0.07792835,0.7170196,0.0008359227
110,9.137262,0.00077698176,0.07769818,0.7177966,0.0008192761
111,8.463654,0.0007197018,0.07197018,0.71851635,0.00081296155
112,8.767862,0.00074557005,0.07455701,0.71926194,0.00080884807
113,8.51943,0.00072444475,0.072444476,0.7199864,0.0008021824
114,8.818676,0.000749891,0.074989095,0.72073627,0.0007843862
115,8.527048,0.00072509254,0.07250925,0.72146136,0.0007816502
116,8.485523,0.0007215615,0.072156146,0.7221829,0.0007721838
117,8.256907,0.0007021213,0.070212126,0.7228851,0.0007676689
118,8.166075,0.0006943974,0.06943974,0.72357947,0.0007614969
119,8.3797865,0.00071257027,0.071257025,0.72429204,0.0007529404
120,7.8326435,0.00066604425,0.06660443,0.72495806,0.00074443256
121,8.742695,0.00074342993,0.074342996,0.7257015,0.0007429225
122,7.9920464,0.000679599,0.0679599,0.7263811,0.00072811317
123,8.520448,0.0007245313,0.072453134,0.7271057,0.0007186084
124,8.2572155,0.0007021475,0.07021475,0.7278078,0.0007127446
125,8.161592,0.00069401617,0.069401614,0.72850186,0.0007081645
126,7.767185,0.0006604781,0.06604781,0.72916234,0.0007009561
127,8.303421,0.00070607656,0.070607655,0.7298684,0.0006913661
128,7.907341,0.0006723961,0.06723961,0.7305408,0.0006893205
129,7.650547,0.0006505598,0.06505598,0.7311914,0.00068380893
130,7.408817,0.0006300044,0.06300044,0.7318214,0.00068236934
131,7.8470097,0.0006672659,0.06672659,0.7324887,0.0006716947
132,7.0736933,0.0006015074,0.06015074,0.7330902,0.0006691202
133,7.347258,0.0006247698,0.062476978,0.733715,0.00066321326
134,7.409768,0.0006300853,0.06300853,0.7343451,0.00065595034
135,6.572262,0.00055886846,0.055886846,0.73490393,0.00064268307
136,6.851921,0.0005826491,0.058264907,0.73548657,0.0006372658
137,6.800134,0.00057824544,0.057824545,0.7360648,0.0006272107
138,7.248504,0.00061637233,0.061637234,0.73668116,0.0006256306
139,6.792096,0.0005775619,0.05775619,0.73725873,0.0006233657
140,6.963242,0.0005921152,0.059211522,0.73785084,0.00061358
141,6.856175,0.00058301084,0.058301084,0.73843384,0.000611495
142,6.566959,0.0005584175,0.05584175,0.7389923,0.0006082889
143,6.7570715,0.00057458365,0.057458363,0.73956686,0.00059945567
144,6.474381,0.0005505452,0.055054523,0.74011743,0.000596197
145,6.6795945,0.0005679954,0.056799542,0.7406854,0.00059301074
146,6.1852446,0.00052595866,0.052595865,0.74121135,0.0005900801
147,6.004205,0.0005105641,0.051056407,0.7417219,0.0005875669
148,6.078684,0.00051689736,0.051689737,0.7422388,0.0005800907
149,6.8374257,0.0005814165,0.05814165,0.74282026,0.0005728568
150,5.717289,0.00048616633,0.048616633,0.74330646,0.00056838937
151,5.6364884,0.0004792955,0.04792955,0.74378574,0.0005655758
152,5.7070904,0.0004852991,0.048529908,0.74427104,0.00056037004
153,6.534093,0.0005556228,0.05556228,0.7448267,0.0005526751
154,5.8027472,0.0004934332,0.04934332,0.7453201,0.0005485873
155,5.6931825,0.00048411643,0.048411645,0.7458042,0.0005431109
156,5.976846,0.00050823763,0.050823763,0.74631244,0.00054157665
157,5.4449005,0.00046300393,0.046300393,0.74677545,0.00053518964
158,6.0429997,0.00051386293,0.051386293,0.7472893,0.000531342
159,5.790315,0.00049237604,0.049237605,0.7477817,0.00053063506
160,5.937213,0.00050486746,0.050486747,0.74828655,0.000525602
161,5.748212,0.00048879586,0.048879586,0.74877536,0.0005222329
162,5.487569,0.00046663222,0.04666322,0.749242,0.0005164722
163,5.589635,0.00047531133,0.04753113,0.7497173,0.0005139595
164,5.3523397,0.0004551331,0.04551331,0.75017244,0.0005073237
165,5.5971003,0.00047594614,0.047594614,0.7506484,0.0005027716
166,5.4307313,0.00046179906,0.046179906,0.7511102,0.00050039735
167,5.134199,0.00043658362,0.04365836,0.7515468,0.0004971064
168,5.52025,0.00046941123,0.046941124,0.7520162,0.0004906356
169,5.4092937,0.00045997612,0.045997612,0.75247616,0.0004890514
170,5.320526,0.00045242783,0.045242783,0.75292856,0.00048650635
171,5.2668853,0.0004478665,0.04478665,0.7533764,0.00048479228
172,5.2542415,0.00044679135,0.044679135,0.7538232,0.0004811332
173,5.179623,0.00044044622,0.04404462,0.75426364,0.00047566846
174,5.0616264,0.00043041244,0.043041244,0.75469404,0.00047374924
175,5.2025647,0.00044239705,0.044239704,0.75513643,0.00047248066
176,4.888722,0.00041570963,0.04157096,0.7555521,0.00046778875
177,4.5653906,0.00038821533,0.038821533,0.7559403,0.00046227674
178,5.0264916,0.0004274248,0.04274248,0.75636774,0.00046126658
179,4.510975,0.0003835881,0.03835881,0.75675136,0.00045785718
180,5.348819,0.00045483367,0.045483366,0.7572062,0.00045579634
181,4.5261884,0.00038488177,0.038488176,0.75759107,0.0004525717
182,4.8763156,0.00041465464,0.041465465,0.75800574,0.0004508663
183,5.0455523,0.00042904558,0.04290456,0.7584348,0.00044505234
184,4.707001,0.0004002571,0.04002571,0.758835,0.00044312733
185,5.0438414,0.0004289001,0.04289001,0.75926393,0.0004423247
186,4.8347507,0.00041112019,0.041112017,0.759675,0.0004387354
187,4.7011104,0.0003997562,0.039975617,0.7600748,0.00043302312
188,4.965434,0.00042223278,0.04222328,0.76049703,0.0004312911
189,5.0651064,0.00043070837,0.043070838,0.76092774,0.0004267963
190,5.0467887,0.00042915074,0.042915072,0.7613569,0.00042325087
191,4.729234,0.00040214768,0.04021477,0.76175904,0.00042161948
192,4.4901195,0.0003818147,0.03818147,0.76214087,0.00041909196
193,4.585525,0.00038992745,0.038992744,0.7625308,0.00041785612
194,4.562571,0.00038797557,0.038797557,0.7629188,0.00041523646
195,4.5203285,0.0003843835,0.03843835,0.76330316,0.0004133593
196,4.086007,0.00034745122,0.034745123,0.7636506,0.00041241228
197,4.2013073,0.00035725572,0.03572557,0.76400787,0.0004095827
198,4.177717,0.00035524974,0.03552497,0.7643631,0.00040567984
199,4.374563,0.00037198843,0.03719884,0.7647351,0.00040467587
200,4.357568,0.00037054325,0.037054326,0.76510566,0.00040103053
201,4.018116,0.00034167815,0.034167815,0.7654473,0.00039996952
202,3.9379728,0.00033486323,0.03348632,0.7657822,0.00039628203
203,4.201819,0.00035729923,0.035729922,0.76613945,0.0003944221
204,3.9930208,0.0003395442,0.03395442,0.766479,0.0003935983
205,4.227392,0.00035947384,0.035947382,0.7668385,0.000390831
206,4.5663524,0.0003882971,0.03882971,0.7672268,0.00038845613
207,4.0907497,0.0003478545,0.03478545,0.76757467,0.00038578446
208,4.4012346,0.00037425643,0.037425645,0.7679489,0.00038413532
209,4.0530267,0.00034464675,0.034464676,0.76829356,0.00038045002
210,3.679396,0.0003128753,0.03128753,0.7686064,0.00037918595
211,3.981596,0.0003385727,0.033857267,0.768945,0.00037594204
212,4.1421733,0.00035222727,0.035222728,0.7692972,0.00037470518
213,3.8495972,0.00032734824,0.032734826,0.76962453,0.0003732379
214,4.2983027,0.00036550366,0.036550365,0.76999,0.00037153665
215,3.4671981,0.00029483117,0.029483117,0.77028483,0.00037045876
216,3.9089062,0.00033239156,0.033239156,0.77061725,0.00036815964
217,3.996866,0.00033987116,0.033987116,0.7709571,0.0003647233
218,3.581517,0.0003045522,0.03045522,0.7712617,0.00036348638
219,4.026034,0.00034235144,0.034235146,0.77160406,0.00036165272
220,3.5495408,0.00030183312,0.030183312,0.7719059,0.00035824647
221,3.4315264,0.00029179786,0.029179785,0.7721977,0.0003572263
222,3.8413503,0.000326647,0.032664698,0.77252436,0.00035554907
223,3.662807,0.00031146465,0.031146465,0.77283585,0.00035358898
224,3.7906804,0.00032233828,0.032233827,0.7731582,0.00035265533
225,3.5592916,0.0003026623,0.030266229,0.77346087,0.00035175684
226,3.6540716,0.00031072184,0.031072184,0.7737716,0.0003500517
227,3.538138,0.0003008635,0.03008635,0.77407247,0.00034783344
228,3.6886609,0.00031366313,0.03136631,0.7743861,0.0003442166
229,3.6171033,0.00030757827,0.030757828,0.77469367,0.0003425391
230,3.6347034,0.00030907488,0.030907487,0.7750027,0.0003403932
231,3.8466618,0.00032709865,0.032709867,0.7753298,0.00034001304
232,3.760031,0.00031973203,0.0319732,0.77564955,0.00033751427
233,3.4631593,0.00029448772,0.029448772,0.77594405,0.00033551553
234,3.7452161,0.00031847227,0.031847227,0.7762625,0.0003344616
235,3.789723,0.00032225688,0.032225687,0.7765848,0.0003321944
236,3.432639,0.00029189244,0.029189244,0.7768767,0.00033006695
237,3.4480665,0.00029320433,0.029320434,0.7771699,0.00032869287
238,3.463254,0.00029449578,0.029449578,0.7774644,0.00032815183
239,3.6040587,0.00030646904,0.030646903,0.7777709,0.00032677627
240,3.4886465,0.00029665502,0.029665502,0.7780675,0.000324767
241,3.261871,0.0002773713,0.02773713,0.7783449,0.00032334725
242,3.3662355,0.00028624586,0.028624587,0.77863115,0.0003224143
243,3.5617242,0.00030286913,0.030286912,0.778934,0.00031921698
244,3.1876109,0.00027105663,0.027105663,0.7792051,0.0003170938
245,3.2495565,0.00027632414,0.027632413,0.7794814,0.000315589
246,3.6105099,0.0003070176,0.030701758,0.77978843,0.00031300483
247,3.5064144,0.0002981659,0.029816588,0.7800866,0.00031245084
248,3.3158376,0.00028196033,0.028196033,0.78036857,0.00030983784
249,3.0946815,0.00026315445,0.026315445,0.7806317,0.0003083481
250,3.4337542,0.0002919873,0.029198729,0.7809237,0.00030652925
251,3.2156518,0.00027344108,0.027344108,0.7811972,0.00030632786
252,3.248182,0.00027620725,0.027620725,0.7814734,0.00030386844
253,3.1610556,0.00026879853,0.026879853,0.7817422,0.00030295868
254,3.170166,0.0002695732,0.026957322,0.7820118,0.00030235102
255,3.1773496,0.00027018407,0.027018407,0.782282,0.00030156728
256,2.9507096,0.00025091186,0.025091186,0.78253293,0.0002997269
257,3.0790977,0.0002618293,0.026182929,0.7827948,0.00029675922
258,2.8333423,0.00024093161,0.02409316,0.7830357,0.00029608028
259,3.2387686,0.00027540678,0.027540678,0.7833111,0.00029540178
260,3.1133916,0.00026474544,0.026474543,0.7835759,0.00029392328
261,3.2994792,0.00028056928,0.028056927,0.78385645,0.00029227947
262,3.0448956,0.00025892092,0.025892092,0.7841154,0.00029157818
263,3.1828227,0.00027064947,0.027064947,0.78438604,0.00029021132
264,3.057722,0.0002600116,0.026001161,0.78464603,0.00028852077
265,3.1545928,0.00026824896,0.026824895,0.78491426,0.00028812024
266,2.758906,0.00023460195,0.023460194,0.78514886,0.0002859064
267,3.1414587,0.0002671321,0.02671321,0.785416,0.00028428843
268,3.0262957,0.00025733927,0.025733927,0.7856733,0.00028334785
269,2.82316,0.00024006575,0.024006575,0.7859134,0.00028220948
270,2.8440275,0.00024184021,0.024184022,0.7861552,0.0002808087
271,2.9221213,0.00024848088,0.024848089,0.7864037,0.0002794545
272,2.999767,0.00025508343,0.025508344,0.7866588,0.00027843143
273,2.851885,0.00024250838,0.024250839,0.78690135,0.00027804245
274,3.0311937,0.00025775578,0.025775578,0.7871591,0.0002770382
275,2.7462878,0.00023352898,0.023352897,0.7873926,0.0002752273
276,2.8465047,0.00024205087,0.024205087,0.7876347,0.00027478876
277,2.6588976,0.0002260978,0.022609781,0.78786075,0.00027397898
278,2.7393234,0.00023293677,0.023293678,0.7880937,0.0002720919
279,2.8187823,0.00023969352,0.023969352,0.78833336,0.0002708518
280,2.7104986,0.00023048566,0.023048567,0.78856385,0.00026980162
281,2.7836277,0.00023670416,0.023670416,0.78880054,0.0002687357
282,2.8769002,0.00024463554,0.024463553,0.78904516,0.00026790658
283,3.0056038,0.00025557977,0.025557976,0.78930074,0.00026739846
284,2.8549993,0.0002427732,0.02427732,0.7895435,0.00026691434
285,2.681163,0.00022799114,0.022799114,0.7897715,0.00026460277
286,2.7193959,0.00023124224,0.023124224,0.79000276,0.0002638964
287,2.6739438,0.00022737724,0.022737725,0.79023015,0.0002626084
288,2.9235404,0.00024860154,0.024860155,0.79047877,0.00026191902
289,2.65278,0.0002255776,0.02255776,0.79070437,0.00025995358
290,2.569379,0.00021848566,0.021848565,0.7909229,0.0002594929
291,2.5254405,0.00021474935,0.021474935,0.79113764,0.00025876402
292,2.583704,0.00021970375,0.021970375,0.79135734,0.00025702556
293,2.7207856,0.00023136042,0.023136042,0.7915887,0.00025650492
294,2.7309937,0.00023222846,0.023222845,0.79182094,0.00025598548
295,2.5209713,0.00021436933,0.021436933,0.79203534,0.00025489766
296,2.6279469,0.00022346593,0.022346593,0.7922588,0.00025365347
297,2.4718833,0.00021019515,0.021019515,0.79246897,0.000252791
298,2.6412697,0.00022459883,0.022459883,0.79269356,0.00025259497
299,2.521402,0.00021440594,0.021440594,0.79290795,0.0002514889
300,2.5183232,0.00021414414,0.021414414,0.7931221,0.0002508915
301,2.5567453,0.00021741135,0.021741135,0.79333955,0.0002494021
302,2.4829879,0.00021113943,0.021113943,0.79355067,0.0002484566
303,2.5797408,0.00021936675,0.021936674,0.79377,0.00024771612
304,2.4128895,0.00020517864,0.020517865,0.7939752,0.00024711515
305,2.4310052,0.00020671911,0.020671912,0.7941819,0.00024609655
306,2.4536834,0.00020864753,0.020864753,0.79439056,0.00024543842
307,2.5919516,0.0002204051,0.02204051,0.794611,0.00024482262
308,2.4327729,0.00020686942,0.020686941,0.79481786,0.0002441273
309,2.5030444,0.00021284491,0.02128449,0.7950307,0.00024291969
310,2.2807312,0.00019394065,0.019394064,0.79522467,0.00024163345
311,2.4332519,0.00020691015,0.020691015,0.79543155,0.00024068399
312,2.4912603,0.00021184287,0.021184286,0.7956434,0.00023930467
313,2.3291314,0.00019805632,0.019805633,0.79584146,0.00023892336
314,2.3479276,0.00019965465,0.019965464,0.79604113,0.00023795333
315,2.6436198,0.00022479867,0.022479868,0.7962659,0.00023712985
316,2.34208,0.00019915741,0.019915741,0.79646504,0.00023604567
317,2.309093,0.00019635237,0.019635238,0.7966614,0.00023553382
318,2.475818,0.00021052973,0.021052973,0.7968719,0.0002346112
319,2.3208356,0.0001973509,0.01973509,0.79706925,0.00023443083
320,2.43335,0.0002069185,0.02069185,0.7972762,0.00023268207
321,2.5464604,0.00021653678,0.021653678,0.79749274,0.00023221632
322,2.2777522,0.00019368733,0.019368732,0.79768646,0.00023067207
323,2.2791314,0.0001938046,0.01938046,0.7978803,0.00023010602
324,2.49709,0.0002123386,0.021233859,0.7980926,0.00022923839
325,2.3990796,0.00020400433,0.020400433,0.79829663,0.00022797211
326,2.4980934,0.00021242391,0.021242391,0.79850906,0.00022701405
327,2.3002667,0.00019560184,0.019560184,0.7987047,0.00022664234
328,2.5254493,0.0002147501,0.021475011,0.79891944,0.00022586717
329,2.240382,0.00019050957,0.019050958,0.79910994,0.00022485647
330,2.1641667,0.00018402866,0.018402865,0.79929394,0.00022420743
331,2.2244813,0.00018915748,0.018915748,0.7994831,0.00022365541
332,2.3716092,0.0002016684,0.02016684,0.79968476,0.00022315962
333,2.2468846,0.00019106251,0.019106252,0.7998758,0.00022187682
334,2.1856656,0.0001858568,0.01858568,0.80006164,0.0002213763
335,2.3065476,0.00019613594,0.019613594,0.8002578,0.00022076325
336,2.1727355,0.00018475729,0.018475728,0.8004426,0.00022021546
337,2.0380256,0.00017330232,0.017330233,0.8006159,0.00021917927
338,2.2357008,0.00019011152,0.019011151,0.80080605,0.00021818919
339,2.2511935,0.00019142893,0.019142892,0.8009975,0.00021784705
340,2.1541376,0.00018317583,0.018317582,0.80118066,0.00021665535
341,2.0662568,0.00017570294,0.017570294,0.8013564,0.0002161127
342,2.012121,0.00017109953,0.017109953,0.8015275,0.00021537469
343,2.0860682,0.00017738758,0.017738758,0.8017049,0.00021496815
344,2.1044455,0.00017895029,0.017895028,0.8018838,0.00021475095
345,2.0826507,0.00017709698,0.017709699,0.8020609,0.00021414523
346,2.2254553,0.0001892403,0.01892403,0.80225015,0.00021355078
347,2.3441377,0.00019933238,0.019933239,0.80244946,0.00021294634
348,2.0536656,0.00017463225,0.017463226,0.8026241,0.00021128976
349,2.0908945,0.00017779799,0.0177798,0.8028019,0.00021071099
350,1.9683628,0.00016737859,0.01673786,0.8029693,0.00021039761
351,2.123978,0.00018061123,0.018061122,0.8031499,0.00020969237
352,2.0779097,0.00017669384,0.017669383,0.80332655,0.00020927897
353,1.8715606,0.00015914706,0.015914707,0.8034857,0.00020840137
354,1.8553402,0.00015776778,0.015776778,0.80364347,0.00020794116
355,2.0866578,0.00017743773,0.017743774,0.8038209,0.0002068093
356,2.0135121,0.00017121783,0.017121784,0.80399215,0.0002065547
357,2.0237536,0.00017208871,0.01720887,0.80416423,0.00020536096
358,2.116438,0.00017997005,0.017997006,0.8043442,0.0002046512
359,2.033984,0.00017295864,0.017295863,0.80451715,0.00020369177
360,1.948438,0.0001656843,0.01656843,0.80468285,0.00020300559
361,1.9100978,0.00016242405,0.016242405,0.8048453,0.00020212874
362,1.9943194,0.0001695858,0.01695858,0.80501485,0.0002014346
363,1.8701829,0.0001590299,0.01590299,0.8051739,0.00020115926
364,2.187302,0.00018599596,0.018599596,0.80535984,0.00020089837
365,1.9579777,0.00016649549,0.01664955,0.8055263,0.0002007672
366,1.8795171,0.00015982364,0.015982363,0.8056861,0.00019977402
367,1.9804336,0.00016840501,0.0168405,0.8058545,0.00019903122
368,2.0018532,0.00017022643,0.017022643,0.80602473,0.000198507
369,2.1504626,0.00018286334,0.018286334,0.8062076,0.00019792307
370,1.9539067,0.00016614932,0.01661493,0.8063738,0.00019786833
371,1.8081354,0.00015375373,0.015375373,0.80652755,0.00019667011
372,1.8946757,0.00016111265,0.016111266,0.80668867,0.00019624949
373,2.0177798,0.00017158073,0.017158072,0.80686027,0.00019546163
374,1.8960562,0.00016123003,0.016123002,0.8070215,0.00019482967
375,1.9759657,0.00016802509,0.016802508,0.8071895,0.00019410602
376,1.9917281,0.00016936543,0.016936544,0.80735886,0.00019323907
377,1.8124611,0.00015412158,0.015412157,0.807513,0.00019300144
378,1.9851024,0.00016880203,0.016880203,0.8076818,0.00019257661
379,1.797174,0.00015282164,0.015282163,0.8078346,0.00019198471
380,1.8053119,0.00015351364,0.015351364,0.80798817,0.00019176265
381,1.8860446,0.00016037871,0.01603787,0.80814856,0.00019056485
382,1.962174,0.00016685232,0.016685233,0.8083154,0.00019032261
383,1.7830575,0.00015162125,0.015162125,0.80846703,0.00018993788
384,1.8442476,0.00015682452,0.015682451,0.80862385,0.00018936429
385,2.0005083,0.00017011205,0.017011205,0.80879396,0.0001885337
386,1.8787247,0.00015975625,0.015975624,0.8089537,0.00018832943
387,1.7681855,0.00015035662,0.015035662,0.8091041,0.00018790824
388,1.8648024,0.00015857238,0.015857238,0.80926263,0.0001874136
389,1.8684069,0.00015887889,0.015887888,0.80942154,0.00018680864
390,1.7510659,0.00014890086,0.014890086,0.80957043,0.00018611
391,1.8670954,0.00015876736,0.015876736,0.8097292,0.00018506595
392,1.7560208,0.00014932221,0.014932221,0.8098785,0.00018461164
393,1.8156967,0.00015439671,0.0154396705,0.8100329,0.00018437358
394,1.7664509,0.00015020912,0.015020912,0.8101831,0.00018390879
395,1.827204,0.00015537522,0.015537523,0.8103385,0.00018327973
396,1.7440271,0.00014830232,0.014830233,0.8104868,0.0001828656
397,1.7176435,0.00014605881,0.014605881,0.8106328,0.00018254714
398,1.7323058,0.0001473056,0.014730561,0.8107801,0.00018196132
399,1.7840915,0.00015170917,0.015170917,0.8109318,0.00018171378
400,1.6763382,0.00014254644,0.0142546445,0.8110744,0.00018138885
401,1.8250966,0.00015519603,0.015519603,0.8112296,0.00018108422
402,1.868613,0.00015889642,0.015889643,0.8113885,0.00018045804
403,1.9765142,0.00016807174,0.016807174,0.8115566,0.00017983082
404,1.7905614,0.00015225935,0.015225935,0.8117088,0.00017903988
405,1.7922976,0.00015240698,0.015240698,0.8118612,0.00017858643
406,1.7054381,0.00014502094,0.014502094,0.81200624,0.00017832013
407,1.7804575,0.00015140016,0.015140017,0.81215763,0.00017774118
408,1.705855,0.00014505639,0.014505639,0.8123027,0.00017731324
409,1.627294,0.000138376,0.013837599,0.8124411,0.00017633235
410,1.5913845,0.00013532245,0.0135322455,0.8125764,0.00017628942
411,1.7371726,0.00014771946,0.014771946,0.8127241,0.00017622522
412,1.7144656,0.00014578858,0.014578858,0.8128699,0.00017568936
413,1.7258046,0.00014675279,0.014675279,0.81301665,0.00017484264
414,1.7179668,0.0001460863,0.01460863,0.81316274,0.0001747795
415,1.6983597,0.00014441903,0.014441903,0.81330717,0.00017409278
416,1.7141613,0.00014576271,0.014576271,0.8134529,0.00017379761
