"case","atom","idep_value","mmi_value"
"Sonic","unique_X1",0.309188589008738,0.278719911220809
"Sonic","unique_X2",0.0304686777879293,0
"Sonic","redundancy",0.0168497592811084,0.0473184370690376
"Sonic","synergy",0.0264558607301827,0.056924538518112
"Shadow","unique_X1",0.309188589008738,0.278719911220809
"Shadow","unique_X2",0.0304686777879293,0
"Shadow","redundancy",0.0168497592811084,0.0473184370690376
"Shadow","synergy",0.0264558607301827,0.056924538518112
