row_model,RN101_clip,RN50_clip,ResNet50-ClusterFit-16K-RotNet_selfsupervised,ResNet50-DeepClusterV2-2x224_selfsupervised,ResNet50-MoCoV2-BS256_selfsupervised,ResNet50-PIRL_selfsupervised,ResNet50-SimCLR_selfsupervised,ResNet50-SwAV-BS4096-2x224_selfsupervised,coat_lite_tiny_classification,convit_base_classification,convnext_base_classification,crossvit_base_240_classification,cspresnet50_classification,deit_base_patch16_224_classification,dino_vitb16_selfsupervised,eca_nfnet_l0_classification,ghostnet_100_classification,hardcorenas_f_classification,jx_nest_tiny_classification,levit_128_classification,mobilenetv3_large_100_classification,nf_resnet50_classification,pit_ti_224_classification,resnet50_classification,semnasnet_100_classification,swin_large_patch4_window7_224_classification,tnt_s_patch16_224_classification,visformer_small_classification,vit_base_patch16_224_classification,vit_base_patch32_224_classification,xcit_nano_12_p16_224_classification,xcit_nano_12_p8_224_classification
RN101_clip,0.0,0.0,1.3918638647526818,0.3618959374851309,0.6549116130015271,0.8511386055987602,0.443155416506241,0.487429769214347,0.3169480158476894,0.4996273321530822,0.1051162209179077,0.4079969177179858,0.4118627197365212,0.4539139714470774,1.2007178007085535,0.1570721535434405,0.6144320217083257,0.8227766284563547,0.3063466996125799,0.49480858186676,0.5043209609977541,1.1072108682039137,0.5188733316408376,0.540156741538131,0.652535561123341,0.575958639702252,0.6529151140652276,0.4118327006145952,0.6197150140546146,0.6030796115156427,0.8124811081798473,0.7054292553161483
RN50_clip,0.079782405606493,0.0,1.3864309786805125,0.3384464975296906,0.6474413838868918,0.8628029149705974,0.4219513500021383,0.4600115474009945,0.2983825537746609,0.5037771134547855,0.0100084331326568,0.4310203338441134,0.4709526031611135,0.4724071827931952,1.258832515986131,0.1687758890675557,0.6506035917182844,0.886302945432961,0.2764558262323886,0.506074809425634,0.5719089137214919,1.1869932738104083,0.5053456174012023,0.6199391471446258,0.7323179667298358,0.6880585835203963,0.6824355611290951,0.4042333822508448,0.6105686633796488,0.6740436918014314,0.8683677532053542,0.7363906441848158
ResNet50-ClusterFit-16K-RotNet_selfsupervised,0.0953898638620733,0.0101745721834092,0.0,0.0,0.1271162309493574,0.0287340206878861,0.0,0.0,0.0,0.0,0.0,0.0,0.1569933191027317,0.0,0.4923002609362683,0.0,0.2459046813710061,0.3190267406496643,0.0,0.0,0.2045845540643016,0.4703832132622141,0.0,0.1589296074449278,0.2164879232583691,0.294945020478095,0.1074874975989486,0.0,0.034260471156414,0.1415167640248249,0.180320147014938,0.1501682171636469
ResNet50-DeepClusterV2-2x224_selfsupervised,0.2233930787756071,0.1201612332136718,1.1579711421810934,0.0,0.4291561195708819,0.6261410390788029,0.2024442543238507,0.2417262830849846,0.0100031599706733,0.1725280511430824,0.0,0.1498029547712782,0.3191763971461574,0.1395377607349708,1.1603398999634136,0.0,0.4242851337517637,0.5992755173426483,0.0262337361173701,0.2756697263611016,0.3361208244172564,0.9687080094943984,0.1558766715121029,0.401653882828616,0.514032702413826,0.5101052888344482,0.4177130657341843,0.0946657879350967,0.3922833990636389,0.4557584274854216,0.5274630141226542,0.4188421878746995
ResNet50-MoCoV2-BS256_selfsupervised,0.0872526347211302,0.0,0.8559312535595645,0.0,0.0,0.3231355264266131,0.0449021835038392,0.1185366466134603,0.0,0.0544406989889658,0.0,0.0573056821577955,0.198833851459848,0.0717578445282915,1.1126670671050274,0.0,0.2946244301340162,0.4415283300777188,0.0,0.1961571876908348,0.2624123912353955,0.7113569828751487,0.0,0.1904738411727429,0.3434859087257935,0.3568282714899897,0.233500354184593,0.0,0.211383854352106,0.2794240962188281,0.3074450752375126,0.2499036459786356
ResNet50-PIRL_selfsupervised,0.0864947078104423,0.0183766115757846,0.5605641237901793,0.0,0.1261506069186948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1334850687708453,0.0,0.8298435063021286,0.0,0.2659854204292582,0.3705452513773846,0.0,0.0743663225134065,0.2342926840868591,0.5423317662653684,0.0,0.1846694473648922,0.2856689903295093,0.3031894814914544,0.1013229473563495,0.0,0.1245012263236908,0.2162285837432733,0.228705161891825,0.1584492279527527
ResNet50-SimCLR_selfsupervised,0.1022083034728691,0.0012218313622716,0.9555268878572338,0.0,0.2716140487508616,0.4236967847549433,0.0,0.0749957294712118,0.054485674876771,0.1335149217807325,0.0,0.0769462053016036,0.216739038623178,0.101580719679335,0.9872999448085285,0.0,0.4117546358116017,0.6213509512435502,0.0,0.2257040328299036,0.3443954886823706,0.7662637551705389,0.1882255012283407,0.3019713931723675,0.4308751637499588,0.4323458160629849,0.3032738995083575,0.1500955957084802,0.2800902546817241,0.357757359515916,0.4572382729292767,0.3516367240288653
ResNet50-SwAV-BS4096-2x224_selfsupervised,0.1072006274198473,0.0,0.916244859096106,0.0,0.3059664830993549,0.3844147559938156,0.0357137007100867,0.0,0.0035856260247966,0.1284562869705467,0.0,0.0506003754527268,0.1502874881525446,0.0307606815975054,0.870515441122242,0.0194306392654493,0.4504043877024086,0.6288753628867045,0.0,0.1314578492752476,0.3941950347347269,0.7509666013871215,0.1315648200629766,0.2676581652534207,0.3846367558724664,0.4410591074376428,0.2553836222713022,0.0963347879897078,0.1914054310893176,0.2944122323221965,0.4349927626834775,0.332200994668959
coat_lite_tiny_classification,0.4132969673448645,0.3149490996653465,1.3928229523877853,0.2448549701773741,0.6640079297775738,0.8609928492854948,0.4917817394073198,0.4801637193164731,0.0,0.3140232443219215,0.1444426654104607,0.366440730647394,0.5607005305567618,0.3583643982930642,1.4544790877424392,0.0,0.5408636242104361,0.7553781132591348,0.1512636726410106,0.4386118622987833,0.5288853939654796,1.2035598197010904,0.3616346459317947,0.6365056930353079,0.7488845126205179,0.5775851648989541,0.6355801216089976,0.1978561706419759,0.6271352092703308,0.6906102376921135,0.762314824329346,0.6072396659507859
convit_base_classification,0.3000863353488956,0.2244537110441093,1.0969330040864236,0.1114899130484214,0.4225586804651779,0.5651029009841331,0.2749210380099196,0.3091444319608616,0.0181332960205482,0.0,0.0435974130784453,0.0187989981053133,0.4173047233226556,0.0386218684624273,1.1943851789790507,0.0,0.4981836425302477,0.6097349759601247,0.0,0.3256562860009424,0.4232980239627002,0.9575369688641312,0.115181210627,0.4359222018052087,0.4859686706839614,0.424851902590273,0.3396901733076358,0.0130971875665348,0.3312452609689691,0.4368335380651684,0.4696757634410264,0.3422030925811876
convnext_base_classification,0.3693946117812805,0.1945044183895348,1.5607523917539767,0.4027812495728877,0.8319373691437786,1.028922288651688,0.6052255038967473,0.6445075326578751,0.3123721047766565,0.5074168007460029,0.0,0.4610450245875155,0.6554485884179879,0.5024412561299849,1.4027082394244728,0.216308118329997,0.7532257747577074,0.9262829505231052,0.2544824556112024,0.5751658193327405,0.646468452590657,1.371489259067281,0.5295640852979906,0.804435132401502,0.9168139519867138,0.7650109300500061,0.8035095609751934,0.4084661544200347,0.7950646486365267,0.8585396770583094,0.930244263695542,0.7786695223555613
crossvit_base_240_classification,0.2112302839938431,0.1544712945134758,1.0997073671664612,0.0915391797566504,0.4281980267140586,0.5678772640641725,0.2211266846108355,0.2340628835230864,0.0733251454260743,0.0215733611853554,0.0,0.0,0.3741594698334607,0.0413962315424827,1.1089954860214393,0.0392137999124031,0.4994200768558494,0.6203002580759645,0.0,0.2372417276783469,0.4248109698422455,0.9104442344797654,0.1208723571351786,0.4254832583289962,0.4557689273991983,0.4283783269801917,0.3424645363876735,0.0598914975205318,0.334019624049013,0.3974946524707983,0.5207875492397696,0.4012752095460747
cspresnet50_classification,0.0206925221819025,0.0,1.062297122438717,0.0665090583010536,0.3753226321856351,0.5069587690045418,0.1665159541019338,0.1393464323924282,0.0731813815049662,0.2256755225722218,0.0,0.1797559060029883,0.0,0.1991970845965145,0.9167632888864964,0.0,0.3368029487284767,0.5536470117260084,0.0742388924103156,0.1998135633369608,0.2247739869964453,0.7160406706492894,0.2552734747562795,0.1556230998782677,0.2978643033627977,0.3629814711132235,0.355366607443413,0.1827643774448093,0.3105532817174508,0.3124611590430177,0.5315689728254389,0.4271294885093208
deit_base_patch16_224_classification,0.2157511061804653,0.1544619119200883,1.0583111356239918,0.0398777541778736,0.4012539575420852,0.5264810325217031,0.2043649674460974,0.1728269581253956,0.0238525815292751,0.0,0.0,0.0,0.3522044168845175,0.0,1.0189366844401828,0.0,0.4594962845380488,0.615087023572154,0.0,0.1772490163921789,0.4126885458831966,0.9038018919109074,0.0899564065876541,0.3924759490336242,0.4384350123084513,0.3930317583452476,0.3010683048452041,0.0,0.2926233925065435,0.3560984209283289,0.4552171300269121,0.3380721339301207
