red,unq1,unq2,syn,bi_mi_1,bi_mi_2,tri_mi,union_info,obj,obj_bias,own_imx_raw_bits,own_imy_raw_bits,own_imxy_raw_bits,own_imx_wishart_bias_bits,own_imy_wishart_bias_bits,own_imxy_wishart_bias_bits,own_imx_wishart_bits,own_imy_wishart_bits,own_imxy_wishart_bits
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.14787161264550885,0.0,0.0,0.14787161264550885,0.14787161264550885,0.14787161264550885,7.907409250831284,7.759537638185775,4.961588998631072,5.180508181232196,10.602476116911257,5.032636568586759,5.032636568586759,10.546829786087995,-0.0710475699556873,0.14787161264543633,0.05564633082326218
0.023918195452889923,0.11967962081387601,0.008148132571474564,0.051601777104456514,0.14359781626676593,0.03206632802436449,0.203347725942697,0.1517459488382405,8.022198818206983,7.870452869368742,5.176234384853455,5.064702896611052,10.750177512030493,5.032636568586759,5.032636568586759,10.546829786087995,0.14359781626669552,0.03206632802429249,0.2033477259424993
0.0,0.0,0.15752143456026335,0.0435865149447805,0.0,0.15752143456026335,0.20110794950504385,0.15752143456026335,8.060571897684257,7.903050463123994,4.996789621736398,5.190158003146951,10.74793773559283,5.032636568586759,5.032636568586759,10.546829786087995,-0.0358469468503614,0.15752143456019202,0.20110794950483538
0.0,0.0,0.001776718799534116,0.0,0.0,0.001776718799534116,0.001776718799534116,0.001776718799534116,7.8597669584787875,7.857990239679253,4.968242603488602,5.034413287386215,10.438432603555313,5.032636568586759,5.032636568586759,10.546829786087995,-0.06439396509815759,0.0017767187994558924,-0.10839718253268174
0.0,0.0,0.0833256711308934,0.0,0.0,0.0833256711308934,0.0833256711308934,0.0833256711308934,7.813081676535971,7.729756005405077,4.831509882811662,5.115962239717582,10.44071008512542,5.032636568586759,5.032636568586759,10.546829786087995,-0.20112668577509815,0.08332567113082281,-0.1061197009625737
0.0031698484870132937,0.005950136479426771,0.08914904756623487,0.03247896606132672,0.009119984966440065,0.09231889605324817,0.13074799859400166,0.09826903253267494,8.025172468997162,7.926903436464487,5.041756553553131,5.124955464639938,10.677577784681802,5.032636568586759,5.032636568586759,10.546829786087995,0.009119984966371302,0.0923188960531785,0.13074799859380654
0.0,0.06735605097301978,0.0,0.0,0.06735605097301978,0.0,0.06735605097301978,0.06735605097301978,7.867257771508161,7.799901720535141,5.099992619559719,4.938002587304863,10.487385892450355,5.032636568586759,5.032636568586759,10.546829786087995,0.06735605097296002,-0.09463398128189576,-0.0594438936376399
0.08122046567174523,0.0669376243617461,0.11518849178840584,0.08601074244545126,0.14815809003349134,0.19640895746015108,0.34935732426734845,0.2633465818218972,8.213577993309661,7.9502314114877635,5.180794658620181,5.229045526046835,10.896187110355136,5.032636568586759,5.032636568586759,10.546829786087995,0.14815809003342129,0.19640895746007564,0.34935732426714106
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8104842821104805,7.8104842821104805,4.9829101034730785,4.954605777213567,10.373373963874947,5.032636568586759,5.032636568586759,10.546829786087995,-0.049726465113680986,-0.07803079137319269,-0.17345582221304873
