experiment_name,random_seed,repeats_per_dimension,channel_gain_scale,optimizer_regularization,time_limit_seconds,repeat_index,target_dimension,source1_dimension,source2_dimension,method,initialization,eigen_imx_bits,eigen_imy_bits,eigen_imxy_bits,eigen_union_bits,eigen_uix_bits,eigen_uiy_bits,eigen_redundancy_bits,eigen_synergy_bits,optimizer_union_bits,optimizer_uix_bits,optimizer_uiy_bits,optimizer_redundancy_bits,optimizer_synergy_bits,optimizer_minus_eigen_union_bits,optimizer_minus_eigen_uix_bits,optimizer_minus_eigen_uiy_bits,optimizer_minus_eigen_redundancy_bits,optimizer_minus_eigen_synergy_bits,constructed_gamma_star_union_bits,gamma_star_union_gap_bits,gamma_star_maximum_singular_value,gamma_star_block_minimum_eigenvalue,gamma_star_posterior_rank,gamma_star_posterior_factor_residual,gamma_star_channel_x_residual,gamma_star_channel_y_residual,gamma_star_degradation_x_spectral_excess,gamma_star_degradation_y_spectral_excess,gamma_star_minimum_information_eigenvalue,initial_objective_bits,best_objective_bits,objective_improvement_bits,initial_unregularized_objective_bits,best_unregularized_objective_bits,unregularized_objective_improvement_bits,first_published_step_change_bits,iterations,objective_evaluations,stopped_by,wall_time_seconds,best_maximum_singular_value,history_minimum_bits,history_maximum_bits,optimizer_updates,converged,right_censored,paired_runs_converged,native_minus_gamma_star_optimizer_updates
exp3,56,5,0.75,1e-07,,0,2,2,2,GPID/Tilde-PID,Original covariance (native start),0.6576426453064571,0.801212511921857,1.313454560476183,1.2563304352611344,0.4551179233392774,0.5986877899546773,0.20252472196717972,0.057124125215048505,1.2563304355158675,0.4551179235940105,0.5986877902094104,0.20252472171244662,0.05712412496031538,2.547331234836747e-10,2.547330679725235e-10,2.547331234836747e-10,-2.547330957280991e-10,-2.547331234836747e-10,1.2563304352611349,4.440892098500626e-16,0.3393674741901994,0.6606325258098008,2,3.0451296131094227e-16,4.306525113371549e-16,1.8382941657589114e-16,2.220446049250313e-16,0.0,0.7634740623375866,12.275953730512938,1.25633040035544,11.019623330157499,20.324402151796317,1.2563304355158675,19.06807171628045,-7.612362866614904,110,109,published_objective_change,0.035337439039722085,0.43618932713165337,1.256330400591191,12.275953730512938,109,True,False,True,81
exp3,56,5,0.75,1e-07,,0,2,2,2,GPID/Tilde-PID,Eigen-PID Gamma* start,0.6576426453064571,0.801212511921857,1.313454560476183,1.2563304352611344,0.4551179233392774,0.5986877899546773,0.20252472196717972,0.057124125215048505,1.2563304352611344,0.45511792333927736,0.5986877899546773,0.20252472196717974,0.057124125215048505,0.0,-5.551115123125783e-17,0.0,2.7755575615628914e-17,0.0,1.2563304352611349,4.440892098500626e-16,0.3393674741901994,0.6606325258098008,2,3.0451296131094227e-16,4.306525113371549e-16,1.8382941657589114e-16,2.220446049250313e-16,0.0,0.7634740623375866,1.2563304001004438,1.2563304001004438,0.0,1.2563304352611344,1.2563304352611344,0.0,2.4672590066554534e-06,29,28,published_objective_change,0.009683473967015743,0.3393674741901994,1.2563304001004438,1.2563328673594505,28,True,False,True,81
exp3,56,5,0.75,1e-07,,0,2,2,2,Thin-PID,Original covariance (native start),0.6576426453064571,0.801212511921857,1.313454560476183,1.2563304352611344,0.4551179233392774,0.5986877899546773,0.20252472196717972,0.057124125215048505,1.2563304352750684,0.45511792335321133,0.5986877899686113,0.20252472195324578,0.05712412520111454,1.393396509286049e-11,1.3933909581709258e-11,1.393396509286049e-11,-1.3933937337284874e-11,-1.393396509286049e-11,1.2563304352611349,4.440892098500626e-16,0.3393674741901994,0.6606325258098008,2,3.0451296131094227e-16,4.306525113371549e-16,1.8382941657589114e-16,2.220446049250313e-16,0.0,0.7634740623375866,26.33176897480374,1.2563304352750684,25.075438539528673,26.33176897480374,1.2563304352750684,25.075438539528673,-21.66815945865423,128,127,published_objective_change,0.027126044034957886,0.43619786166028135,1.2563304352750684,26.33176897480374,127,True,False,True,85
exp3,56,5,0.75,1e-07,,0,2,2,2,Thin-PID,Eigen-PID Gamma* start,0.6576426453064571,0.801212511921857,1.313454560476183,1.2563304352611344,0.4551179233392774,0.5986877899546773,0.20252472196717972,0.057124125215048505,1.2563304352611344,0.45511792333927736,0.5986877899546773,0.20252472196717974,0.057124125215048505,0.0,-5.551115123125783e-17,0.0,2.7755575615628914e-17,0.0,1.2563304352611349,4.440892098500626e-16,0.3393674741901994,0.6606325258098008,2,3.0451296131094227e-16,4.306525113371549e-16,1.8382941657589114e-16,2.220446049250313e-16,0.0,0.7634740623375866,1.2563304352611344,1.2563304352611344,0.0,1.2563304352611344,1.2563304352611344,0.0,2.0496513459811183e-06,43,42,published_objective_change,0.008651520125567913,0.3393674741901994,1.2563304352611344,1.2563324849124804,42,True,False,True,85
exp3,56,5,0.75,1e-07,,1,2,2,2,GPID/Tilde-PID,Original covariance (native start),0.41319576625445836,0.6315642346715915,0.9098578026164403,0.7425162076647343,0.11095197299314258,0.329320441410276,0.3022437932613157,0.16734159495170609,0.7425162093572689,0.11095197468567741,0.32932044310281056,0.3022437915687809,0.16734159325917142,1.6925346679741438e-09,1.6925348345075975e-09,1.6925345569518413e-09,-1.6925347789964462e-09,-1.6925346679741438e-09,0.7425162076647339,-3.3306690738754696e-16,0.7156209387950273,0.28437906120497236,2,0.0,3.4021815010030383e-16,2.951345938942225e-16,4.440892098500626e-16,2.220446049250313e-16,0.30270315098987954,9.870010208386175,0.7425161887653118,9.127494019620864,17.249114942206774,0.7425162093572689,16.506598732849504,-7.401997780749888,86,85,published_objective_change,0.023406367981806397,0.7419827671984766,0.7425161887653118,9.870010208386175,85,True,False,True,61
exp3,56,5,0.75,1e-07,,1,2,2,2,GPID/Tilde-PID,Eigen-PID Gamma* start,0.41319576625445836,0.6315642346715915,0.9098578026164403,0.7425162076647343,0.11095197299314258,0.329320441410276,0.3022437932613157,0.16734159495170609,0.7425162076647343,0.11095197299314274,0.3293204414102759,0.30224379326131556,0.16734159495170609,0.0,1.6653345369377348e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,0.0,0.7425162076647339,-3.3306690738754696e-16,0.7156209387950273,0.28437906120497236,2,0.0,3.4021815010030383e-16,2.951345938942225e-16,4.440892098500626e-16,2.220446049250313e-16,0.30270315098987954,0.7425161870736728,0.7425161870736728,0.0,0.7425162076647343,0.7425162076647343,0.0,1.1688087310224304e-06,25,24,published_objective_change,0.006743348902091384,0.7156209387950273,0.7425161870736728,0.7425176300456492,24,True,False,True,61
exp3,56,5,0.75,1e-07,,1,2,2,2,Thin-PID,Original covariance (native start),0.41319576625445836,0.6315642346715915,0.9098578026164403,0.7425162076647343,0.11095197299314258,0.329320441410276,0.3022437932613157,0.16734159495170609,0.7425162076903168,0.11095197301872528,0.3293204414358584,0.302243793235733,0.16734159492612355,2.5582536089530095e-11,2.558270262298379e-11,2.5582425067227632e-11,-2.5582647111832557e-11,-2.5582536089530095e-11,0.7425162076647339,-3.3306690738754696e-16,0.7156209387950273,0.28437906120497236,2,0.0,3.4021815010030383e-16,2.951345938942225e-16,4.440892098500626e-16,2.220446049250313e-16,0.30270315098987954,23.222339888418823,0.7425162076903168,22.479823680728504,23.222339888418823,0.7425162076903168,22.479823680728504,-20.754306186040562,107,106,published_objective_change,0.023351623909547925,0.7419855972659918,0.742516207747176,23.222339888418823,106,True,False,True,62
exp3,56,5,0.75,1e-07,,1,2,2,2,Thin-PID,Eigen-PID Gamma* start,0.41319576625445836,0.6315642346715915,0.9098578026164403,0.7425162076647343,0.11095197299314258,0.329320441410276,0.3022437932613157,0.16734159495170609,0.7425162076647336,0.11095197299314208,0.3293204414102752,0.30224379326131623,0.16734159495170675,-6.661338147750939e-16,-4.996003610813204e-16,-7.771561172376096e-16,5.551115123125783e-16,6.661338147750939e-16,0.7425162076647339,-3.3306690738754696e-16,0.7156209387950273,0.28437906120497236,2,0.0,3.4021815010030383e-16,2.951345938942225e-16,4.440892098500626e-16,2.220446049250313e-16,0.30270315098987954,0.7425162076647336,0.7425162076647336,0.0,0.7425162076647336,0.7425162076647336,0.0,3.0147173996075693e-06,45,44,published_objective_change,0.009329396998509765,0.7156209387950273,0.7425162076647336,0.7425192223821332,44,True,False,True,62
exp3,56,5,0.75,1e-07,,2,2,2,2,GPID/Tilde-PID,Original covariance (native start),0.9782321941985991,0.5733978429613659,1.2931796693966517,1.1384933998988291,0.5650955569374635,0.16026120570023009,0.4131366372611357,0.1546862694978226,1.1384934002245635,0.5650955572631976,0.1602612060259644,0.4131366369354015,0.15468626917208828,3.2573432839910765e-10,3.2573410635450273e-10,3.2573430064353204e-10,-3.257342173768052e-10,-3.2573432839910765e-10,1.13849339989883,8.881784197001252e-16,0.588850046739975,0.41114995326002485,2,2.254200175437518e-16,4.285528220084457e-16,4.736005471404217e-16,2.220446049250313e-16,0.0,0.3530125178740501,11.754040430258168,1.138493350569256,10.615547079688913,19.261030855654553,1.1384934002245635,18.12253745542999,-7.218840114863051,107,106,published_objective_change,0.03112049913033843,0.7381895612058683,1.138493350569256,11.754040430258168,106,True,False,True,78
exp3,56,5,0.75,1e-07,,2,2,2,2,GPID/Tilde-PID,Eigen-PID Gamma* start,0.9782321941985991,0.5733978429613659,1.2931796693966517,1.1384933998988291,0.5650955569374635,0.16026120570023009,0.4131366372611357,0.1546862694978226,1.1384933998988294,0.5650955569374635,0.16026120570023028,0.4131366372611356,0.15468626949782238,2.220446049250313e-16,0.0,1.942890293094024e-16,-1.1102230246251565e-16,-2.220446049250313e-16,1.13849339989883,8.881784197001252e-16,0.588850046739975,0.41114995326002485,2,2.254200175437518e-16,4.285528220084457e-16,4.736005471404217e-16,2.220446049250313e-16,0.0,0.3530125178740501,1.1384933502447114,1.1384933502447114,0.0,1.1384933998988294,1.1384933998988294,0.0,2.6191963298227705e-06,29,28,published_objective_change,0.009489823831245303,0.588850046739975,1.1384933502447114,1.1384959694410413,28,True,False,True,78
