pc_index,heldout_component_variance,heldout_explained_variance_ratio,heldout_explained_variance_percent,heldout_cumulative_explained_variance_ratio,training_explained_variance_ratio
97,10.534249,0.00089577376,0.08957738,0.7070356,0.0009661247
98,10.98523,0.00093412265,0.093412265,0.7079697,0.0009447277
99,9.179763,0.00078059576,0.07805958,0.7087503,0.00092346984
100,11.055699,0.00094011496,0.09401149,0.70969045,0.0009180836
101,9.963852,0.0008472703,0.084727034,0.71053773,0.00090582075
102,9.696977,0.00082457677,0.08245768,0.7113623,0.0008876373
103,9.139681,0.0007771874,0.07771874,0.7121395,0.00088124885
104,9.890505,0.0008410333,0.08410333,0.7129805,0.0008777054
105,9.709705,0.00082565914,0.08256591,0.71380615,0.0008666008
106,9.288171,0.00078981416,0.078981414,0.714596,0.00085058034
107,9.607396,0.0008169593,0.08169593,0.7154129,0.0008497968
108,9.730386,0.00082741765,0.08274177,0.71624035,0.000836749
109,9.164339,0.0007792842,0.077928424,0.7170196,0.0008359232
110,9.137253,0.00077698095,0.0776981,0.7177966,0.0008192761
111,8.463666,0.0007197029,0.07197029,0.71851635,0.00081296155
112,8.767857,0.0007455696,0.07455696,0.71926194,0.0008088485
113,8.519428,0.00072444463,0.07244446,0.7199864,0.0008021824
114,8.818681,0.0007498914,0.07498914,0.72073627,0.00078438583
115,8.52706,0.00072509353,0.072509356,0.72146136,0.00078165036
116,8.485491,0.00072155875,0.07215588,0.7221829,0.000772184
117,8.256944,0.0007021244,0.07021244,0.7228851,0.00076766935
118,8.166069,0.0006943969,0.069439694,0.72357947,0.0007614969
119,8.379777,0.00071256945,0.07125694,0.72429204,0.00075294054
120,7.8326435,0.00066604425,0.06660443,0.72495806,0.0007444326
121,8.7427,0.00074343034,0.07434303,0.7257015,0.00074292277
122,7.992039,0.00067959836,0.06795984,0.7263811,0.00072811363
123,8.520452,0.0007245316,0.072453156,0.7271057,0.0007186086
124,8.257256,0.0007021509,0.07021509,0.7278078,0.0007127449
125,8.161573,0.00069401466,0.069401465,0.72850186,0.00070816424
126,7.7671747,0.00066047715,0.06604771,0.72916234,0.0007009559
127,8.303378,0.0007060729,0.07060729,0.7298684,0.0006913658
128,7.9073625,0.00067239796,0.0672398,0.7305408,0.0006893204
129,7.6505527,0.0006505603,0.06505603,0.7311914,0.00068380864
130,7.4088297,0.0006300055,0.06300055,0.7318214,0.000682369
131,7.847,0.0006672651,0.066726506,0.7324887,0.0006716944
132,7.0736785,0.0006015061,0.06015061,0.7330902,0.0006691199
133,7.347259,0.0006247699,0.06247699,0.733715,0.000663213
134,7.4097743,0.0006300858,0.063008584,0.7343451,0.00065595
135,6.5722632,0.0005588686,0.055886857,0.73490393,0.0006426829
136,6.8519154,0.0005826486,0.058264863,0.73548657,0.00063726533
137,6.800133,0.0005782454,0.057824537,0.7360648,0.00062721025
138,7.2484994,0.0006163719,0.061637193,0.73668116,0.0006256302
139,6.792114,0.0005775634,0.057756342,0.73725873,0.0006233652
140,6.963259,0.0005921167,0.059211668,0.73785084,0.0006135797
141,6.8561645,0.00058300997,0.058300998,0.73843384,0.00061149517
142,6.566945,0.00055841636,0.055841636,0.7389923,0.0006082889
143,6.7570844,0.0005745847,0.05745847,0.73956686,0.000599456
144,6.474367,0.000550544,0.0550544,0.74011743,0.000596197
145,6.679586,0.00056799466,0.056799468,0.7406854,0.000593011
146,6.1852393,0.0005259582,0.05259582,0.74121135,0.0005900802
147,6.0041933,0.0005105631,0.051056307,0.7417219,0.0005875669
148,6.0786686,0.000516896,0.051689602,0.7422388,0.0005800903
149,6.8374457,0.0005814182,0.058141824,0.74282026,0.0005728568
150,5.717289,0.00048616633,0.048616633,0.74330646,0.0005683891
151,5.636469,0.00047929384,0.047929384,0.74378574,0.00056557567
152,5.707098,0.00048529974,0.048529975,0.74427104,0.00056037004
153,6.5340886,0.0005556224,0.05556224,0.7448267,0.0005526751
154,5.8027496,0.00049343344,0.049343344,0.7453201,0.0005485873
155,5.6931868,0.0004841168,0.048411682,0.7458042,0.00054311106
156,5.976852,0.0005082381,0.050823808,0.74631244,0.00054157665
157,5.444884,0.0004630025,0.04630025,0.74677545,0.00053518964
158,6.042911,0.0005138554,0.051385544,0.7472893,0.000531342
159,5.7903953,0.00049238285,0.049238287,0.7477817,0.0005306353
160,5.9372234,0.00050486834,0.050486833,0.74828655,0.00052560185
161,5.7482,0.0004887948,0.04887948,0.74877536,0.0005222328
162,5.48757,0.0004666323,0.046663232,0.749242,0.0005164722
163,5.5896373,0.00047531154,0.047531154,0.7497173,0.0005139595
164,5.352346,0.00045513362,0.04551336,0.75017244,0.00050732354
165,5.597091,0.0004759454,0.04759454,0.7506484,0.0005027714
166,5.430732,0.0004617991,0.04617991,0.7511102,0.00050039735
167,5.134193,0.0004365831,0.04365831,0.7515468,0.0004971066
168,5.5202427,0.00046941062,0.04694106,0.7520162,0.0004906354
169,5.409301,0.00045997673,0.04599767,0.75247616,0.0004890515
170,5.32053,0.00045242815,0.045242816,0.75292856,0.00048650595
171,5.26689,0.0004478669,0.04478669,0.7533764,0.0004847922
172,5.254238,0.00044679106,0.044679105,0.7538232,0.0004811332
173,5.179611,0.0004404452,0.04404452,0.75426364,0.00047566823
174,5.0616226,0.00043041212,0.043041214,0.75469404,0.00047374924
175,5.202562,0.00044239682,0.04423968,0.75513643,0.0004724807
176,4.8887353,0.00041571076,0.041571077,0.7555521,0.00046778875
177,4.5653853,0.0003882149,0.03882149,0.7559403,0.00046227666
178,5.0264974,0.00042742526,0.042742524,0.75636774,0.00046126702
179,4.51097,0.0003835877,0.03835877,0.75675136,0.00045785718
180,5.348814,0.00045483327,0.04548333,0.7572062,0.0004557965
181,4.5261884,0.00038488177,0.038488176,0.75759107,0.0004525717
182,4.876324,0.00041465537,0.041465536,0.75800574,0.0004508663
183,5.0455647,0.00042904663,0.042904664,0.7584348,0.00044505237
184,4.7070165,0.0004002584,0.04002584,0.758835,0.0004431277
185,5.043811,0.0004288975,0.04288975,0.75926393,0.00044232464
186,4.83475,0.00041112016,0.041112017,0.759675,0.0004387358
187,4.701127,0.00039975758,0.03997576,0.7600748,0.00043302297
188,4.96541,0.00042223075,0.042223074,0.76049703,0.00043129106
189,5.065106,0.0004307083,0.04307083,0.76092774,0.0004267963
190,5.046775,0.00042914954,0.042914953,0.7613569,0.00042325072
191,4.729228,0.00040214715,0.040214714,0.76175904,0.00042161957
192,4.490123,0.00038181496,0.038181495,0.76214087,0.000419092
193,4.585524,0.00038992736,0.038992736,0.7625308,0.00041785598
194,4.56257,0.00038797548,0.03879755,0.7629188,0.00041523675
195,4.520331,0.0003843837,0.03843837,0.76330316,0.0004133593
196,4.086007,0.00034745122,0.034745123,0.7636506,0.00041241228
197,4.201317,0.00035725653,0.035725653,0.76400787,0.00040958248
198,4.1777296,0.00035525078,0.03552508,0.7643631,0.00040567998
199,4.3745437,0.00037198677,0.037198678,0.7647351,0.00040467587
200,4.3575835,0.00037054456,0.037054457,0.76510566,0.0004010304
