row_model,RN101_clip,RN50_clip,ResNet50-ClusterFit-16K-RotNet_selfsupervised,ResNet50-DeepClusterV2-2x224_selfsupervised,ResNet50-MoCoV2-BS256_selfsupervised,ResNet50-PIRL_selfsupervised,ResNet50-SimCLR_selfsupervised,ResNet50-SwAV-BS4096-2x224_selfsupervised,coat_lite_tiny_classification,convit_base_classification,convnext_base_classification,crossvit_base_240_classification,cspresnet50_classification,deit_base_patch16_224_classification,dino_resnet50_selfsupervised,dino_vitb16_selfsupervised,eca_nfnet_l0_classification,ghostnet_100_classification,hardcorenas_f_classification,jx_nest_tiny_classification,levit_128_classification,mobilenetv3_large_100_classification,nf_resnet50_classification,pit_ti_224_classification,resnet50_classification,semnasnet_100_classification,swin_large_patch4_window7_224_classification,tnt_s_patch16_224_classification,visformer_small_classification,vit_base_patch16_224_classification,vit_base_patch32_224_classification,xcit_nano_12_p16_224_classification,xcit_nano_12_p8_224_classification
RN101_clip,0.0,0.0,1.3918671585334792,0.3619294722532657,0.6549207894537759,0.8511457086404368,0.4431586093572317,0.4874526636959508,0.3169497650372337,0.4996304396826323,0.1051350785329328,0.4080205163990733,0.4118707572088835,0.4539188062352481,0.2255426437212371,1.200722087482733,0.1571455048484482,0.6144420170714495,0.8228033656362959,0.306368759771467,0.4948177738017936,0.5043222811893742,1.1072108682039137,0.5188770804738354,0.540156741538131,0.652535561123341,0.5759687421198185,0.652942233846308,0.4118450710587034,0.6197529715690839,0.6030816572694055,0.8124832252621434,0.7054334388051853
RN50_clip,0.079782405606493,0.0,1.386434715303957,0.3384542593770074,0.6474413838868918,0.8628298558764804,0.421968654735287,0.4600115474009945,0.2983866418028071,0.5037818216274808,0.010013081976071,0.4310246414662684,0.4709526031611135,0.4724084305379072,0.1790339790342425,1.2588332176948729,0.1687784617376682,0.6506085476104682,0.8862900807619312,0.2764628750471338,0.5060782346057602,0.5719105030655127,1.1869932738104083,0.5053492897915985,0.6199391471446258,0.7323179667298358,0.6880803570012617,0.6824400218447586,0.4042378968443199,0.6105686633796488,0.6740436918014314,0.8683747656573209,0.7364030359832867
ResNet50-ClusterFit-16K-RotNet_selfsupervised,0.0953931576428708,0.0101783088068536,0.0,0.0,0.1271204293241421,0.0287409355933894,0.0,0.0,0.0,0.0,0.0,0.0,0.1569988787864327,0.0,0.0,0.4923030152536016,0.0,0.2459071293285086,0.3190583736690655,0.0,0.0,0.2045870455582799,0.4704202136776798,0.0,0.1589306907019763,0.2164895129741131,0.2949518421994437,0.1074906993238578,0.0,0.0342809525768368,0.1415183281394512,0.1803353844226745,0.1501769851457961
ResNet50-DeepClusterV2-2x224_selfsupervised,0.2234266135437419,0.1201689950609887,1.1579711421810934,0.0,0.4291561195708819,0.6261410390788029,0.2024442543238507,0.2417262830849846,0.0100293507936291,0.1725539598283996,0.0,0.1497836103734116,0.3191818005258469,0.1395414178731693,0.0,1.160350259937731,0.0,0.4242878912933783,0.5993339225823116,0.0262431657237431,0.2756733048198265,0.3361640346470942,0.9687080094943984,0.1558852938442694,0.401653882828616,0.514032702413826,0.5101251251236398,0.4177315084637829,0.0946700681750378,0.3922833990636389,0.4557584274854216,0.5274630141226542,0.4188576266159867
ResNet50-MoCoV2-BS256_selfsupervised,0.0872618111733789,0.0,0.8559354519343492,0.0,0.0,0.3231708207206099,0.0449109838224082,0.1185668143698759,0.0,0.0544460271453592,0.0,0.0573124422586293,0.1988361920652144,0.0717603904067827,0.0,1.1126876870202729,0.0,0.2946299622355415,0.4415321119453566,0.0,0.1961587040955406,0.2624145970568889,0.7113605654165847,0.0,0.1904781316207868,0.3434905211268706,0.35683274102285,0.2335312399371067,0.0,0.2113877341863288,0.2794322357227843,0.3074519431744127,0.2499112110147914
ResNet50-PIRL_selfsupervised,0.0865018108521189,0.0184035524816676,0.5605710386956826,0.0,0.1261859012126915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133527907663546,0.0,0.0,0.8298444385359671,0.0,0.2659884609113039,0.3705476792657896,0.0,0.0743700325565379,0.2342960379309193,0.5423657355988967,0.0,0.1846807584510106,0.2856978069256071,0.3031930117434678,0.101329748599789,0.0,0.124515251222439,0.2162428212947951,0.2287109527340431,0.1584533649861343
ResNet50-SimCLR_selfsupervised,0.1022114963238598,0.0012391360954202,0.9555268878572338,0.0,0.2716228490694305,0.4236967847549433,0.0,0.0750237924685066,0.0545050450581729,0.1335206137354081,0.0,0.0769483224828659,0.2167413535355802,0.1015852017838145,0.0,0.9873104882894568,0.0,0.4117567397714543,0.6213521012237315,0.0,0.2257008136475926,0.3444003587105619,0.7662637551705389,0.1882271819366474,0.3019756807015419,0.4308766034575351,0.4323469358177734,0.3032880614622044,0.1501088896334126,0.2801447405662358,0.3577701938720086,0.4572404427992653,0.3516396331174416
ResNet50-SwAV-BS4096-2x224_selfsupervised,0.1072235219014512,0.0,0.916244859096106,0.0,0.3059966508557705,0.3844147559938156,0.0357417637073815,0.0,0.0035893111017708,0.1284606649375161,0.0,0.0506086460205175,0.1503145522151703,0.03074804619445,0.0,0.8705179608624452,0.019432404534923,0.4504275148711203,0.6288887353791832,0.0,0.1314787799114682,0.3942075436638621,0.7509783394101648,0.1315670295557138,0.2676755571102731,0.3846398568401481,0.4410712023730543,0.2553917659051858,0.0963385863842374,0.191407941104174,0.2944476185371441,0.4350108386238025,0.3322124159305346
coat_lite_tiny_classification,0.4132987165344088,0.3149531876934928,1.3928229523877853,0.2448811610003298,0.6640079297775738,0.8609928492854948,0.4918011095887218,0.4801674043934474,0.0,0.314034988262077,0.1444731013660058,0.3664489801991468,0.5607088174544135,0.3583644526909477,0.0176566504901085,1.4544870972029005,0.0,0.5408860548805299,0.7553781132591348,0.1512589085874411,0.4386244475026046,0.5289250484495467,1.2035598197010904,0.3616346459317947,0.6365056930353079,0.7488845126205179,0.5776200603335155,0.6355801216089976,0.1978603183123439,0.6271352092703308,0.6906102376921135,0.762314824329346,0.6072396659507859
convit_base_classification,0.3000894428784457,0.2244584192168046,1.0969330040864236,0.1115158217337386,0.4225640086215714,0.5651029009841331,0.2749267299645952,0.309148809927831,0.0181450399607037,0.0,0.043634765388977,0.0188048169921044,0.4173063145069315,0.0386218684624273,0.0015875631955211,1.1943876850543784,0.0,0.4982093094037569,0.6097470640629084,0.0,0.3256721299229204,0.4233004586869038,0.9575399446451848,0.1151931327513597,0.4359408382407332,0.4859729423539276,0.4248334841243348,0.3396901733076358,0.013122954933828,0.3312452609689691,0.4368421500178048,0.4696823171426585,0.3422061897406019
