R²_A,R²_B,R²_AB,unique_A,unique_B,common,unexplained,suppression_strength,snr,mixing_dimension,rng_seed
-0.05223133601373824,-0.19751165137418045,-0.11148140791759975,0.0860302434565807,-0.05925007190386151,-0.13826157947031895,1.1114814079175996,0.3,0.5,,1
0.03326272423076207,-0.003982151771848212,0.030736615571888202,0.03471876734373641,-0.002526108658873868,-0.0014560431129743458,0.9692633844281118,0.3,0.5,30,1
0.0379585678734468,-0.006809947311039606,0.0335831343060494,0.04039308161708901,-0.004375433567397398,-0.0024345137436422096,0.9664168656939506,0.3,0.5,50,1
0.03770658538604188,-0.013369859776526412,0.026930201467593333,0.04030006124411974,-0.010776383918448547,-0.0025934758580778636,0.9730697985324067,0.3,0.5,100,1
0.040496920926459824,-0.03343303740460664,0.010173125090187966,0.043606162494794605,-0.030323795836271858,-0.0031092415683347807,0.989826874909812,0.3,0.5,250,1
0.02539693753449204,-0.06905869331236565,-0.043671422037126005,0.025387271275239646,-0.06906835957161804,9.666259252395781e-06,1.043671422037126,0.3,0.5,500,1
-0.03204343230160231,-0.1485574273543358,-0.20993123821022738,-0.06137381085589158,-0.17788780590862507,0.02933037855428927,1.2099312382102274,0.3,0.5,1000,1
0.21023540866760235,-0.1945926881912353,0.15545911396263926,0.35005180215387455,-0.05477629470496309,-0.1398163934862722,0.8445408860373608,0.3,1.0,,1
0.08080408119123457,-0.0037436433704868934,0.08043210857444981,0.0841757519449367,-0.00037197261678476035,-0.0033716707537021356,0.9195678914255502,0.3,1.0,30,1
0.0968759586288284,-0.006685850064317362,0.09585718063200221,0.10254303069631958,-0.0010187779968261895,-0.0056670720674911745,0.9041428193679978,0.3,1.0,50,1
0.1066754396192995,-0.013090330156022694,0.09984845497654078,0.11293878513256347,-0.0068269846427587155,-0.0062633455132639765,0.9001515450234592,0.3,1.0,100,1
0.1412613846311653,-0.032820207794347425,0.1189196444813762,0.15173985227572362,-0.02234174014978911,-0.010478467644558315,0.8810803555186238,0.3,1.0,250,1
0.1563396950214304,-0.06882016317079799,0.10191025242516724,0.17073041559596525,-0.05442944259626317,-0.014390720574534818,0.8980897475748327,0.3,1.0,500,1
0.13107302397215154,-0.147301400611489,-0.011610913446809059,0.13569048716467993,-0.1426839374189606,-0.004617463192528402,1.011610913446809,0.3,1.0,1000,1
0.6559356455245605,-0.1885502786461714,0.5956975193629443,0.7842477980091158,-0.06023812616161617,-0.12831215248455524,0.40430248063705565,0.3,10.0,,1
0.15281994224136952,-0.0033671217660040664,0.1560508287727108,0.15941795053871485,0.003230886531341265,-0.006598008297345331,0.8439491712272892,0.3,10.0,30,1
0.18886574702893244,-0.006546684632901991,0.19314400456805791,0.1996906892009599,0.004278257539125474,-0.010824942172027452,0.8068559954319421,0.3,10.0,50,1
0.2192307713489584,-0.012651166919271711,0.2192160701603302,0.2318672370796019,-1.4701188628202244e-05,-0.012636465730643504,0.7807839298396698,0.3,10.0,100,1
0.3136472485432815,-0.0313275548695109,0.3059921196427908,0.3373196745123017,-0.007655128900490693,-0.023672425969020194,0.6940078803572092,0.3,10.0,250,1
0.3835864307420072,-0.06810028665683507,0.35537309235831605,0.42347337901515114,-0.028213338383691167,-0.039886948273143874,0.644626907641684,0.3,10.0,500,1
0.4211253801609695,-0.14542270071565652,0.34168559014963684,0.4871082908652934,-0.07943979001133267,-0.06598291070432383,0.6583144098503632,0.3,10.0,1000,1
0.6650618979882916,-0.18843127912950444,0.6029955121144742,0.7914267912439786,-0.06206638587381741,-0.126364893255687,0.3970044878855258,0.3,20.0,,1
0.15394150883409596,-0.0033622237593351847,0.1572479707097571,0.16061019446909228,0.0033064618756611375,-0.006668685634996313,0.8427520292902428,0.3,20.0,30,1
0.19034474762883807,-0.006547301358297081,0.194698611849497,0.20124591320779409,0.004353864220658921,-0.010901165578956012,0.805301388150503,0.3,20.0,50,1
0.22106344578471832,-0.012646460037802357,0.22117446460795948,0.23382092464576182,0.00011101882324116019,-0.012757478861043503,0.7788255353920406,0.3,20.0,100,1
0.3165002095781943,-0.031271656304965825,0.3091361885230849,0.3404078448280507,-0.007364021055109415,-0.023907635249856396,0.6908638114769151,0.3,20.0,250,1
0.38744498744364203,-0.06806925467112591,0.3596904277509975,0.4277596824221234,-0.02775455969264451,-0.04031469497848139,0.6403095722490024,0.3,20.0,500,1
0.4261848539564396,-0.14541952294271143,0.34783054687160314,0.4932500698143146,-0.07835430708483648,-0.06706521585787495,0.6521694531283968,0.3,20.0,1000,1
0.6681788454021059,-0.18838243663487406,0.605439640180213,0.7938220768150871,-0.06273920522189291,-0.12564323141298117,0.394560359819787,0.3,700.0,,1
0.15430693376284754,-0.0033619084372156884,0.15765175257821915,0.16101366101543482,0.003344818815371603,-0.00670672725258728,0.8423482474217808,0.3,700.0,30,1
0.1908655228296408,-0.006549588321220709,0.19523839663424855,0.20178798495546926,0.004372873804607741,-0.010922462125828453,0.8047616033657514,0.3,700.0,50,1
0.22166687148482772,-0.012646390186313588,0.22182932384010937,0.23447571402642295,0.0001624523552816448,-0.012808842541595228,0.7781706761598907,0.3,700.0,100,1
0.31739636843605523,-0.031230570968093327,0.31015641153517903,0.3413869825032724,-0.007239956900876199,-0.023990614067217142,0.689843588464821,0.3,700.0,250,1
0.3887135141930484,-0.06804574730236951,0.3611132533789617,0.4291590006813312,-0.027600260814086675,-0.040445486488282834,0.6388867466210383,0.3,700.0,500,1
0.42789140679259163,-0.14543929268062852,0.34988189503537037,0.49532118771599887,-0.07800951175722126,-0.06742978092340723,0.6501181049646296,0.3,700.0,1000,1
-0.06089988737037173,-0.19751165137418045,-0.12042665630016547,0.07708499507401498,-0.059526768929793736,-0.13798488244438673,1.1204266563001655,0.5,0.5,,1
0.029659618946842072,-0.003982151771848212,0.02740144477070579,0.031383596542554,-0.002258174176136281,-0.0017239775957119292,0.9725985552292942,0.5,0.5,30,1
0.03348830670814563,-0.006809947311039606,0.02941441108230615,0.03622435839334576,-0.0040738956258394785,-0.002736051685200129,0.9705855889176939,0.5,0.5,50,1
0.03195803484672031,-0.013369859776526412,0.021232377219271452,0.03460223699579786,-0.010725657627448856,-0.002644202149077554,0.9787676227807286,0.5,0.5,100,1
0.033630700218637226,-0.03343303740460664,0.003980453990250686,0.03741349139485733,-0.02965024622838654,-0.003782791176220099,0.9960195460097493,0.5,0.5,250,1
0.018836486701139934,-0.06905869331236565,-0.050382063587265505,0.018676629725100147,-0.06921855028840544,0.00015985697603979054,1.0503820635872656,0.5,0.5,500,1
-0.03766968416568393,-0.1485574273543358,-0.21717135293092352,-0.06861392557658771,-0.1795016687652396,0.030944241410903794,1.2171713529309236,0.5,0.5,1000,1
0.1924485920229063,-0.1945926881912353,0.1384311583597251,0.3330238465509604,-0.05401743366318118,-0.1405752545280541,0.8615688416402749,0.5,1.0,,1
0.07220192319870561,-0.0037436433704868934,0.07264983138392395,0.07639347475441084,0.00044790818521833753,-0.0041915515557052335,0.9273501686160761,0.5,1.0,30,1
0.08586663586478516,-0.006685850064317362,0.08540531816996183,0.0920911682342792,-0.00046131769482332663,-0.006224532369494037,0.9145946818300381,0.5,1.0,50,1
0.09315002980676829,-0.013090330156022694,0.08661414136639571,0.0997044715224184,-0.006535888440372575,-0.006554441715650117,0.9133858586336043,0.5,1.0,100,1
0.12511514686072836,-0.032820207794347425,0.1041605006670153,0.13698070846136273,-0.020954646193713067,-0.011865561600634358,0.8958394993329847,0.5,1.0,250,1
0.1402779092561468,-0.06882016317079799,0.08602591721064269,0.15484608038144068,-0.05425199204550411,-0.014568171125293877,0.9139740827893573,0.5,1.0,500,1
0.11688106795718141,-0.147301400611489,-0.0277755969693399,0.1195258036421491,-0.1446566649265213,-0.002644735684967689,1.0277755969693398,0.5,1.0,1000,1
0.6121874392105576,-0.1885502786461714,0.5628516838360834,0.7514019624822548,-0.04933575537447421,-0.1392145232716972,0.4371483161639166,0.5,10.0,,1
0.136056834019986,-0.0033671217660040664,0.14139714871477965,0.14476427048078372,0.005340314694793652,-0.008707436460797718,0.8586028512852204,0.5,10.0,30,1
0.16720255172286627,-0.006546684632901991,0.17248236284677612,0.1790290474796781,0.00527981112390985,-0.011826495756811828,0.8275176371532239,0.5,10.0,50,1
0.19301160955736765,-0.012651166919271711,0.19368009019610152,0.20633125711537323,0.0006684806387338704,-0.013319647558005576,0.8063199098038984,0.5,10.0,100,1
0.28131809297562677,-0.0313275548695109,0.2761605338607267,0.3074880887302376,-0.005157559114900068,-0.02616999575461082,0.7238394661392733,0.5,10.0,250,1
0.34994074568937444,-0.06810028665683507,0.32258015028694753,0.3906804369437826,-0.027360595402426913,-0.04073969125440813,0.6774198497130525,0.5,10.0,500,1
0.3904641829993358,-0.14542270071565652,0.3082611735973642,0.4536838743130207,-0.08220300940197156,-0.06321969131368496,0.6917388264026358,0.5,10.0,1000,1
0.6195931912226859,-0.18843127912950444,0.5696081269859613,0.7580394061154657,-0.04998506423672455,-0.13844621489277986,0.4303918730140387,0.5,20.0,,1
0.1370237683304563,-0.0033622237593351847,0.14247946661816743,0.1458416903775026,0.0054556982877111415,-0.008817922047046317,0.8575205333818325,0.5,20.0,30,1
0.16848215301777156,-0.006547301358297081,0.1738459913966918,0.1803932927549889,0.005363838378920238,-0.01191113973721733,0.8261540086033082,0.5,20.0,50,1
0.19466527137280448,-0.012646460037802357,0.1954633627638444,0.20810982280164675,0.0007980913910399234,-0.013444551428842266,0.8045366372361555,0.5,20.0,100,1
0.28394782218820175,-0.031271656304965825,0.2790862196139387,0.3103578759189045,-0.004861602574263046,-0.026410053730702765,0.7209137803860612,0.5,20.0,250,1
0.35347116475528767,-0.06806925467112591,0.3265946556383085,0.3946639103094344,-0.026876509116979197,-0.041192745554146704,0.6734053443616915,0.5,20.0,500,1
