R²_A,R²_B,R²_AB,unique_A,unique_B,common,unexplained,suppression_strength,snr,mixing_dimension,rng_seed
0.1552976653214535,-0.005337646942631263,0.14586106490014958,0.15119871184278083,-0.009436600421303926,0.004098953478672673,0.8541389350998504,0.3,0.5,,1
0.054898411373217326,-0.003986826698229966,0.05391194308509873,0.057898769783328696,-0.0009864682881185957,-0.00300035841011137,0.9460880569149013,0.3,0.5,30,1
0.0684374167862396,-0.006471392023685899,0.06656055673356087,0.07303194875724676,-0.0018768600526787305,-0.004594531971007169,0.9334394432664391,0.3,0.5,50,1
0.09278261190522125,-0.012580135007941452,0.0855385574007259,0.09811869240866736,-0.007244054504495348,-0.005336080503446097,0.9144614425992741,0.3,0.5,100,1
0.10057308587484168,-0.03231505969505919,0.07390652544623691,0.1062215851412961,-0.02666656042860477,-0.005648499266454415,0.9260934745537631,0.3,0.5,250,1
0.4158710617849332,-0.005295720197718863,0.400721589410627,0.40601730960834587,-0.015149472374306194,0.00985375217658735,0.5992784105893729,0.3,1.0,,1
0.13849185453664214,-0.003933392179004023,0.14150963665066185,0.14544302882966587,0.003017782114019707,-0.006951174293023721,0.8584903633493381,0.3,1.0,30,1
0.17481830700286782,-0.0064325513868456734,0.1792009178451661,0.18563346923201177,0.004382610842298268,-0.010815162229143943,0.8207990821548339,0.3,1.0,50,1
0.24268905130806212,-0.012313740054940903,0.24328226079258602,0.2555960008475269,0.0005932094845239044,-0.012906949539464807,0.756717739207414,0.3,1.0,100,1
0.28985650940974667,-0.03219304003060322,0.27423999598098603,0.3064330360115892,-0.015616513428760637,-0.01657652660184261,0.725760004019014,0.3,1.0,250,1
0.964107263116339,-0.0052775717514119596,0.9522308826031576,0.9575084543545695,-0.011876380513181406,0.006598808761769437,0.04776911739684242,0.3,10.0,,1
0.28870669223113166,-0.003789793344780926,0.29896025160874984,0.30275004495353075,0.010253559377618182,-0.014043352722399094,0.7010397483912502,0.3,10.0,30,1
0.3656548046094936,-0.0064724433410456245,0.3810012388111152,0.3874736821521608,0.015346434201621573,-0.021818877542667203,0.6189987611888847,0.3,10.0,50,1
0.5121046083204732,-0.011940085556102285,0.526718982152894,0.5386590677089963,0.014614373832420813,-0.026554459388523077,0.47328101784710597,0.3,10.0,100,1
0.6326531763360145,-0.032309136632727255,0.6373916920328602,0.6697008286655874,0.004738515696845691,-0.037047652329572967,0.36260830796713983,0.3,10.0,250,1
0.9798713738655445,-0.0052813739640228405,0.967722715900453,0.9730040898644758,-0.012148657965091458,0.006867284001068619,0.032277284099547,0.3,20.0,,1
