model_1,model_2,layer_1,layer_2,subj_id,n_samples,n_components_source_1,n_components_source_2,n_components_target,pid_method,rng_seed,bias_correction,red,unq1,unq2,syn,bi_mi_1,bi_mi_2,tri_mi
levit_128_classification,coat_lite_tiny_classification,181,219,,1000,50,50,50,tilde,56,True,7.198727932173589,0.0,0.5732925564612241,0.9142476075706876,7.198727932173589,7.772020488634813,8.6862680962055
levit_128_classification,visformer_small_classification,181,163,,1000,50,50,50,tilde,56,True,7.198727932173589,0.0,0.3416215100479185,1.0245159061660791,7.198727932173589,7.540349442221507,8.564865348387587
levit_128_classification,convit_base_classification,181,201,,1000,50,50,50,tilde,56,True,7.030198546048152,0.1685293861254369,0.2595685902212814,1.0857331730884914,7.198727932173589,7.289767136269433,8.544029695483362
levit_128_classification,RN50_clip,181,179,,1000,50,50,50,tilde,56,True,7.19872793217359,0.0,0.8704222278349834,0.9159338412808644,7.198727932173589,8.069150160008572,8.985084001289437
levit_128_classification,RN101_clip,181,366,,1000,50,50,50,tilde,56,True,7.168968751447727,0.029759180725862144,0.6836322582425192,1.1300812223696166,7.198727932173589,7.852601009690246,9.012441412785725
levit_128_classification,ResNet50-SimCLR_selfsupervised,181,162,,1000,50,50,50,tilde,56,True,7.138161284170386,0.06056664800320277,0.24946262555034693,1.105680547305922,7.198727932173589,7.387623909720733,8.553871105029858
levit_128_classification,ResNet50-DeepClusterV2-2x224_selfsupervised,181,162,,1000,50,50,50,tilde,56,True,7.198727932173589,0.0,0.16527088994746642,1.0964635152122932,7.198727932173589,7.363998822121055,8.460462337333349
levit_128_classification,ResNet50-SwAV-BS4096-2x224_selfsupervised,181,165,,1000,50,50,50,tilde,56,True,7.15530112666388,0.0434268055097089,0.0023130273957718828,1.0119446099385039,7.198727932173589,7.157614154059652,8.212985569507865
levit_128_classification,ResNet50-PIRL_selfsupervised,181,165,,1000,50,50,50,tilde,56,True,6.644538187160534,0.5541897450130548,0.0,0.984288709034046,7.198727932173589,6.644538187160534,8.183016641207635
levit_128_classification,ResNet50-ClusterFit-16K-RotNet_selfsupervised,181,160,,1000,50,50,50,tilde,56,True,6.277369981812327,0.9213579503612621,0.0,0.7753343904861802,7.198727932173589,6.277369981812327,7.974062322659769
levit_128_classification,ResNet50-MoCoV2-BS256_selfsupervised,181,155,,1000,50,50,50,tilde,56,True,6.818413126324504,0.3803148058490846,0.257940485072889,1.0069169422160194,7.198727932173589,7.076353611397393,8.463585359462497
levit_128_classification,nf_resnet50_classification,181,141,,1000,50,50,50,tilde,56,True,6.553524702165004,0.645203230008585,0.07909551251077929,1.1215940438477565,7.198727932173589,6.632620214675783,8.399417488532125
levit_128_classification,hardcorenas_f_classification,181,294,,1000,50,50,50,tilde,56,True,6.751508774467677,0.4472191577059119,0.188087319996046,1.077931921972338,7.198727932173589,6.939596094463723,8.464747174141973
levit_128_classification,eca_nfnet_l0_classification,181,134,,1000,50,50,50,tilde,56,True,7.198727932173588,0.0,1.1587298603097151,0.819575891504142,7.198727932173589,8.357457792483304,9.177033683987446
levit_128_classification,resnet50_classification,181,156,,1000,50,50,50,tilde,56,True,6.966657181469086,0.23207075070450323,0.0,1.0893748905381235,7.198727932173589,6.966657181469086,8.288102822711712
levit_128_classification,semnasnet_100_classification,181,270,,1000,50,50,50,tilde,56,True,6.929130846078382,0.2695970860952066,0.0,0.9963460743539647,7.198727932173589,6.929130846078382,8.195074006527554
levit_128_classification,cspresnet50_classification,181,320,,1000,50,50,50,tilde,56,True,7.157303373761657,0.04142455841193193,0.14851740238145705,1.114509270593489,7.198727932173589,7.305820776143114,8.461754605148535
levit_128_classification,mobilenetv3_large_100_classification,181,252,,1000,50,50,50,tilde,56,True,6.96951821693528,0.22920971523830858,0.3070106909053383,1.1214202206386856,7.198727932173589,7.276528907840619,8.627158843717613
levit_128_classification,ghostnet_100_classification,181,290,,1000,50,50,50,tilde,56,True,6.972565191903518,0.22616274027007055,0.23370218561658174,1.1131054844897363,7.198727932173589,7.2062673775201,8.545535602279907
levit_128_classification,convnext_base_classification,181,273,,1000,50,50,50,tilde,56,True,7.198727932173588,0.0,1.1055100631648278,0.7038126005534835,7.198727932173589,8.304237995338417,9.0080505958919
levit_128_classification,xcit_nano_12_p8_224_classification,181,266,,1000,50,50,50,tilde,56,True,6.630102918103823,0.5686250140697657,0.23394412315272195,1.1608271249761835,7.198727932173589,6.864047041256545,8.593499180302494
levit_128_classification,xcit_nano_12_p16_224_classification,181,242,,1000,50,50,50,tilde,56,True,6.636321761592567,0.5624061705810215,0.2004948149464001,1.0710168659440598,7.198727932173589,6.8368165765389675,8.470239613064049
levit_128_classification,swin_large_patch4_window7_224_classification,181,281,,1000,50,50,50,tilde,56,True,6.900546014542552,0.2981819176310365,0.614788857672683,1.1799378477860216,7.198727932173589,7.515334872215235,8.993454637632293
levit_128_classification,jx_nest_tiny_classification,181,148,,1000,50,50,50,tilde,56,True,7.198727932173589,0.0,0.5730407213671302,0.8169187508252902,7.198727932173589,7.771768653540719,8.58868740436601
levit_128_classification,pit_ti_224_classification,181,207,,1000,50,50,50,tilde,56,True,7.198727932173589,0.0,0.26859995103905554,1.0053526923924094,7.198727932173589,7.467327883212644,8.472680575605054
levit_128_classification,vit_base_patch32_224_classification,181,218,,1000,50,50,50,tilde,56,True,6.840984151661458,0.3577437805121306,0.10205704279858097,1.0608280309019973,7.198727932173589,6.943041194460039,8.361613005874167
levit_128_classification,vit_base_patch16_224_classification,181,197,,1000,50,50,50,tilde,56,True,6.866038155032454,0.3326897771411348,0.09454084746324565,1.040222386135424,7.198727932173589,6.9605790024957,8.333491165772259
levit_128_classification,tnt_s_patch16_224_classification,181,198,,1000,50,50,50,tilde,56,True,6.728040629568995,0.4706873026045937,0.12108866760405235,1.085072512809055,7.198727932173589,6.8491292971730475,8.404889112586696
levit_128_classification,crossvit_base_240_classification,181,336,,1000,50,50,50,tilde,56,True,7.153906711079086,0.044821221094502484,0.05393644529856889,1.114987199447162,7.198727932173589,7.207843156377655,8.36765157691932
levit_128_classification,deit_base_patch16_224_classification,181,205,,1000,50,50,50,tilde,56,True,7.1932083371286675,0.005519595044921388,0.0,1.0223654959871586,7.198727932173589,7.1932083371286675,8.221093428160748
levit_128_classification,dino_resnet50_selfsupervised,181,162,,1000,50,50,50,tilde,56,True,7.198727932173589,0.0,0.5926006408850366,0.9831145799237708,7.198727932173589,7.7913285730586255,8.774443152982396
levit_128_classification,dino_vitb16_selfsupervised,181,208,,1000,50,50,50,tilde,56,True,6.140000574833402,1.058727357340187,0.0,1.0821148166809982,7.198727932173589,6.140000574833402,8.280842748854587
coat_lite_tiny_classification,visformer_small_classification,219,163,,1000,50,50,50,tilde,56,True,7.540349442221507,0.2316710464133056,0.0,0.7567508335587627,7.772020488634813,7.540349442221507,8.528771322193576
coat_lite_tiny_classification,convit_base_classification,219,201,,1000,50,50,50,tilde,56,True,7.289767136269433,0.4822533523653796,0.0,0.7515617972793498,7.772020488634813,7.289767136269433,8.523582285914163
coat_lite_tiny_classification,RN50_clip,219,179,,1000,50,50,50,tilde,56,True,7.772020488634812,0.0,0.29712967137375923,1.0826695582551586,7.772020488634813,8.069150160008572,9.15181971826373
coat_lite_tiny_classification,RN101_clip,219,366,,1000,50,50,50,tilde,56,True,7.414098973178987,0.35792151545582573,0.43850203651125863,1.127890475361756,7.772020488634813,7.852601009690246,9.338413000507828
coat_lite_tiny_classification,ResNet50-SimCLR_selfsupervised,219,162,,1000,50,50,50,tilde,56,True,7.387623909720733,0.38439657891407997,0.0,0.9733210830866783,7.772020488634813,7.387623909720733,8.745341571721491
coat_lite_tiny_classification,ResNet50-DeepClusterV2-2x224_selfsupervised,219,162,,1000,50,50,50,tilde,56,True,7.363998822121055,0.4080216665137577,0.0,0.802530179004898,7.772020488634813,7.363998822121055,8.574550667639711
coat_lite_tiny_classification,ResNet50-SwAV-BS4096-2x224_selfsupervised,219,165,,1000,50,50,50,tilde,56,True,7.157614154059652,0.6144063345751611,0.0,0.8940760504822967,7.772020488634813,7.157614154059652,8.66609653911711
coat_lite_tiny_classification,ResNet50-PIRL_selfsupervised,219,165,,1000,50,50,50,tilde,56,True,6.644538187160534,1.127482301474279,0.0,0.735988888766566,7.772020488634813,6.644538187160534,8.508009377401379
coat_lite_tiny_classification,ResNet50-ClusterFit-16K-RotNet_selfsupervised,219,160,,1000,50,50,50,tilde,56,True,6.277369981812327,1.4946505068224862,0.0,0.55466040219049,7.772020488634813,6.277369981812327,8.326680890825303
coat_lite_tiny_classification,ResNet50-MoCoV2-BS256_selfsupervised,219,155,,1000,50,50,50,tilde,56,True,7.076353611397393,0.6956668772374197,0.0,0.7148397736719092,7.772020488634813,7.076353611397393,8.486860262306722
coat_lite_tiny_classification,nf_resnet50_classification,219,141,,1000,50,50,50,tilde,56,True,6.632620214675783,1.1394002739590299,0.0,0.8606499648010617,7.772020488634813,6.632620214675783,8.632670453435875
coat_lite_tiny_classification,hardcorenas_f_classification,219,294,,1000,50,50,50,tilde,56,True,6.939596094463723,0.83242439417109,0.0,0.7199489009065703,7.772020488634813,6.939596094463723,8.491969389541383
