row_model,RN101_clip,RN50_clip,ResNet50-ClusterFit-16K-RotNet_selfsupervised,ResNet50-DeepClusterV2-2x224_selfsupervised,ResNet50-MoCoV2-BS256_selfsupervised,ResNet50-PIRL_selfsupervised,ResNet50-SimCLR_selfsupervised,ResNet50-SwAV-BS4096-2x224_selfsupervised,coat_lite_tiny_classification,convit_base_classification,convnext_base_classification,crossvit_base_240_classification,cspresnet50_classification,deit_base_patch16_224_classification,dino_vitb16_selfsupervised,eca_nfnet_l0_classification,ghostnet_100_classification,hardcorenas_f_classification,jx_nest_tiny_classification,levit_128_classification,mobilenetv3_large_100_classification,nf_resnet50_classification,pit_ti_224_classification,resnet50_classification,semnasnet_100_classification,swin_large_patch4_window7_224_classification,tnt_s_patch16_224_classification,visformer_small_classification,vit_base_patch16_224_classification,vit_base_patch32_224_classification,xcit_nano_12_p16_224_classification,xcit_nano_12_p8_224_classification
RN101_clip,0.0,0.0,1.5752313697013405,0.531323751877304,0.8403405024445485,1.208063039307092,0.524734142589339,0.6949873086368097,0.4385003358489241,0.6720347110606903,0.0,0.6744613335124434,0.5467805879036849,0.7036402834749644,1.7126006755588978,0.1361109502056106,0.6463340121984125,0.9130052566919707,0.3948926784135009,0.6836294353995944,0.5760723232919407,1.2199810594756515,0.6144161673945083,0.8859442053692295,0.9234704839435874,0.5604173120455753,1.0034721016223038,0.5819298384604172,0.8920222642963687,0.9095603901137768,1.0445884707234718,0.9885542653286006
RN50_clip,0.2165486478185405,0.0,1.79178001751987,0.7051512146010408,0.992796152583435,1.4246116871256218,0.6815261030213184,0.9115359564553396,0.2971290936342923,0.7793838595750708,0.0,0.8613075212680288,0.7633292357222148,0.8759429147207234,1.929149323377428,0.0,0.8628826600169424,1.1295539045105008,0.2973810619338026,0.8704218405235986,0.7926209711104706,1.4365297072941816,0.6018222389638384,1.1024928531877594,1.140019131762117,0.5965904128660116,1.2200207494408335,0.5288006549450701,1.1085709121148986,1.1261090379323069,1.2323328827707227,1.2051029131471305
ResNet50-ClusterFit-16K-RotNet_selfsupervised,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9104660930353168,0.0,0.0057098334605161,0.0653617444518674,0.0,0.0,0.0233854929211698,0.2968521024836246,0.0,0.0,0.0,0.0706454444568178,0.0,0.0,0.0,0.0,0.0247815882920487,0.0091874938723934
ResNet50-DeepClusterV2-2x224_selfsupervised,0.042721185094793,0.0,1.0866288029188134,0.0,0.2876449379823782,0.719460472524565,0.0,0.2063847418542828,0.0,0.0742326449740495,0.0,0.156156306666972,0.058178021121158,0.1707917001196666,1.4734722541486702,0.0,0.1658912699975667,0.4244026899094439,0.0,0.1652706259225773,0.1405280376159163,0.7313784926931248,0.0,0.3973416385867026,0.4348679171610605,0.3256254950219848,0.5148695348397769,0.0,0.4034196975138417,0.4209578233312498,0.5271816681696659,0.4999516985460737
ResNet50-MoCoV2-BS256_selfsupervised,0.0640929976796433,0.0,0.7989838649364494,0.0,0.0,0.4318155345421886,0.0,0.0536603724320006,0.0,0.0,0.0,0.1048654436876086,0.0788427969058771,0.0676481162523732,1.6195285532863073,0.0,0.2079738634281254,0.2732704980313425,0.0,0.2579290352760308,0.1716448868718334,0.624937885930172,0.0,0.1610690917736255,0.3248087342137529,0.3153155634137627,0.2272245968574111,0.0,0.1157747595314759,0.2134468118318286,0.2401141412996059,0.232077946912411
ResNet50-PIRL_selfsupervised,0.0,0.0,0.3671683303942465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0384545928522328,0.0,0.1055143622868843,0.2208992158277158,0.0,0.0,0.0618896017621644,0.2835381078157519,0.0,0.0,0.1152580365446267,0.1361060424985156,0.0407296056157404,0.0,0.0,0.049205919232425,0.1389753730845155,0.0814086708132002
ResNet50-SimCLR_selfsupervised,0.0597566873865504,0.0,1.1102539144985606,0.0236251115797312,0.3112700495621254,0.7430855841043122,0.0,0.23000985343403,0.0,0.0978577565537719,0.0,0.1797814182467192,0.0818031327009052,0.1944168116994138,1.37340291453686,0.0,0.3378776785522852,0.4682845368743686,0.0,0.2494612002049763,0.2540355443179889,0.755003604272872,0.0,0.4209667501664498,0.4584930287408078,0.4444992576684683,0.5384946464195242,0.0205901643648456,0.427044809093589,0.4445829349109971,0.5508067797494132,0.5235768101258209
ResNet50-SwAV-BS4096-2x224_selfsupervised,0.0,0.0,0.8802440610645341,0.0,0.1349205685600996,0.5130757306702858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1033541006321412,0.0,0.2629089984541242,0.4426090033212615,0.0,0.0023035289032842,0.2694599284892902,0.5249937508388456,0.0,0.1909568967324233,0.2284831753067813,0.192230716389278,0.3084847929854977,0.0,0.1970349556595625,0.2145730814769706,0.3853665284124545,0.3228614562543397
coat_lite_tiny_classification,0.3579198900331528,0.0,1.4946509238855583,0.4080221209667289,0.6956670589491232,1.12748259349131,0.3843970093870066,0.6144068628210277,0.0,0.4822547659407803,0.0,0.564178427633717,0.4662001420879029,0.5788138210864116,1.899351804817333,0.0,0.5657535663826305,0.8324248108761889,0.0002519682994908,0.5732927468893134,0.4954918774761587,1.1394006136598698,0.3046931453295265,0.8053637595534475,0.8428900381278055,0.5328914313473438,0.922891655806522,0.2316715613107902,0.8114418184805867,0.8289799442979948,0.9352037891364108,0.9079738195128186
convit_base_classification,0.1091994993041405,0.0,1.0123961579447798,0.0,0.2134122930083446,0.6452278275505314,0.0,0.1321520968802492,0.0,0.0,0.0,0.0819236616929384,0.1548814709008761,0.096559055145633,1.499614715837179,0.0,0.3245696344355506,0.3773373427534094,0.0,0.2595630786407348,0.3130928860602475,0.6571458477190912,0.0,0.323108993612669,0.3606352721870269,0.1545624723569929,0.4406368898657433,0.0,0.3291870525398082,0.3467251783572163,0.4529490231956323,0.4257190535720401
