model_name,layer_index,pc_0_correlation,pc_1_correlation,pc_2_correlation,pc_3_correlation,pc_4_correlation
nf_resnet50_classification,141,0.4505735687795739,0.8244321675337793,0.7343815910903856,0.7315965625781915,0.6932786295143614
hardcorenas_f_classification,294,0.4600528293337038,0.8046540045613351,0.7388188535903323,0.7204487414176012,0.691231825654975
eca_nfnet_l0_classification,134,0.44655813834039765,0.8224280866475514,0.756430399287527,0.7437370980328195,0.7096389960918574
resnet50_classification,156,0.4322616448499065,0.8078220630130377,0.712149668620176,0.7141555334393558,0.6742577013083625
semnasnet_100_classification,270,0.45895489163711845,0.8184089723460203,0.7094892092854227,0.7061842006342082,0.6875246198253143
cspresnet50_classification,320,0.45952981603513277,0.819978764212739,0.7189742286453862,0.7201451506411346,0.6834261573601814
mobilenetv3_large_100_classification,252,0.4389150575715664,0.814916604132628,0.7343955118661544,0.727437327969754,0.6742592085593144
ghostnet_100_classification,290,0.44221273048786613,0.8057300914452474,0.7228545807129715,0.7039626422560105,0.6808525175359478
convnext_base_classification,273,0.46866175051163267,0.8291904384234855,0.7645983002666592,0.7311977689308318,0.7151050914524578
