model_name,layer_index,pc_0_correlation,pc_1_correlation,pc_2_correlation,pc_3_correlation,pc_4_correlation,pc_5_correlation,pc_6_correlation,pc_7_correlation,pc_8_correlation,pc_9_correlation
nf_resnet50_classification,141,0.4505735687795739,0.8244321675337793,0.7343815910903856,0.7315965625781915,0.6932786295143614,0.5055711972535439,0.46422928247148004,0.20661299950377143,0.5037646174890652,0.5039051125329047
hardcorenas_f_classification,294,0.4600528293337038,0.8046540045613351,0.7388188535903323,0.7204487414176012,0.691231825654975,0.4923214882999159,0.4770197871837579,0.20947676081653752,0.4934930319931094,0.5010857650995347
eca_nfnet_l0_classification,134,0.44655813834039765,0.8224280866475514,0.756430399287527,0.7437370980328195,0.7096389960918574,0.5045954786487141,0.48158496274024243,0.22474101683304704,0.5209717669091226,0.5215441793723273
resnet50_classification,156,0.4322616448499065,0.8078220630130377,0.712149668620176,0.7141555334393558,0.6742577013083625,0.5003354866463754,0.4357125946130162,0.22117863484385702,0.4944139800582609,0.4871077859104639
semnasnet_100_classification,270,0.45895489163711845,0.8184089723460203,0.7094892092854227,0.7061842006342082,0.6875246198253143,0.4885876970395508,0.4596345979879738,0.1917280161501238,0.48908307499958553,0.4913204345879905
cspresnet50_classification,320,0.45952981603513277,0.819978764212739,0.7189742286453862,0.7201451506411346,0.6834261573601814,0.5091812539586476,0.44937670781241046,0.20832624385419504,0.49213945221276095,0.49436009192974684
mobilenetv3_large_100_classification,252,0.4389150575715664,0.814916604132628,0.7343955118661544,0.727437327969754,0.6742592085593144,0.48483012282039467,0.44294348499696745,0.20340973758282238,0.479455144035384,0.48124940204732786
ghostnet_100_classification,290,0.44221273048786613,0.8057300914452474,0.7228545807129715,0.7039626422560105,0.6808525175359478,0.4749542162810426,0.4362561232294183,0.23088835042194367,0.4965407697224407,0.49350607552562403
convnext_base_classification,273,0.46866175051163267,0.8291904384234855,0.7645983002666592,0.7311977689308318,0.7151050914524578,0.5084519605166995,0.4833951697800413,0.22249559097723323,0.5203434626000295,0.4910015254371531
