model_name,layer_index,pc_0_correlation,pc_1_correlation,pc_2_correlation,pc_3_correlation,pc_4_correlation,pc_5_correlation,pc_6_correlation,pc_7_correlation,pc_8_correlation,pc_9_correlation,pc_10_correlation,pc_11_correlation,pc_12_correlation,pc_13_correlation,pc_14_correlation,pc_15_correlation,pc_16_correlation,pc_17_correlation,pc_18_correlation,pc_19_correlation,pc_20_correlation,pc_21_correlation,pc_22_correlation,pc_23_correlation,pc_24_correlation,pc_25_correlation,pc_26_correlation,pc_27_correlation,pc_28_correlation,pc_29_correlation
nf_resnet50_classification,141,0.4505735687795739,0.8244321675337793,0.7343815910903856,0.7315965625781915,0.6932786295143614,0.5055711972535439,0.46422928247148004,0.20661299950377143,0.5037646174890652,0.5039051125329047,0.4318256316116819,0.7215248851708395,0.3328108284332636,0.42759828895350005,0.4835357324584886,0.3451573405128999,0.3652172662741518,0.1922901370440509,0.4099522334205638,0.3255425818003423,0.3799718969229292,0.36581092648122937,0.34707503355436525,0.260031339965519,0.40572557092664563,0.2380639500024636,0.3729033354220736,0.250980412567043,0.30610856340094944,0.36636396140450106
hardcorenas_f_classification,294,0.4600528293337038,0.8046540045613351,0.7388188535903323,0.7204487414176012,0.691231825654975,0.4923214882999159,0.4770197871837579,0.20947676081653752,0.4934930319931094,0.5010857650995347,0.44162583726205873,0.7136530710490011,0.31743198219025254,0.44352512979879466,0.4852927895293739,0.3401537060214095,0.38697511972814785,0.1966112558993251,0.40529578820842327,0.29940714527796713,0.3699486396612501,0.36401087571955293,0.33648249648899176,0.2710313901985638,0.3728327622867405,0.2739907472709858,0.3435316215583828,0.25035062289872556,0.317859853654974,0.37015584584580163
eca_nfnet_l0_classification,134,0.44655813834039765,0.8224280866475514,0.756430399287527,0.7437370980328195,0.7096389960918574,0.5045954786487141,0.48158496274024243,0.22474101683304704,0.5209717669091226,0.5215441793723273,0.45409403567226114,0.7291277956081045,0.35201589709832404,0.44524334181075487,0.4945852639233363,0.36152661936018254,0.385943247811026,0.21259953083534588,0.4463761973604006,0.3358952289017981,0.3736126012423096,0.36571240640364583,0.3639779513438294,0.2817890226437399,0.41708810117709016,0.23076931571496978,0.34750164659468313,0.26545869865848054,0.32702237979370097,0.37066080778904015
resnet50_classification,156,0.4322616448499065,0.8078220630130377,0.712149668620176,0.7141555334393558,0.6742577013083625,0.5003354866463754,0.4357125946130162,0.22117863484385702,0.4944139800582609,0.4871077859104639,0.4310381766110153,0.6974430577815534,0.3199214455860523,0.4242805130104995,0.4637873486035051,0.34695427067689794,0.37305469572241684,0.15482317542830212,0.4134626896951186,0.28587124523864466,0.3649644240686445,0.3581442109192806,0.3424116704515919,0.25509230906310476,0.4098318796495592,0.24381354428134466,0.3372517556333299,0.2230458531345246,0.28056158860105473,0.3396633568566804
semnasnet_100_classification,270,0.45895489163711845,0.8184089723460203,0.7094892092854227,0.7061842006342082,0.6875246198253143,0.4885876970395508,0.4596345979879738,0.1917280161501238,0.48908307499958553,0.4913204345879905,0.43800188516049393,0.7174615657029579,0.3268885640312034,0.4307221558079261,0.4754217949292557,0.34746987598316603,0.37488257494641236,0.17366512030985698,0.418953036806263,0.28843794910959736,0.36803219345511157,0.3550696200996381,0.32433072511253963,0.2541631001155522,0.37396996607789756,0.23724007754462176,0.3527775952572761,0.24370785918937135,0.30527126238461083,0.34279428970882647
cspresnet50_classification,320,0.45952981603513277,0.819978764212739,0.7189742286453862,0.7201451506411346,0.6834261573601814,0.5091812539586476,0.44937670781241046,0.20832624385419504,0.49213945221276095,0.49436009192974684,0.439358429161579,0.7196215728628327,0.33875578461425726,0.4374635775793494,0.4725191807171629,0.33271180656743876,0.37925141483417424,0.1766309002522611,0.4095989903390096,0.2896327528821988,0.38603227664294604,0.3573159469739732,0.3438608360236392,0.25641527315565216,0.38590865557816384,0.24765694299708688,0.3293491733683283,0.24153512919859754,0.309739200311049,0.35412126227931867
mobilenetv3_large_100_classification,252,0.4389150575715664,0.814916604132628,0.7343955118661544,0.727437327969754,0.6742592085593144,0.48483012282039467,0.44294348499696745,0.20340973758282238,0.479455144035384,0.48124940204732786,0.44799244956763384,0.7102535898636649,0.3511525610060465,0.4437635381329542,0.47562391725791797,0.3270138615106711,0.3541518286918955,0.18160709313825357,0.3977701300336633,0.30444202460096864,0.38338419472301977,0.36700232735046373,0.3432908981988309,0.2683042771069294,0.36288286212542775,0.21010085822023844,0.3334326825796393,0.2500549615383021,0.30522284171579583,0.353057079638276
ghostnet_100_classification,290,0.44221273048786613,0.8057300914452474,0.7228545807129715,0.7039626422560105,0.6808525175359478,0.4749542162810426,0.4362561232294183,0.23088835042194367,0.4965407697224407,0.49350607552562403,0.42744213931719277,0.6882473098282497,0.3332674500415015,0.4338024195829811,0.4596207787915056,0.33248278415782034,0.3377622236926233,0.1985009507244645,0.4164362898467768,0.3166209837840992,0.36247461823870525,0.35151267088777066,0.3556124485281529,0.2662703109105326,0.3887872323047266,0.23420233164587934,0.3415778827553182,0.26097959731320086,0.30403065416703223,0.3386339664373389
convnext_base_classification,273,0.46866175051163267,0.8291904384234855,0.7645983002666592,0.7311977689308318,0.7151050914524578,0.5084519605166995,0.4833951697800413,0.22249559097723323,0.5203434626000295,0.4910015254371531,0.45586579818061357,0.7373237757897527,0.3724611501279369,0.44157541572110326,0.4948374976709717,0.3591010884038921,0.3959360152164223,0.22043139679747856,0.43869517824733456,0.33709543401807635,0.39719554274562785,0.39477480893996486,0.36294603749745064,0.2815766631633388,0.40103131481679366,0.25894535812162817,0.3691292384737904,0.27912316183092606,0.3383831140563009,0.3802162172078685
