model_1,model_2,layer_1,layer_2,subj_id,n_samples,n_components_source_1,n_components_source_2,n_components_target,pid_method,rng_seed,bias_correction,red,unq1,unq2,syn,bi_mi_1,bi_mi_2,tri_mi
levit_128_classification,coat_lite_tiny_classification,181,219,,1000,5,5,5,tilde,30,True,1.5852215666357539,0.06872834262256844,0.14424881553514557,0.15788803247597571,1.6539499092583223,1.7294703821708994,1.9560867572694436
levit_128_classification,visformer_small_classification,181,163,,1000,5,5,5,tilde,30,True,1.5208567763667211,0.13309313289160118,0.14480818372685156,0.1595232163992768,1.6539499092583223,1.6656649600935727,1.9582813093844507
levit_128_classification,convit_base_classification,181,201,,1000,5,5,5,tilde,30,True,1.4442633694257594,0.2096865398325629,0.11091897534817119,0.11953922050962484,1.6539499092583223,1.5551823447739306,1.8844081051161183
levit_128_classification,ViT-B_32_clip,181,53,,1000,5,5,5,tilde,30,True,1.5519206240481733,0.10202928521014898,0.19309765246396116,0.13920702030431809,1.6539499092583223,1.7450182765121345,1.9862545820266015
levit_128_classification,RN50_clip,181,179,,1000,5,5,5,tilde,30,True,1.4751126268636021,0.1788372823947204,0.3811143993288417,0.06051347035753585,1.6539499092583223,1.8562270261924436,2.0955777789447
levit_128_classification,RN101_clip,181,366,,1000,5,5,5,tilde,30,True,1.3024371366319085,0.3515127726264138,0.15643091826077327,0.09755929183805812,1.6539499092583223,1.4588680548926818,1.9079401193571537
