model_1,model_2,layer_1,layer_2,subj_id,n_samples,n_components_source_1,n_components_source_2,n_components_target,pid_method,rng_seed,bias_correction,red,unq1,unq2,syn,bi_mi_1,bi_mi_2,tri_mi
nf_resnet50_classification,hardcorenas_f_classification,141,294,,1000,10,10,10,tilde,30,True,1.6490069508077632,0.13306126916863636,0.30885725556422616,0.323160285039402,1.7820682199763997,1.9578642063719895,2.414085760580028
nf_resnet50_classification,eca_nfnet_l0_classification,141,134,,1000,10,10,10,tilde,30,True,1.7820682199764,0.0,1.063657805707518,0.1383151909812006,1.7820682199763997,2.8457260256839176,2.9840412166651182
nf_resnet50_classification,resnet50_classification,141,156,,1000,10,10,10,tilde,30,True,1.7246034960393777,0.057464723937021844,0.630759507495873,0.14729182302403832,1.7820682199763997,2.355363003535251,2.560119550496311
nf_resnet50_classification,semnasnet_100_classification,141,270,,1000,10,10,10,tilde,30,True,1.6560838299633556,0.12598439001304396,0.4933264667318651,0.2533849453372188,1.7820682199763997,2.149410296695221,2.5287796320454836
nf_resnet50_classification,cspresnet50_classification,141,320,,1000,10,10,10,tilde,30,True,1.6346081500905711,0.14746006988582838,0.6627272860737372,0.2004142757976788,1.7820682199763997,2.2973354361643086,2.6452097818478157
nf_resnet50_classification,mobilenetv3_large_100_classification,141,252,,1000,10,10,10,tilde,30,True,1.7378873765632674,0.04418084341313211,0.5328598164510063,0.309145658624304,1.7820682199763997,2.270747193014274,2.62407369505171
nf_resnet50_classification,ghostnet_100_classification,141,290,,1000,10,10,10,tilde,30,True,1.6576708767611374,0.12439734321526252,0.5575689565060318,0.24013491341951898,1.7820682199763997,2.215239833267169,2.5797720899019505
nf_resnet50_classification,convnext_base_classification,141,273,,1000,10,10,10,tilde,30,True,1.695391414940031,0.08667680503636843,0.8617040211894411,0.21825306956624457,1.7820682199763997,2.5570954361294724,2.8620253107320854
