model_1,model_2,layer_1,layer_2,subj_id,n_samples,n_components_source_1,n_components_source_2,n_components_target,pid_method,rng_seed,bias_correction,red,unq1,unq2,syn,bi_mi_1,bi_mi_2,tri_mi
nf_resnet50_classification,hardcorenas_f_classification,141,294,,1000,140,140,140,tilde,30,True,13.68405314838445,0.0,0.08330220609198946,2.4730532495149085,13.68405314838445,13.76735535447644,16.240408603991348
nf_resnet50_classification,eca_nfnet_l0_classification,141,134,,1000,140,140,140,tilde,30,True,13.68405314838445,0.0,2.016555732101054,1.3662925606098426,13.68405314838445,15.700608880485504,17.066901441095347
nf_resnet50_classification,resnet50_classification,141,156,,1000,140,140,140,tilde,30,True,13.286489690341064,0.3975634580433862,0.0,1.81385736955378,13.68405314838445,13.286489690341064,15.49791051793823
nf_resnet50_classification,semnasnet_100_classification,141,270,,1000,140,140,140,tilde,30,True,13.02080269013831,0.6632504582461394,0.0,1.7998768739047293,13.68405314838445,13.02080269013831,15.48393002228918
nf_resnet50_classification,cspresnet50_classification,141,320,,1000,140,140,140,tilde,30,True,13.68405314838445,0.0,0.16302028145387837,2.1357882158099564,13.68405314838445,13.847073429838328,15.982861645648285
nf_resnet50_classification,mobilenetv3_large_100_classification,141,252,,1000,140,140,140,tilde,30,True,13.637748125106715,0.04630502327773556,0.0,2.1381722663526332,13.68405314838445,13.637748125106715,15.822225414737083
nf_resnet50_classification,ghostnet_100_classification,141,290,,1000,140,140,140,tilde,30,True,12.93835810871461,0.7456950396698403,0.0,2.040510298785506,13.68405314838445,12.93835810871461,15.724563447169956
nf_resnet50_classification,convnext_base_classification,141,273,,1000,140,140,140,tilde,30,True,13.68405314838445,0.0,2.1367024015304708,1.2758481959464092,13.68405314838445,15.82075554991492,17.09660374586133
