node,0,1,2,3,4,5,6,7,8,9,10,11
i,"{'N': 100, 'p': [20, 25, 35], 'mean': tensor(0.0125), 'std': tensor(0.2673), 'ground_truth': 0.0, 'emp_bias': tensor(4.0926), 'after_corr_bias': tensor(0.0125), 'var': tensor(0.0698), 'mse': tensor(0.0698)}","{'N': 100, 'p': [40, 20, 20], 'mean': tensor(0.0022), 'std': tensor(0.2841), 'ground_truth': 0.0, 'emp_bias': tensor(5.1643), 'after_corr_bias': tensor(0.0022), 'var': tensor(0.0803), 'mse': tensor(0.0801)}","{'N': 100, 'p': [30, 30, 30], 'mean': tensor(0.0281), 'std': tensor(0.2786), 'ground_truth': 0.0, 'emp_bias': tensor(5.2504), 'after_corr_bias': tensor(0.0281), 'var': tensor(0.0783), 'mse': tensor(0.0790)}","{'N': 100, 'p': [35, 40, 20], 'mean': tensor(0.0038), 'std': tensor(0.2244), 'ground_truth': 0.0, 'emp_bias': tensor(3.4250), 'after_corr_bias': tensor(0.0038), 'var': tensor(0.0520), 'mse': tensor(0.0519)}","{'N': 120, 'p': [20, 25, 35], 'mean': tensor(-0.0098), 'std': tensor(0.1846), 'ground_truth': 0.0, 'emp_bias': tensor(3.2392), 'after_corr_bias': tensor(-0.0098), 'var': tensor(0.0341), 'mse': tensor(0.0341)}","{'N': 120, 'p': [40, 20, 20], 'mean': tensor(0.0215), 'std': tensor(0.2311), 'ground_truth': 0.0, 'emp_bias': tensor(4.0376), 'after_corr_bias': tensor(0.0215), 'var': tensor(0.0533), 'mse': tensor(0.0537)}","{'N': 120, 'p': [30, 30, 30], 'mean': tensor(-0.0082), 'std': tensor(0.2169), 'ground_truth': 0.0, 'emp_bias': tensor(4.1354), 'after_corr_bias': tensor(-0.0082), 'var': tensor(0.0479), 'mse': tensor(0.0479)}","{'N': 120, 'p': [35, 40, 20], 'mean': tensor(0.0029), 'std': tensor(0.1650), 'ground_truth': 0.0, 'emp_bias': tensor(2.8229), 'after_corr_bias': tensor(0.0029), 'var': tensor(0.0275), 'mse': tensor(0.0275)}","{'N': 150, 'p': [20, 25, 35], 'mean': tensor(0.0045), 'std': tensor(0.1391), 'ground_truth': 0.0, 'emp_bias': tensor(2.5119), 'after_corr_bias': tensor(0.0045), 'var': tensor(0.0192), 'mse': tensor(0.0192)}","{'N': 150, 'p': [40, 20, 20], 'mean': tensor(-0.0032), 'std': tensor(0.1683), 'ground_truth': 0.0, 'emp_bias': tensor(3.0377), 'after_corr_bias': tensor(-0.0032), 'var': tensor(0.0283), 'mse': tensor(0.0283)}","{'N': 150, 'p': [30, 30, 30], 'mean': tensor(-0.0107), 'std': tensor(0.1616), 'ground_truth': 0.0, 'emp_bias': tensor(3.1850), 'after_corr_bias': tensor(-0.0107), 'var': tensor(0.0262), 'mse': tensor(0.0262)}","{'N': 150, 'p': [35, 40, 20], 'mean': tensor(0.0002), 'std': tensor(0.1306), 'ground_truth': 0.0, 'emp_bias': tensor(2.2496), 'after_corr_bias': tensor(0.0002), 'var': tensor(0.0171), 'mse': tensor(0.0171)}"
j,"{'N': 100, 'p': [20, 25, 35], 'mean': tensor(-0.0615, dtype=torch.float64), 'std': tensor(0.4928, dtype=torch.float64), 'ground_truth': tensor(0., dtype=torch.float64), 'emp_bias': tensor(9.6628, dtype=torch.float64), 'after_corr_bias': tensor(-0.0615, dtype=torch.float64), 'var': tensor(0.2429, dtype=torch.float64), 'mse': tensor(0.2462, dtype=torch.float64)}","{'N': 100, 'p': [40, 20, 20], 'mean': tensor(-0.0203, dtype=torch.float64), 'std': tensor(0.3972, dtype=torch.float64), 'ground_truth': tensor(0., dtype=torch.float64), 'emp_bias': tensor(5.4358, dtype=torch.float64), 'after_corr_bias': tensor(-0.0203, dtype=torch.float64), 'var': tensor(0.1577, dtype=torch.float64), 'mse': tensor(0.1578, dtype=torch.float64)}","{'N': 100, 'p': [30, 30, 30], 'mean': tensor(0.0193, dtype=torch.float64), 'std': tensor(0.6679, dtype=torch.float64), 'ground_truth': tensor(0., dtype=torch.float64), 'emp_bias': tensor(13.3250, dtype=torch.float64), 'after_corr_bias': tensor(0.0193, dtype=torch.float64), 'var': tensor(0.4461, dtype=torch.float64), 'mse': tensor(0.4456, dtype=torch.float64)}","{'N': 100, 'p': [35, 40, 20], 'mean': tensor(0.0375, dtype=torch.float64), 'std': tensor(0.9130, dtype=torch.float64), 'ground_truth': tensor(0., dtype=torch.float64), 'emp_bias': tensor(14.8490, dtype=torch.float64), 'after_corr_bias': tensor(0.0375, dtype=torch.float64), 'var': tensor(0.8335, dtype=torch.float64), 'mse': tensor(0.8332, dtype=torch.float64)}","{'N': 120, 'p': [20, 25, 35], 'mean': tensor(-0.0068, dtype=torch.float64), 'std': tensor(0.3168, dtype=torch.float64), 'ground_truth': tensor(0., dtype=torch.float64), 'emp_bias': tensor(6.6072, dtype=torch.float64), 'after_corr_bias': tensor(-0.0068, dtype=torch.float64), 'var': tensor(0.1004, dtype=torch.float64), 'mse': tensor(0.1002, dtype=torch.float64)}","{'N': 120, 'p': [40, 20, 20], 'mean': tensor(-0.0065, dtype=torch.float64), 'std': tensor(0.2459, dtype=torch.float64), 'ground_truth': tensor(0., dtype=torch.float64), 'emp_bias': tensor(3.4817, dtype=torch.float64), 'after_corr_bias': tensor(-0.0065, dtype=torch.float64), 'var': tensor(0.0605, dtype=torch.float64), 'mse': tensor(0.0604, dtype=torch.float64)}","{'N': 120, 'p': [30, 30, 30], 'mean': tensor(-0.0290, dtype=torch.float64), 'std': tensor(0.3659, dtype=torch.float64), 'ground_truth': tensor(0., dtype=torch.float64), 'emp_bias': tensor(8.0407, dtype=torch.float64), 'after_corr_bias': tensor(-0.0290, dtype=torch.float64), 'var': tensor(0.1339, dtype=torch.float64), 'mse': tensor(0.1345, dtype=torch.float64)}","{'N': 120, 'p': [35, 40, 20], 'mean': tensor(0.0155, dtype=torch.float64), 'std': tensor(0.4193, dtype=torch.float64), 'ground_truth': tensor(0., dtype=torch.float64), 'emp_bias': tensor(7.9929, dtype=torch.float64), 'after_corr_bias': tensor(0.0155, dtype=torch.float64), 'var': tensor(0.1759, dtype=torch.float64), 'mse': tensor(0.1757, dtype=torch.float64)}","{'N': 150, 'p': [20, 25, 35], 'mean': tensor(-0.0070, dtype=torch.float64), 'std': tensor(0.2238, dtype=torch.float64), 'ground_truth': tensor(0., dtype=torch.float64), 'emp_bias': tensor(4.5077, dtype=torch.float64), 'after_corr_bias': tensor(-0.0070, dtype=torch.float64), 'var': tensor(0.0501, dtype=torch.float64), 'mse': tensor(0.0500, dtype=torch.float64)}","{'N': 150, 'p': [40, 20, 20], 'mean': tensor(0.0043, dtype=torch.float64), 'std': tensor(0.1508, dtype=torch.float64), 'ground_truth': tensor(0., dtype=torch.float64), 'emp_bias': tensor(2.2837, dtype=torch.float64), 'after_corr_bias': tensor(0.0043, dtype=torch.float64), 'var': tensor(0.0227, dtype=torch.float64), 'mse': tensor(0.0227, dtype=torch.float64)}","{'N': 150, 'p': [30, 30, 30], 'mean': tensor(0.0087, dtype=torch.float64), 'std': tensor(0.2397, dtype=torch.float64), 'ground_truth': tensor(0., dtype=torch.float64), 'emp_bias': tensor(5.1953, dtype=torch.float64), 'after_corr_bias': tensor(0.0087, dtype=torch.float64), 'var': tensor(0.0575, dtype=torch.float64), 'mse': tensor(0.0574, dtype=torch.float64)}","{'N': 150, 'p': [35, 40, 20], 'mean': tensor(0.0110, dtype=torch.float64), 'std': tensor(0.2477, dtype=torch.float64), 'ground_truth': tensor(0., dtype=torch.float64), 'emp_bias': tensor(4.9221, dtype=torch.float64), 'after_corr_bias': tensor(0.0110, dtype=torch.float64), 'var': tensor(0.0614, dtype=torch.float64), 'mse': tensor(0.0614, dtype=torch.float64)}"
k,"{'N': 100, 'p': [20, 25, 35], 'mean': tensor(-0.0346), 'std': tensor(0.4776), 'ground_truth': 0.0, 'emp_bias': tensor(8.1460), 'after_corr_bias': tensor(-0.0346), 'var': tensor(0.2281), 'mse': tensor(0.2289)}","{'N': 100, 'p': [40, 20, 20], 'mean': tensor(-0.0161), 'std': tensor(0.4772), 'ground_truth': 0.0, 'emp_bias': tensor(8.9282), 'after_corr_bias': tensor(-0.0161), 'var': tensor(0.2278), 'mse': tensor(0.2276)}","{'N': 100, 'p': [30, 30, 30], 'mean': tensor(0.0329), 'std': tensor(0.6489), 'ground_truth': 0.0, 'emp_bias': tensor(13.3386), 'after_corr_bias': tensor(0.0329), 'var': tensor(0.4211), 'mse': tensor(0.4213)}","{'N': 100, 'p': [35, 40, 20], 'mean': tensor(0.0428), 'std': tensor(0.8611), 'ground_truth': 0.0, 'emp_bias': tensor(13.8604), 'after_corr_bias': tensor(0.0428), 'var': tensor(0.7415), 'mse': tensor(0.7418)}","{'N': 120, 'p': [20, 25, 35], 'mean': tensor(-0.0031), 'std': tensor(0.2819), 'ground_truth': 0.0, 'emp_bias': tensor(5.4768), 'after_corr_bias': tensor(-0.0031), 'var': tensor(0.0795), 'mse': tensor(0.0793)}","{'N': 120, 'p': [40, 20, 20], 'mean': tensor(0.0207), 'std': tensor(0.3299), 'ground_truth': 0.0, 'emp_bias': tensor(6.0848), 'after_corr_bias': tensor(0.0207), 'var': tensor(0.1089), 'mse': tensor(0.1091)}","{'N': 120, 'p': [30, 30, 30], 'mean': tensor(-0.0146), 'std': tensor(0.3744), 'ground_truth': 0.0, 'emp_bias': tensor(8.0551), 'after_corr_bias': tensor(-0.0146), 'var': tensor(0.1402), 'mse': tensor(0.1401)}","{'N': 120, 'p': [35, 40, 20], 'mean': tensor(0.0182), 'std': tensor(0.3891), 'ground_truth': 0.0, 'emp_bias': tensor(7.2864), 'after_corr_bias': tensor(0.0182), 'var': tensor(0.1514), 'mse': tensor(0.1514)}","{'N': 150, 'p': [20, 25, 35], 'mean': tensor(0.0063), 'std': tensor(0.2105), 'ground_truth': 0.0, 'emp_bias': tensor(3.7074), 'after_corr_bias': tensor(0.0063), 'var': tensor(0.0443), 'mse': tensor(0.0443)}","{'N': 150, 'p': [40, 20, 20], 'mean': tensor(-0.0015), 'std': tensor(0.2194), 'ground_truth': 0.0, 'emp_bias': tensor(4.1318), 'after_corr_bias': tensor(-0.0015), 'var': tensor(0.0481), 'mse': tensor(0.0480)}","{'N': 150, 'p': [30, 30, 30], 'mean': tensor(-0.0008), 'std': tensor(0.2405), 'ground_truth': 0.0, 'emp_bias': tensor(5.1858), 'after_corr_bias': tensor(-0.0008), 'var': tensor(0.0578), 'mse': tensor(0.0577)}","{'N': 150, 'p': [35, 40, 20], 'mean': tensor(0.0098), 'std': tensor(0.2441), 'ground_truth': 0.0, 'emp_bias': tensor(4.4241), 'after_corr_bias': tensor(0.0098), 'var': tensor(0.0596), 'mse': tensor(0.0596)}"
h,"{'N': 100, 'p': [20, 25, 35], 'mean': tensor(-0.0144, dtype=torch.float64), 'std': tensor(0.3066, dtype=torch.float64), 'ground_truth': tensor(0., dtype=torch.float64), 'emp_bias': tensor(5.6095, dtype=torch.float64), 'after_corr_bias': tensor(-0.0144, dtype=torch.float64), 'var': tensor(0.0937, dtype=torch.float64), 'mse': tensor(0.0937, dtype=torch.float64)}","{'N': 100, 'p': [40, 20, 20], 'mean': tensor(-0.0019, dtype=torch.float64), 'std': tensor(0.1359, dtype=torch.float64), 'ground_truth': tensor(0., dtype=torch.float64), 'emp_bias': tensor(1.6719, dtype=torch.float64), 'after_corr_bias': tensor(-0.0019, dtype=torch.float64), 'var': tensor(0.0187, dtype=torch.float64), 'mse': tensor(0.0187, dtype=torch.float64)}","{'N': 100, 'p': [30, 30, 30], 'mean': tensor(0.0145, dtype=torch.float64), 'std': tensor(0.2879, dtype=torch.float64), 'ground_truth': tensor(0., dtype=torch.float64), 'emp_bias': tensor(5.2368, dtype=torch.float64), 'after_corr_bias': tensor(0.0145, dtype=torch.float64), 'var': tensor(0.0829, dtype=torch.float64), 'mse': tensor(0.0829, dtype=torch.float64)}","{'N': 100, 'p': [35, 40, 20], 'mean': tensor(-0.0015, dtype=torch.float64), 'std': tensor(0.2672, dtype=torch.float64), 'ground_truth': tensor(0., dtype=torch.float64), 'emp_bias': tensor(4.4136, dtype=torch.float64), 'after_corr_bias': tensor(-0.0015, dtype=torch.float64), 'var': tensor(0.0718, dtype=torch.float64), 'mse': tensor(0.0717, dtype=torch.float64)}","{'N': 120, 'p': [20, 25, 35], 'mean': tensor(-0.0135, dtype=torch.float64), 'std': tensor(0.2265, dtype=torch.float64), 'ground_truth': tensor(0., dtype=torch.float64), 'emp_bias': tensor(4.3696, dtype=torch.float64), 'after_corr_bias': tensor(-0.0135, dtype=torch.float64), 'var': tensor(0.0513, dtype=torch.float64), 'mse': tensor(0.0514, dtype=torch.float64)}","{'N': 120, 'p': [40, 20, 20], 'mean': tensor(-0.0057, dtype=torch.float64), 'std': tensor(0.1139, dtype=torch.float64), 'ground_truth': tensor(0., dtype=torch.float64), 'emp_bias': tensor(1.4345, dtype=torch.float64), 'after_corr_bias': tensor(-0.0057, dtype=torch.float64), 'var': tensor(0.0133, dtype=torch.float64), 'mse': tensor(0.0133, dtype=torch.float64)}","{'N': 120, 'p': [30, 30, 30], 'mean': tensor(-0.0226, dtype=torch.float64), 'std': tensor(0.2055, dtype=torch.float64), 'ground_truth': tensor(0., dtype=torch.float64), 'emp_bias': tensor(4.1211, dtype=torch.float64), 'after_corr_bias': tensor(-0.0226, dtype=torch.float64), 'var': tensor(0.0422, dtype=torch.float64), 'mse': tensor(0.0426, dtype=torch.float64)}","{'N': 120, 'p': [35, 40, 20], 'mean': tensor(0.0002, dtype=torch.float64), 'std': tensor(0.2087, dtype=torch.float64), 'ground_truth': tensor(0., dtype=torch.float64), 'emp_bias': tensor(3.5294, dtype=torch.float64), 'after_corr_bias': tensor(0.0002, dtype=torch.float64), 'var': tensor(0.0436, dtype=torch.float64), 'mse': tensor(0.0436, dtype=torch.float64)}","{'N': 150, 'p': [20, 25, 35], 'mean': tensor(-0.0088, dtype=torch.float64), 'std': tensor(0.1700, dtype=torch.float64), 'ground_truth': tensor(0., dtype=torch.float64), 'emp_bias': tensor(3.3123, dtype=torch.float64), 'after_corr_bias': tensor(-0.0088, dtype=torch.float64), 'var': tensor(0.0290, dtype=torch.float64), 'mse': tensor(0.0290, dtype=torch.float64)}","{'N': 150, 'p': [40, 20, 20], 'mean': tensor(0.0025, dtype=torch.float64), 'std': tensor(0.0858, dtype=torch.float64), 'ground_truth': tensor(0., dtype=torch.float64), 'emp_bias': tensor(1.1896, dtype=torch.float64), 'after_corr_bias': tensor(0.0025, dtype=torch.float64), 'var': tensor(0.0073, dtype=torch.float64), 'mse': tensor(0.0073, dtype=torch.float64)}","{'N': 150, 'p': [30, 30, 30], 'mean': tensor(-0.0011, dtype=torch.float64), 'std': tensor(0.1613, dtype=torch.float64), 'ground_truth': tensor(0., dtype=torch.float64), 'emp_bias': tensor(3.1945, dtype=torch.float64), 'after_corr_bias': tensor(-0.0011, dtype=torch.float64), 'var': tensor(0.0261, dtype=torch.float64), 'mse': tensor(0.0261, dtype=torch.float64)}","{'N': 150, 'p': [35, 40, 20], 'mean': tensor(0.0014, dtype=torch.float64), 'std': tensor(0.1548, dtype=torch.float64), 'ground_truth': tensor(0., dtype=torch.float64), 'emp_bias': tensor(2.7476, dtype=torch.float64), 'after_corr_bias': tensor(0.0014, dtype=torch.float64), 'var': tensor(0.0240, dtype=torch.float64), 'mse': tensor(0.0239, dtype=torch.float64)}"
