subset,subset_size,cmi_score,unique,red,unq2,syn,elapsed_seconds,status
0,1,0.2691610336160485,0.05809780990701796,1.3440354458781272,43.15548858545056,0.02973836053102019,393.9825184997171,unique_below_threshold
1,1,0.28611176100899016,0.07242713340232854,1.2364634440780051,43.263060587250685,0.03235977312138516,439.11903585121036,unique_below_threshold
2,1,0.3129942411948533,0.09808630120081574,1.428875279930466,43.070648751398224,0.03358311471536268,484.92350572161376,unique_below_threshold
3,1,0.2326387397337611,0.0274897476518845,0.6447670775229497,43.85475695380574,0.02382422724329558,530.0527198724449,unique_below_threshold
4,1,0.2528771912817106,0.04116364262284122,0.8528187380812824,43.64670529324741,0.03038868973286668,576.1392434155568,unique_below_threshold
5,1,0.27131929229133606,0.05888896822079914,0.820566641510581,43.67895738981811,0.03110549628090098,622.4223889950663,unique_below_threshold
6,1,0.26101291158140455,0.05004314608624583,0.818583634541902,43.680940396786795,0.029644937288445306,668.599981084466,unique_below_threshold
7,1,0.2490720713850575,0.04237077254748556,0.7504135555606766,43.74911047576801,0.025376535045921855,720.1705351574346,unique_below_threshold
8,1,0.21750656470386523,0.01077190840936737,0.5668532454739861,43.932670785854704,0.025409879572038108,771.0474024778232,unique_below_threshold
9,1,0.21672294373049314,0.010869613653724741,0.6294245368662459,43.870099494462444,0.024528556361204323,824.0257577011362,unique_below_threshold
10,1,0.2299966563786726,0.021898330694149593,0.6345480936530805,43.86497593767561,0.026773531262925587,877.3159899497405,unique_below_threshold
11,1,0.23233430281747017,0.02342642182470911,0.46763974205322967,44.03188428927546,0.027583089749739997,929.6343985041603,unique_below_threshold
12,1,0.21983513202379615,0.011504756994668242,0.38476390421379847,44.11476012711489,0.027005581773494214,984.7310458915308,unique_below_threshold
13,1,0.23516657307188282,0.027421149738763972,0.4092308736517438,44.090293157676946,0.026420629093784953,1041.9230219749734,unique_below_threshold
14,1,0.22202904317027214,0.018399558955465523,0.1657210959061146,44.333802935422575,0.022304756922082447,1096.8044117223471,unique_below_threshold
15,1,0.2249866515421041,0.018195922480771287,0.28702434918465514,44.212499682144035,0.02546596963935599,1154.0811452306807,unique_below_threshold
16,1,0.21934047174729282,0.009968153343244524,0.2695610221239164,44.22996300920477,0.028047509857962893,1209.2635043142363,unique_below_threshold
17,1,0.21922148059899096,0.011436783811404894,0.2851802822939149,44.214343749034775,0.026459914443137222,1264.7577671501786,unique_below_threshold
18,1,0.2314281132704311,0.023334938246939885,0.41216110508714365,44.087362926241546,0.026768392403788255,1320.7035603690892,unique_below_threshold
19,1,0.2188925915429741,0.01080897021203242,0.280040144375036,44.219483886953654,0.026758829306309906,1387.0959884831682,unique_below_threshold
20,1,0.22766037574771247,0.018378692719544176,0.2961140381333536,44.203409993195336,0.02795688757081649,1441.4569079475477,unique_below_threshold
21,1,0.2026910063626001,0.0,0.34964329876107314,44.14988073256762,0.02136625988140395,1501.7863869359717,unique_below_threshold
22,1,0.24652546622006755,0.03498142103161683,0.27880629443757243,44.22071773689112,0.03021925347663057,1556.6351291220635,unique_below_threshold
23,1,0.23369173410433966,0.023540936972544557,0.26951825021031084,44.23000578111838,0.028826001718734062,1618.6016199663281,unique_below_threshold
24,1,0.22325107652944007,0.014141586275883355,0.23742703934795628,44.262096991980734,0.027784693329493848,1678.5955087700859,unique_below_threshold
25,1,0.22338200234037148,0.01663087818015896,0.2536103832081267,44.24591364812056,0.02542635674601712,1741.1516161393374,unique_below_threshold
26,1,0.22263690180662327,0.01660411262585626,0.25713177751116234,44.24239225381753,0.024708035316962196,1803.9782836213708,unique_below_threshold
27,1,0.2370809282773568,0.02930967484766711,0.2515437368519784,44.24798029447671,0.026446483859729142,1865.534945840016,unique_below_threshold
28,1,0.2053120274393924,0.0,0.2109241478092443,44.288599883519446,0.023987247618919127,1924.0221100570634,unique_below_threshold
29,1,0.21488333013284636,0.007792742356699023,0.24462576657828805,44.2548982647504,0.025765802912886215,1980.6634396435693,unique_below_threshold
30,1,0.2177391247864498,0.012946967734436043,0.28987001512022914,44.20965401620846,0.023467402409764304,2034.277803705074,unique_below_threshold
31,1,0.22055475011733403,0.01395843779882,0.2460909262420401,44.25343310508665,0.02527154901746087,2087.8584103109315,unique_below_threshold
32,1,0.20584635969008722,0.0017165251926343217,0.2570936703292688,44.24243036099942,0.022805078286737057,2146.682335634716,unique_below_threshold
33,1,0.2144376299701016,0.007702679616585328,0.22574013887654587,44.273783892452144,0.025410178240349524,2197.567377069965,unique_below_threshold
34,1,0.22537784632084304,0.01758851667499073,0.22960881317841597,44.269915218150274,0.026464557009390433,2250.8074527168646,unique_below_threshold
