subset,subset_size,cmi_score,unique,red,unq2,syn,elapsed_seconds,status
0;1,2,,0.1158067058279002,2.5997891326213463,45.60133203845528,0.05055867717508278,259.2838339819573,unique_pass
0;2,2,,0.15502526644363712,2.7740572541762134,45.42706391690042,0.053471505330740854,438.54950817395,unique_pass
0;4,2,,0.1018492010026435,2.197596325821884,46.00352484525475,0.05067925347272961,619.6530348360538,unique_pass
0;9,2,,0.06314266034349458,1.9797665429938718,46.221354628082764,0.04642311146169931,794.6298831421882,unique_below_threshold
0;13,2,,0.08873216954624752,1.7500352264723986,46.45108594460424,0.04882684028414985,970.4199635218829,unique_below_threshold
0;27,2,,0.08562386686498513,1.5987840407281766,46.60233713034846,0.048610374941908674,1150.0467543210834,unique_below_threshold
0;33,2,,0.06585643672319463,1.5717949207583573,46.62932625031828,0.047265415580071135,1326.4560625799932,unique_below_threshold
0;39,2,,0.08122244324142258,1.520748709484586,46.68037246159205,0.04978094054558113,1502.4923650231212,unique_below_threshold
0;41,2,,0.06973598440373507,1.549248781459454,46.65187238961718,0.04780086311205878,1679.137840108946,unique_below_threshold
0;45,2,,0.06377273647913739,1.502610559121706,46.69851061195493,0.04769724524274466,1854.5317260767333,unique_below_threshold
0;48,2,,0.06255178620684632,1.4827034729943307,46.718417698082305,0.04721598341817668,2028.616626300849,unique_below_threshold
1;6,2,,0.10824181776904851,2.069685133734751,46.131436037341885,0.05078986918756101,2206.0212410930544,unique_pass
1;7,2,,0.09960215315060594,2.002868236499829,46.19825293457681,0.0488971351486569,2387.0196695728227,unique_below_threshold
1;14,2,,0.07011185937444964,1.4228825419566817,46.778238629119954,0.04629417247592471,2563.3526098039,unique_below_threshold
1;16,2,,0.07071373094649402,1.5202324273952925,46.680888743681344,0.048904825939899865,2740.356855657883,unique_below_threshold
1;29,2,,0.06911641464829898,1.492815634976182,46.708305536100454,0.04807460398428276,2917.3246472668834,unique_below_threshold
1;34,2,,0.0844412829237342,1.4778102755948765,46.72331089548176,0.04916522907311105,3091.1956372829154,unique_below_threshold
1;42,2,,0.07593008105391874,1.4357081980253952,46.76541297305124,0.048842850206817445,3263.3985523977317,unique_below_threshold
1;48,2,,0.0644919327800153,1.3857752335672942,46.81534593750934,0.04768703107339434,3435.3703773957677,unique_below_threshold
2;3,2,,0.12880563206854134,2.0704783607969617,46.130642810279674,0.050526634538961446,3609.318895333912,unique_pass
2;5,2,,0.1540118804463475,2.257533872670713,45.94358729840592,0.053904777021926975,3786.2157514328137,unique_pass
2;6,2,,0.15041264748151661,2.2470716579422714,45.954049513134365,0.053553042169596665,3960.2983674877323,unique_pass
2;7,2,,0.13549697293401408,2.1842834692249866,46.01683770185165,0.05099704052160092,4136.371715378948,unique_pass
2;8,2,,0.10647923992122088,1.998223839903801,46.202897331172835,0.05018564687252791,4314.3941957149655,unique_pass
2;9,2,,0.10341086766881347,2.0640919065366248,46.13702926454001,0.049200951214558586,4489.285372490995,unique_pass
2;14,2,,0.10603934499106771,1.6050441847509447,46.59607698632569,0.04840352195328279,4655.354895187076,unique_pass
2;24,2,,0.11001724160034598,1.6711909793623008,46.529930191714335,0.0510996653877811,4828.743775291834,unique_pass
2;34,2,,0.11877947603553451,1.6548844538692364,46.5462367172074,0.05130812587984934,5001.611938248854,unique_pass
2;35,2,,0.09743637691812523,1.692701592695137,46.5084195783815,0.04944962637287631,5173.818442514166,unique_below_threshold
2;43,2,,0.09444553307844217,1.6253274290835122,46.575793741993124,0.049496898243148735,5346.047836099751,unique_below_threshold
3;4,2,,0.07460431010770918,1.4920282074034859,46.70909296367314,0.04747103541779296,5519.691052981187,unique_below_threshold
3;14,2,,0.04055916894944289,0.819789849712862,47.381331321363774,0.04276450081587768,5686.484196764883,unique_below_threshold
3;19,2,,0.04218705560552394,0.9304709709902994,47.27065020008634,0.04532259478210676,5856.033688568976,unique_below_threshold
3;31,2,,0.04346564964139077,0.8889387249881153,47.31218244608852,0.04473527993248183,6023.687727856915,unique_below_threshold
3;38,2,,0.03804129009925106,0.8123790401766229,47.38874213090001,0.04443779607353093,6193.758863274939,unique_below_threshold
3;43,2,,0.028771121266444766,0.836924547696988,47.36419662337965,0.04385430111933886,6359.9085341040045,unique_below_threshold
3;46,2,,0.03115028312824819,0.8544255348574836,47.34669563621915,0.043716395615241765,6530.660266297869,unique_below_threshold
