subset,subset_size,cmi_score,unique,red,unq2,syn,elapsed_seconds,status
0;6;45,3,,0.11884981522774751,2.3324075582135677,42.16711647311504,0.085666229555585,145.10394087526947,unique_pass
0;11;47,3,,0.09300808537878424,1.9872289151818592,42.512295116146745,0.08224026959473463,243.28334043268114,unique_below_threshold
0;17;25,3,,0.08781870244440171,1.8857424808485916,42.61378155048001,0.08153399205908585,340.6703152824193,unique_below_threshold
0;24;25,3,,0.09071097530066652,1.8434431297341476,42.65608090159446,0.08294880281793837,439.00757677666843,unique_below_threshold
1;3;16,3,,0.10889070626213027,2.1544715688141878,42.34505246251442,0.08412435014322739,537.9967098264024,unique_pass
1;10;16,3,,0.10407774538219172,2.148545073157905,42.3509789581707,0.08726275584474052,636.0734666837379,unique_pass
1;19;23,3,,0.10626240015938038,1.7913515302397514,42.70817250108885,0.08723178697218259,743.9311271347106,unique_pass
1;24;28,3,,0.08620761433883928,1.6919787524451166,42.80754527888349,0.08541574730863744,852.4122837558389,unique_below_threshold
1;40;44,3,,0.07371893896292647,1.603086265613051,42.896437765715554,0.08047053127798165,975.0361901596189,unique_below_threshold
2;8;38,3,,0.11126007740605814,2.1670478548032435,42.33247617652536,0.08517415995726196,1093.0573158729821,unique_pass
2;9;26,3,,0.1319983894390262,2.324188853138544,42.17533517819006,0.08374434736875713,1216.368609379977,unique_pass
2;12;33,3,,0.11679070716984796,2.042233392193694,42.45729063913491,0.08561695816766957,1335.0295176571235,unique_pass
3;10;47,3,,0.05998595032974663,1.451159452801356,43.04836457852725,0.07613081323324877,1465.3288358598948,unique_below_threshold
3;18;40,3,,0.051145184003026145,1.2622761755243985,43.237247855804206,0.07403056569383892,1595.1504385592416,unique_below_threshold
3;24;27,3,,0.07196510336537898,1.1346367342977501,43.364887297030855,0.07793024229014378,1712.8989852154627,unique_below_threshold
3;26;42,3,,0.047193768104953904,1.1011353317462493,43.398388699582355,0.0721350806771639,1817.5406465837732,unique_below_threshold
3;26;48,3,,0.04242093700901961,1.0463540677758516,43.45316996355275,0.07260401014962525,1926.6043192436919,unique_below_threshold
4;18;35,3,,0.06809620151784657,1.5247382270908005,42.974785804237804,0.08196191272131159,2034.1391019318253,unique_below_threshold
4;30;32,3,,0.06312362243954084,1.3968690850527707,43.102654946275834,0.07785729608546177,2131.09777341038,unique_below_threshold
5;26;37,3,,0.09540749671397464,1.3271930237693113,43.17233100755929,0.0817798516618069,2229.96825393755,unique_below_threshold
