subset,subset_size,cmi_score,unique,red,unq2,syn,elapsed_seconds,status
0,1,0.2691610470475593,0.05809782048259393,1.3440354161204198,43.15548861520827,0.029738363386833555,77.22883581399219,unique_below_threshold
1,1,0.2861116419422127,0.07242703483673552,1.236463546888551,43.26306048444014,0.03235975262036561,129.5979077719967,unique_below_threshold
2,1,0.3129943924331431,0.09808643393805738,1.4288751759601936,43.070648855368496,0.03358313321722761,181.57542438898236,unique_below_threshold
3,1,0.23263876713802445,0.02748977330215041,0.6447670995495898,43.8547569317791,0.023824228997099794,233.9715306960279,unique_below_threshold
4,1,0.2528771975935269,0.04116364397016525,0.8528187905830933,43.6467052407456,0.030388694696469543,287.0265731480322,unique_below_threshold
5,1,0.2713194595215967,0.05888912488720166,0.8205678130579912,43.6789562182707,0.03110550684485247,338.8606627309928,unique_below_threshold
6,1,0.2610128462709396,0.05004310071618079,0.8185827477198799,43.68094128360881,0.029644917348292665,392.0976838829811,unique_below_threshold
7,1,0.24907234830066438,0.04237104471921782,0.7504145331370111,43.74910949819168,0.02537653978966148,447.9331866489956,unique_below_threshold
8,1,0.2175066362555317,0.010772018771803005,0.5668535449603809,43.93267048636831,0.025409840761142277,500.32965971401427,unique_below_threshold
9,1,0.21672298591640204,0.010869610876063973,0.6294232456603766,43.87010078566831,0.02452860132407153,554.1439840359963,unique_below_threshold
10,1,0.22999519852203265,0.021897043103571434,0.634546699195937,43.86497733213275,0.026773360997729867,608.3230688929907,unique_below_threshold
11,1,0.23233505333686313,0.02342720689851774,0.4676404392266491,44.03188359210204,0.02758305519573412,661.4781686930219,unique_below_threshold
12,1,0.2198351382873221,0.011504741261269658,0.3847485101255188,44.11477552120317,0.0270056037717481,715.0668247010326,unique_below_threshold
13,1,0.23515692870660926,0.027412468779893118,0.4092038926692112,44.09032013865948,0.026419665701602923,768.550059146015,unique_below_threshold
14,1,0.22201586402871681,0.018388839171628035,0.16569080727278163,44.33383322405591,0.022302297581056507,822.5352116029826,unique_below_threshold
15,1,0.22499686622162804,0.01820458407630099,0.2870655938836464,44.212458437445044,0.02546752270652064,876.0649236179888,unique_below_threshold
16,1,0.2193503276309884,0.009978356772933239,0.26959755438661404,44.229926476942076,0.028047162353743715,929.6625418449985,unique_below_threshold
17,1,0.21912488627012947,0.01134991646573269,0.28493562994930954,44.21458840137938,0.026450187600900676,983.199647387024,unique_below_threshold
18,1,0.23146569100959977,0.02338170806355322,0.412218293804834,44.087305737523856,0.026759200420613638,1037.5627098740079,unique_below_threshold
19,1,0.21894195543746256,0.01085612143342729,0.27992468966643713,44.21959934166225,0.02676104207284169,1090.7455897739856,unique_below_threshold
20,1,0.2276005245996388,0.01833133755271632,0.2962038863377714,44.20332014499092,0.027944391666643753,1143.9376629359904,unique_below_threshold
21,1,0.202727370634672,0.0,0.34979256801379677,44.14973146331489,0.02140262408408944,1198.4238266919856,unique_below_threshold
22,1,0.24666453677140562,0.03510102041104801,0.2785235710206848,44.221000460308005,0.030238724610711643,1252.2943803180242,unique_below_threshold
23,1,0.23366281204725217,0.023472160930182895,0.26971712844154894,44.22980690288714,0.02886585494992744,1304.293515792,unique_below_threshold
24,1,0.2232808361907465,0.014159697188006248,0.2374239312937334,44.26210010003496,0.027796341953688852,1356.005844698986,unique_below_threshold
25,1,0.22431536488635445,0.017454187095687246,0.25446644464764745,44.24505758668104,0.025536411142532245,1409.9219375450048,unique_below_threshold
26,1,0.2217061004237557,0.015777893133467558,0.25586883120355,44.24365520012514,0.024603453318043478,1464.7448793140356,unique_below_threshold
27,1,0.23615188913787827,0.02844854647137396,0.2507107546067431,44.24881327672195,0.02637857316823755,1518.3385799149983,unique_below_threshold
28,1,0.20450350999197506,0.0,0.2052869884086519,44.29423704292004,0.023178729810979348,1571.2131599159911,unique_below_threshold
29,1,0.21363824868252246,0.006407048021166872,0.2481565713548619,44.25136745997383,0.02590641372828628,1623.6296485260245,unique_below_threshold
0;2,2,,0.155568774813851,2.773513472007295,41.72601055932168,0.06322138925414578,1701.0213499169913,unique_pass
1;2,2,,0.16488015370897102,2.670961573061561,41.82856245826741,0.06466974397118719,1774.276937366987,unique_pass
2;3,2,,0.12547184000174383,2.073812032368039,42.425711998960935,0.057434950551090935,1846.893089456018,unique_pass
2;4,2,,0.1421027554061709,2.301373039492276,42.1981509918367,0.06317070216823595,1921.6957213020069,unique_pass
2;5,2,,0.15756718403991954,2.253977553726756,42.24554647760222,0.06469340828468262,1997.515024570981,unique_pass
2;6,2,,0.14933451272231224,2.248150507810081,42.25137352351889,0.06336133994326332,2071.4096237799968,unique_pass
2;7,2,,0.14039260140856413,2.1793922995112,42.320131731817774,0.05901271308903233,2147.004740388016,unique_pass
2;8,2,,0.10754210014217591,1.9971592864267151,42.50236474490226,0.058736668936383296,2222.8118156089913,unique_pass
2;9,2,,0.10862981407898076,2.0588717517407673,42.44065227958821,0.058149089441926094,2299.707428126014,unique_pass
2;10,2,,0.12205133937277424,2.0651297152597152,42.43439431606926,0.060495782094562855,2372.5533140930347,unique_pass
2;11,2,,0.12279206623006189,1.9049011435548806,42.594622887774094,0.0609058599439436,2448.172095498012,unique_pass
2;12,2,,0.10942501888444411,1.8163033353506108,42.68322069597836,0.060249481522170356,2522.8097227539984,unique_pass
2;13,2,,0.1248165634883378,1.8387645519110407,42.66075947941793,0.05983585292383964,2597.3479039240046,unique_pass
2;14,2,,0.11647094727427998,1.594571646736057,42.90495238459292,0.05596516375064198,2671.4048423320055,unique_pass
2;15,2,,0.12128702967923033,1.7222965533771344,42.77722747795184,0.059155582232072845,2745.779966939008,unique_pass
2;16,2,,0.11098257097383879,1.6986186519927813,42.80090537933619,0.062122751123304454,2822.099500268989,unique_pass
2;17,2,,0.1093239900125269,1.7160877591724315,42.78343627215654,0.060050013689718185,2899.800846167025,unique_pass
2;18,2,,0.12143381963412736,1.8460923990536955,42.65343163227528,0.060041054036439334,2976.436153220013,unique_pass
2;19,2,,0.10865219272690751,1.7094844111128253,42.79003962021615,0.06029257414024869,3051.3495176220313,unique_pass
2;20,2,,0.11897252638899403,1.7285613382564406,42.77096269307253,0.06176992700822126,3127.3308486290043,unique_pass
2;21,2,,0.09728665345424758,1.7802232398483042,42.71930079148067,0.05565841195202381,3202.419248368009,unique_below_threshold
2;22,2,,0.13309606988760692,1.7074868171633213,42.79203721416565,0.06388660950876357,3276.9990964099998,unique_pass
2;23,2,,0.11911079516509915,1.7011257883999562,42.79839824292902,0.0618644739494556,3351.279903608025,unique_pass
2;24,2,,0.1122501462598322,1.6688832508774851,42.83064078045149,0.06109000659643726,3423.8901204040158,unique_pass
2;25,2,,0.11694822597926446,1.6840190015321994,42.815505029796775,0.05941612085327819,3498.94444160501,unique_pass
2;26,2,,0.11366271095779013,1.6868275217073716,42.8126965096216,0.05813542452863629,3574.12785889901,unique_pass
2;27,2,,0.12573561372184372,1.680440235977187,42.81908379535179,0.05987886328037462,3648.3934114900185,unique_pass
2;28,2,,0.09573453567841739,1.6382328873051506,42.861291144023824,0.058969450648390875,3723.445877576014,unique_below_threshold
2;29,2,,0.10439846700865019,1.6779328079231988,42.821591223405775,0.05945118488793355,3798.4782861720305,unique_pass
0;1,2,,0.1260959702544966,2.5894998739340878,41.910024157394886,0.060344661351550144,3875.3849741769955,unique_pass
1;3,2,,0.09943144897448519,1.8818198001598248,42.61770423116915,0.0559831948646945,3950.461414974008,unique_below_threshold
1;4,2,,0.1140880205880066,2.0956675120025423,42.40385651932643,0.06199847531932079,4026.5084020560025,unique_pass
1;5,2,,0.13230589543749005,2.064211065699155,42.43531296562982,0.06321552725706425,4102.7350785789895,unique_pass
1;6,2,,0.1182299379468148,2.059698033277961,42.43982599805101,0.061163949152010844,4179.455160928017,unique_pass
1;7,2,,0.11476198571351404,1.9877130629982318,42.51181096833074,0.05772945986110756,4257.037909701001,unique_pass
1;8,2,,0.08309020570499115,1.8060789530580408,42.69344507827093,0.057762462744648246,4330.746333696996,unique_below_threshold
1;9,2,,0.08342453452216603,1.8666884927005682,42.632835538628406,0.05695713683176962,4404.477065710991,unique_below_threshold
1;10,2,,0.0943158193183038,1.872097699413807,42.62742633191517,0.05917856054787052,4480.301724122022,unique_below_threshold
1;11,2,,0.09719905354440073,1.7077036999406872,42.79182033138829,0.06006776052915086,4557.683598569012,unique_below_threshold
1;12,2,,0.08390551282099779,1.6212204398186856,42.87830359151029,0.059389973965487286,4631.799584388034,unique_below_threshold
1;13,2,,0.09986230362968485,1.6456731433196197,42.853850888009354,0.058809030756385994,4705.466965311032,unique_below_threshold
1;14,2,,0.09075667932298614,1.402196874108725,43.09732715722025,0.05468191937297462,4780.3430887720315,unique_below_threshold
1;15,2,,0.09050632641058343,1.5248195266071107,42.97470450472186,0.05774380262794665,4854.5725523059955,unique_below_threshold
1;16,2,,0.08211431159510596,1.5088856795951315,42.99063835173384,0.06053202699739302,4929.391177184007,unique_below_threshold
1;17,2,,0.08414969090145519,1.5210387367279594,42.978485294601015,0.058920619676825936,5003.907341120008,unique_below_threshold
1;18,2,,0.09606846394083846,1.6527858084356382,42.846738222893336,0.05918100958467676,5078.801112440997,unique_below_threshold
1;19,2,,0.08265100996380426,1.5170099070343284,42.982514124294646,0.05902568426690635,5154.923700273037,unique_below_threshold
1;20,2,,0.08936083589314592,1.5341052391983325,42.96541879213064,0.0600607356451377,5229.442661056004,unique_below_threshold
1;21,2,,0.0718721093966721,1.5867948568887584,42.912729174440216,0.0545165295881489,5303.281586866011,unique_below_threshold
1;22,2,,0.10735257139199916,1.5152618329460523,42.98426219838292,0.06259750093875027,5375.694367258984,unique_pass
