swept_variable,swept_dimension,target_dim,source1_dim,source2_dim,method,minimum_eigenvalue,redundancy,unique_source1,unique_source2,synergy,I(source1;target),I(source2;target),"I(source1,source2;target)",runtime_seconds,max_abs_diff_vs_eigen
target,10,10,50,55,gpid_tilde,0.20871215252207925,3.304820237218406,0.0,3.157586014584485,1.4624057809232909,3.304820237218406,6.462406251802891,7.924812032726182,0.3511464500334114,4.7087960020064656e-07
target,10,10,50,55,thin_pid,0.20871215252207925,3.304820236017277,1.201128974059884e-09,3.157586015785614,1.462405779722162,3.304820237218406,6.462406251802891,7.924812032726182,7.385123064043,4.7208072917470645e-07
target,10,10,50,55,eigen_pid,0.20871215252207925,3.3048202372184052,0.0,3.157586014584485,1.462406251802891,3.3048202372184057,6.46240625180289,7.924812503605782,0.02685822290368378,0.0
target,20,20,50,55,gpid_tilde,0.20871215252207986,6.609640474436814,0.0,6.315172029168968,2.9248115618465835,6.609640474436812,12.92481250360578,15.849624065452364,0.4070623889565468,9.417591986249363e-07
target,20,20,50,55,thin_pid,0.20871215252207986,6.609640473324696,1.1121183973727966e-09,6.3151720302810865,2.924811560734465,6.609640474436812,12.92481250360578,15.849624065452364,7.782120499992743,9.428713170223091e-07
target,20,20,50,55,eigen_pid,0.20871215252207986,6.609640474436812,0.0,6.315172029168968,2.924812503605782,6.609640474436812,12.92481250360578,15.849625007211563,0.05382542894221842,0.0
target,30,30,50,55,gpid_tilde,0.20871215252207842,9.914460711655224,0.0,9.472758043753446,4.387217342769883,9.914460711655222,19.387218755408668,23.77443609817855,0.4176121780183166,1.4126387881674418e-06
target,30,30,50,55,thin_pid,0.20871215252207842,9.914460710457135,1.1980887393292505e-09,9.472758044951535,4.3872173415717945,9.914460711655222,19.387218755408668,23.77443609817855,7.799668816849589,1.4138368733540574e-06
target,30,30,50,55,eigen_pid,0.20871215252207842,9.914460711655215,0.0,9.472758043753457,4.387218755408668,9.914460711655218,19.387218755408668,23.77443751081734,0.13183425087481737,0.0
target,40,40,50,55,gpid_tilde,0.20871215252207811,13.219280948873624,0.0,12.630344058337933,5.849623123693178,13.219280948873624,25.849625007211557,31.699248130904735,0.5390428570099175,1.883518393697159e-06
