example,sweep_variable,swept_dimension,target_dim,source1_dim,source2_dim,source1_gain,source2_gain,source1_noise_variance,source2_noise_variance,runtime_repeat,method,status,message,red,unq1,unq2,syn,bi_mi_1,bi_mi_2,tri_mi,identity_error_joint,identity_error_x1,identity_error_x2,runtime_seconds
all_atoms_positive,source1_dim,1,2,1,2,1.4142135623730951,1.4142135623730951,1.0,1.0,0,gpid_tilde,ok,,0.5000000480713358,0.29248120228924224,0.7924812022892421,0.2075186955198658,0.7924812503605781,1.292481250360578,1.792481148169686,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.024231112794950604
all_atoms_positive,source1_dim,1,2,1,2,1.4142135623730951,1.4142135623730951,1.0,1.0,1,gpid_tilde,ok,,0.5000000480713358,0.29248120228924224,0.7924812022892421,0.2075186955198658,0.7924812503605781,1.292481250360578,1.792481148169686,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.023226883029565215
all_atoms_positive,source1_dim,1,2,1,2,1.4142135623730951,1.4142135623730951,1.0,1.0,2,gpid_tilde,ok,,0.5000000480713358,0.29248120228924224,0.7924812022892421,0.2075186955198658,0.7924812503605781,1.292481250360578,1.792481148169686,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.023454505018889904
all_atoms_positive,source1_dim,1,2,1,2,1.4142135623730951,1.4142135623730951,1.0,1.0,3,gpid_tilde,ok,,0.5000000480713358,0.29248120228924224,0.7924812022892421,0.2075186955198658,0.7924812503605781,1.292481250360578,1.792481148169686,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.023147643078118563
all_atoms_positive,source1_dim,1,2,1,2,1.4142135623730951,1.4142135623730951,1.0,1.0,4,gpid_tilde,ok,,0.5000000480713358,0.29248120228924224,0.7924812022892421,0.2075186955198658,0.7924812503605781,1.292481250360578,1.792481148169686,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.022982890950515866
all_atoms_positive,source1_dim,1,2,1,2,1.4142135623730951,1.4142135623730951,1.0,1.0,0,thin_pid,ok,,0.5,0.29248125036057804,0.7924812503605779,0.20751864744853,0.7924812503605781,1.292481250360578,1.792481148169686,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.008995313895866275
all_atoms_positive,source1_dim,1,2,1,2,1.4142135623730951,1.4142135623730951,1.0,1.0,1,thin_pid,ok,,0.5,0.29248125036057804,0.7924812503605779,0.20751864744853,0.7924812503605781,1.292481250360578,1.792481148169686,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.00835571507923305
all_atoms_positive,source1_dim,1,2,1,2,1.4142135623730951,1.4142135623730951,1.0,1.0,2,thin_pid,ok,,0.5,0.29248125036057804,0.7924812503605779,0.20751864744853,0.7924812503605781,1.292481250360578,1.792481148169686,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.008358439896255732
all_atoms_positive,source1_dim,1,2,1,2,1.4142135623730951,1.4142135623730951,1.0,1.0,3,thin_pid,ok,,0.5,0.29248125036057804,0.7924812503605779,0.20751864744853,0.7924812503605781,1.292481250360578,1.792481148169686,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.008343724068254232
all_atoms_positive,source1_dim,1,2,1,2,1.4142135623730951,1.4142135623730951,1.0,1.0,4,thin_pid,ok,,0.5,0.29248125036057804,0.7924812503605779,0.20751864744853,0.7924812503605781,1.292481250360578,1.792481148169686,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.00827225111424923
