red,unq1,unq2,syn,bi_mi_1,bi_mi_2,tri_mi
7.263156237379762,5.329070518200751e-15,5.329070518200751e-15,4.9945388300893425,7.263156237379767,7.263156237379767,12.257695067469115
7.259697609021238,0.003895564951759134,0.0004543480008969425,4.991646709833393,7.263593173972997,7.260151957022135,12.255694231807286
7.256578544231162,0.0004453912252557757,0.0022724082204037543,4.989943471561591,7.257023935456417,7.258850952451565,12.249239815238411
7.263536761832231,0.0056343978033206454,0.00042496191807828154,4.991466181756085,7.269171159635552,7.26396172375031,12.261062303309716
7.254536253553845,0.013460552810550475,0.00037166660952081543,4.98438806947907,7.267996806364396,7.254907920163366,12.252756542452987
7.262497243424287,0.00042793880186664524,0.01222408929979224,4.99204439850431,7.262925182226153,7.274721332724079,12.267193670030256
7.26587274382404,0.00046435823510027063,0.0006957758750445464,4.993490757089444,7.26633710205914,7.266568519699084,12.26052363502363
7.256977105036102,0.0004181681037156437,0.01127822188128036,4.990395073558297,7.257395273139817,7.268255326917382,12.259068568579394
7.251258281106913,0.010927535798972876,0.00040998788701962496,4.986155867302336,7.262185816905886,7.2516682689939325,12.24875167209524
7.264195165131514,0.0004283159530116265,0.0034297625272614596,4.9956429527605986,7.264623481084525,7.267624927658775,12.263696196372386
7.257144321268153,0.009395659070972506,0.00038065893452277066,4.99112053381129,7.266539980339125,7.257524980202676,12.258041173084939
7.254492188164556,0.0004181926872819375,0.0133028974537579,4.985330475017622,7.254910380851838,7.267795085618314,12.253543753323218
7.259092842152265,0.0004461924478782464,0.009962717808367216,4.989799974386294,7.259539034600143,7.269055559960632,12.259301726794805
7.251483956780482,0.0004091072859830902,0.017620648873300837,4.984024532794721,7.251893064066465,7.269104605653783,12.253538245734488
7.257907322951994,0.00041610831795235725,0.006460655005563254,4.991322233215013,7.258323431269947,7.264367977957558,12.256106319490524
7.259610978321221,0.0014541047675180607,0.0004180779566045345,4.9935396666352725,7.261065083088739,7.260029056277825,12.255022827680616
7.261392562805248,0.000417561947733347,0.000808450108259251,4.995727023456237,7.261810124752981,7.262201012913507,12.258345598317478
7.25687376864238,0.0004534402064795273,0.005989159382560061,4.9895200047126975,7.257327208848859,7.26286292802494,12.252836372944117
7.256369363286569,0.0004010314071418719,0.0076612532201556505,4.991035981512952,7.256770394693711,7.264030616506725,12.25546762942682
7.2665019489489024,0.00043566568351494084,0.0056474984258230165,4.995843537719767,7.266937614632417,7.2721494473747255,12.268428650778008
7.258361722696461,0.0004735713646546458,0.005375202450566441,4.992448601435274,7.258835294061115,7.263736925147027,12.256659097946956
