red,unq1,unq2,syn,bi_mi_1,bi_mi_2,tri_mi,union_info,obj,obj_bias
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.15335672870371297,0.0,0.0,0.15335672870371297,0.15335672870371297,0.15335672870371297,7.907408664810979,7.754051936107266
0.025881496540511556,0.1232014357844585,0.011669947542057052,0.05466461254138957,0.14908293232497005,0.03755144408256861,0.21541749240841668,0.1607528798670271,8.022198149140609,7.861445269273582
0.0,0.0,0.16300655061846747,0.05017115263326133,0.0,0.16300655061846747,0.2131777032517288,0.16300655061846747,8.06057239663555,7.897565846017082
0.0,0.0,0.007261834857738236,0.0,0.0,0.007261834857738236,0.007261834857738236,0.007261834857738236,7.859766614024515,7.852504779166777
0.0,0.0,0.08881078718909752,0.0,0.0,0.08881078718909752,0.08881078718909752,0.08881078718909752,7.813081316935232,7.724270529746135
0.005068537385784333,0.009536563638859852,0.09273547472566795,0.035477200663715125,0.014605101024644185,0.09780401211145229,0.14281777641402726,0.10734057575031214,8.025172029179789,7.917831453429477
0.0,0.0728411670312239,0.0,0.0,0.0728411670312239,0.0,0.0728411670312239,0.0728411670312239,7.867257799710978,7.794416632679754
0.08309250882549335,0.07055069726620211,0.11880156469286185,0.08898231170542281,0.15364320609169546,0.2018940735183552,0.3614270824899801,0.2724447707845573,8.21357620200299,7.941131431218433
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.81048394948414,7.81048394948414
0.013061072317115695,0.03472423290362118,0.006144123011226611,0.018312184621509374,0.04778530522073687,0.019205195328342306,0.07224161285347286,0.053929428231963485,7.918282116813247,7.864352688581283
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8490154091545765,7.8490154091545765
0.0,0.14646503367045405,0.0,0.0,0.14646503367045405,0.0,0.14646503367045405,0.14646503367045405,7.96557780581474,7.819112772144286
0.0,0.002374355007307649,0.0,0.0,0.002374355007307649,0.0,0.002374355007307649,0.002374355007307649,7.934614399399481,7.932240044392174
0.03249454369416771,0.0,0.0991869657640736,0.02861850911160957,0.03249454369416771,0.1316815094582413,0.16030001856985088,0.1316815094582413,8.073234412010963,7.941552902552722
0.0,0.13073027447189034,0.0,0.0,0.13073027447189034,0.0,0.13073027447189034,0.13073027447189034,7.964255863844481,7.833525589372591
0.0397107369921568,0.005557837903850532,0.043693024027324084,0.029117920944305348,0.04526857489600733,0.08340376101948088,0.11807951986763676,0.08896159892333141,8.025892526078497,7.936930927155165
0.0,0.0,0.08346507773609968,0.0,0.0,0.08346507773609968,0.08346507773609968,0.08346507773609968,7.926786241723214,7.843321163987114
0.013793269978645384,0.0,0.1811358184658829,0.023855699821814014,0.013793269978645384,0.19492908844452828,0.2187847882663423,0.19492908844452828,8.092384527862379,7.89745543941785
0.0,0.09276663340011826,0.0,0.0,0.09276663340011826,0.0,0.09276663340011826,0.09276663340011826,7.950195945852839,7.85742931245272
0.04872360602489413,0.015427289404118291,0.018882907487679276,0.028216101454839673,0.06415089542901242,0.06760651351257341,0.11124990437153137,0.0830338029166917,7.945881834099434,7.862848031182742
0.0,0.004050921809518826,0.006097955548950651,0.009425598553974623,0.004050921809518826,0.006097955548950651,0.0195744759124441,0.010148877358469477,7.947539659901147,7.9373907825426775
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.793074689954262,7.793074689954262
0.03286737282674332,0.05314123762686754,0.022708993226293744,0.03725534721768051,0.08600861045361086,0.05557636605303706,0.1459729508975851,0.1087176036799046,7.954785881049347,7.846068277369442
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.849627093449265,7.849627093449265
0.0,0.006100484003072282,0.0,0.0,0.006100484003072282,0.0,0.006100484003072282,0.006100484003072282,7.865471653861767,7.8593711698586946
0.0019685529661118417,0.04884539278212499,0.031789993815735246,0.02783319938831505,0.05081394574823683,0.03375854678184709,0.11043713895228713,0.08260393956397208,7.962313546729406,7.879709607165434
0.014837152330576586,0.05407108572310815,0.0,0.01456060149813343,0.06890823805368473,0.014837152330576586,0.08346883955181816,0.06890823805368473,7.961500305064857,7.892592067011172
0.0,0.0,0.06460337920703818,0.0,0.0,0.06460337920703818,0.06460337920703818,0.06460337920703818,7.964986127030368,7.90038274782333
0.0,0.0,0.053375858473179605,0.0,0.0,0.053375858473179605,0.053375858473179605,0.053375858473179605,7.8992786810697595,7.84590282259658
0.0,0.0,0.14149228550985438,0.0,0.0,0.14149228550985438,0.14149228550985438,0.14149228550985438,7.920670696845519,7.779178411335665
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.771875369828529,7.771875369828529
0.0,0.0,0.20026324897188363,0.06306558580294652,0.0,0.20026324897188363,0.26332883477483016,0.20026324897188363,8.002490417731465,7.802227168759582
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.760923376671759,7.760923376671759
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.87353101456836,7.87353101456836
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.83634515957992,7.83634515957992
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7524885767912135,7.7524885767912135
0.0,0.0,0.09176214194703647,0.020120402900349887,0.0,0.09176214194703647,0.11188254484738636,0.09176214194703647,7.9536773007783035,7.861915158831267
0.030669411712970884,0.0,0.10249736082290717,0.03576533576229579,0.030669411712970884,0.13316677253587805,0.16893210829817384,0.13316677253587805,8.007354997848577,7.8741882253126985
0.0013237195056481355,0.004359082055509944,0.0,0.0,0.0056828015611580796,0.0013237195056481355,0.0056828015611580796,0.0056828015611580796,7.854140021625802,7.848457220064644
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8340466810160825,7.8340466810160825
0.024949668946576298,0.023192561523559474,0.05373340771870477,0.03492382483815565,0.04814223047013577,0.07868307666528107,0.1367994630269962,0.10187563818884054,7.947193587671175,7.845317949482335
0.0,0.0,0.0,0.011551137404044454,0.0,0.0,0.011551137404044454,0.0,7.804704429423566,7.804704429423566
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.760862425248729,7.760862425248729
0.0,0.0,0.027603421409892803,0.0,0.0,0.027603421409892803,0.027603421409892803,0.027603421409892803,7.926354962889245,7.898751541479352
0.0,0.050946185488019324,0.0,0.0,0.050946185488019324,0.0,0.050946185488019324,0.050946185488019324,7.939964932565169,7.88901874707715
0.05647759712886269,0.11382482787762904,0.08145374310418263,0.08332302765748856,0.17030242500649173,0.13793134023304532,0.3350791957681629,0.25175616811067436,8.166871632994265,7.915115464883591
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.815449195430103,7.815449195430103
0.0,0.10723823152692002,0.0,0.0,0.10723823152692002,0.0,0.10723823152692002,0.10723823152692002,7.898801187976076,7.791562956449156
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.84216613597523,7.84216613597523
0.0,0.16888992680930226,0.0,0.0,0.16888992680930226,0.0,0.16888992680930226,0.16888992680930226,7.962202286951893,7.793312360142591
0.0,0.03422108357962905,0.0,0.0,0.03422108357962905,0.0,0.03422108357962905,0.03422108357962905,7.923929135745706,7.8897080521660765
0.0,0.0,0.042810295427584855,0.0,0.0,0.042810295427584855,0.042810295427584855,0.042810295427584855,7.834727542616284,7.7919172471886995
0.0,0.20462064719074569,0.0,0.0,0.20462064719074569,0.0,0.20462064719074569,0.20462064719074569,7.996695481460986,7.79207483427024
0.0,0.0,0.142366179707186,0.007642955707658494,0.0,0.142366179707186,0.1500091354148445,0.142366179707186,7.979474784099929,7.837108604392743
0.05813468936403732,0.05125420867966257,0.009453494880900859,0.040108914177151345,0.10938889804369989,0.06758818424493818,0.1589513071017521,0.11884239292460075,7.995317116498674,7.8764747235740735
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.744442770219205,7.744442770219205
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.785911228637372,7.785911228637372
0.0,0.05298077673901869,0.0,0.0,0.05298077673901869,0.0,0.05298077673901869,0.05298077673901869,7.853848606073129,7.80086782933411
0.013426681046041722,0.0,0.14644138188847666,0.022470566128368397,0.013426681046041722,0.15986806293451838,0.18233862906288678,0.15986806293451838,8.042642087505076,7.8827740245705575
0.0,0.0,0.11819737626147209,0.0,0.0,0.11819737626147209,0.11819737626147209,0.11819737626147209,7.925494074838157,7.8072966985766845
0.0,0.0,0.03325648126253,0.0,0.0,0.03325648126253,0.03325648126253,0.03325648126253,7.846343827743471,7.813087346480941
0.0,0.0765879394667186,0.0,0.0,0.0765879394667186,0.0,0.0765879394667186,0.0765879394667186,7.905209635674889,7.82862169620817
0.0,0.0,0.12829712896989864,0.0,0.0,0.12829712896989864,0.12829712896989864,0.12829712896989864,7.956250963226364,7.827953834256466
0.009178198763542866,0.08834392196702368,0.0,0.0,0.09752212073056654,0.009178198763542866,0.09752212073056654,0.09752212073056654,7.948753314181969,7.851231193451403
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.740928382793711,7.740928382793711
0.030698788208682132,0.029479293113826216,0.08334662157603775,0.048341381299330216,0.06017808132250835,0.11404540978471989,0.19186608419787632,0.1435247028985461,8.024011464532473,7.880486761633927
0.0,0.1034485082961174,0.0,0.0,0.1034485082961174,0.0,0.1034485082961174,0.1034485082961174,7.887327450413481,7.783878942117363
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.740303008824067,7.740303008824067
0.0,0.04412136684040835,0.038291319367156795,0.07338431936539003,0.04412136684040835,0.038291319367156795,0.15579700557295517,0.08241268620756514,7.968567228512788,7.886154542305223
0.015184779193869902,0.06051807862576469,0.07148731925525192,0.04872998181809679,0.0757028578196346,0.08667209844912183,0.1959201588929833,0.14719017707488652,8.061705109439337,7.914514932364451
0.0,0.14907133646794524,0.0,0.0,0.14907133646794524,0.0,0.14907133646794524,0.14907133646794524,7.923243893936883,7.774172557468938
0.0,0.010559362213016676,0.0,0.0,0.010559362213016676,0.0,0.010559362213016676,0.010559362213016676,7.93250277002668,7.9219434078136635
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.768756936827463,7.768756936827463
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.719607232766839,7.719607232766839
0.0,0.0,0.021214100031257566,0.0017713050350325332,0.0,0.021214100031257566,0.0229854050662901,0.021214100031257566,7.90351449125247,7.882300391221213
0.0,0.0,0.10660153920249371,0.0,0.0,0.10660153920249371,0.10660153920249371,0.10660153920249371,7.947610223606372,7.841008684403878
0.0,0.0,0.158758174425774,0.0,0.0,0.158758174425774,0.158758174425774,0.158758174425774,7.87284562582102,7.714087451395246
0.0,0.0257641982922312,0.0,0.0,0.0257641982922312,0.0,0.0257641982922312,0.0257641982922312,7.85176742769579,7.826003229403558
