dimension,ntrials,n_repetitions,bias_iterations,resampling_seconds,shuffle_seconds,merged_seconds,venkatesh_seconds,eigenvalue_pid_seconds
4,256,100,20,61.074272077,57.030293817,118.104571852,2.693958582,2.837216592
12,256,100,20,225.894991717,156.973780088,382.868777491,11.724192629,3.843180685
20,256,100,20,988.781184815,653.933201406,1642.714399002,51.300642102,9.663909277
28,256,100,20,1058.271701789,1116.910791094,2175.182500296,80.442732717,9.494847131
36,256,100,20,1249.543193911,1250.483747662,2500.026948538,78.602847409,12.410620826
44,256,100,20,1742.130977676,2123.261919857,3865.392905082,109.468947770,15.519162791
50,256,100,20,2384.655114472,2718.077820304,5102.732944282,141.626328595,19.588311368
