node,0,1,2,3,4,5,6,7,8
i,"{'N': 300, 'p': [30, 40, 50], 'mean': tensor(1.8031), 'std': tensor(0.1158), 'ground_truth': 2.3211453830854656, 'emp_bias': tensor(2.0217), 'after_corr_bias': tensor(-0.5181), 'var': tensor(0.0143), 'mse': tensor(0.2755), 'mi_tri': tensor(5.8090), 'mi_bi_1': tensor(2.5810, dtype=torch.float64), 'mi_bi_2': tensor(3.8182), 'mi_tri_ground_truth': 5.956179536438553, 'mi_bi_1_ground_truth': tensor(2.6288, dtype=torch.float64), 'mi_bi_2_ground_truth': 3.9217360652829023}","{'N': 300, 'p': [50, 50, 50], 'mean': tensor(2.0357), 'std': tensor(0.1663), 'ground_truth': 2.811138046074242, 'emp_bias': tensor(3.5141), 'after_corr_bias': tensor(-0.7754), 'var': tensor(0.0258), 'mse': tensor(0.6141), 'mi_tri': tensor(7.1455), 'mi_bi_1': tensor(3.3481, dtype=torch.float64), 'mi_bi_2': tensor(4.7636), 'mi_tri_ground_truth': 7.282923004557128, 'mi_bi_1_ground_truth': tensor(3.2964, dtype=torch.float64), 'mi_bi_2_ground_truth': 4.938837298012774}","{'N': 300, 'p': [40, 50, 100], 'mean': tensor(2.3865), 'std': tensor(0.2414), 'ground_truth': 3.3491220345551103, 'emp_bias': tensor(6.6360), 'after_corr_bias': tensor(-0.9627), 'var': tensor(0.0546), 'mse': tensor(0.9540), 'mi_tri': tensor(8.4650), 'mi_bi_1': tensor(3.4266, dtype=torch.float64), 'mi_bi_2': tensor(5.7015), 'mi_tri_ground_truth': 9.122807270451798, 'mi_bi_1_ground_truth': tensor(3.6847, dtype=torch.float64), 'mi_bi_2_ground_truth': 6.031393211262257}","{'N': 500, 'p': [30, 40, 50], 'mean': tensor(1.9646), 'std': tensor(0.0278), 'ground_truth': 2.3211453830854656, 'emp_bias': tensor(1.1495), 'after_corr_bias': tensor(-0.3565), 'var': tensor(0.0009), 'mse': tensor(0.1275), 'mi_tri': tensor(5.9513), 'mi_bi_1': tensor(2.6198, dtype=torch.float64), 'mi_bi_2': tensor(3.9572), 'mi_tri_ground_truth': 5.956179536438553, 'mi_bi_1_ground_truth': tensor(2.6288, dtype=torch.float64), 'mi_bi_2_ground_truth': 3.9217360652829023}","{'N': 500, 'p': [50, 50, 50], 'mean': tensor(2.2066), 'std': tensor(0.2008), 'ground_truth': 2.811138046074242, 'emp_bias': tensor(1.9179), 'after_corr_bias': tensor(-0.6045), 'var': tensor(0.0408), 'mse': tensor(0.3858), 'mi_tri': tensor(7.1761), 'mi_bi_1': tensor(3.1945, dtype=torch.float64), 'mi_bi_2': tensor(4.8644), 'mi_tri_ground_truth': 7.282923004557128, 'mi_bi_1_ground_truth': tensor(3.2964, dtype=torch.float64), 'mi_bi_2_ground_truth': 4.938837298012774}","{'N': 500, 'p': [40, 50, 100], 'mean': tensor(2.8363), 'std': tensor(0.0036), 'ground_truth': 3.3491220345551103, 'emp_bias': tensor(3.7187), 'after_corr_bias': tensor(-0.5128), 'var': tensor(2.7674e-05), 'mse': tensor(0.2630), 'mi_tri': tensor(9.2473), 'mi_bi_1': tensor(3.7502, dtype=torch.float64), 'mi_bi_2': tensor(6.1882), 'mi_tri_ground_truth': 9.122807270451798, 'mi_bi_1_ground_truth': tensor(3.6847, dtype=torch.float64), 'mi_bi_2_ground_truth': 6.031393211262257}","{'N': 1000, 'p': [30, 40, 50], 'mean': tensor(2.1736), 'std': tensor(0.0143), 'ground_truth': 2.3211453830854656, 'emp_bias': tensor(0.6014), 'after_corr_bias': tensor(-0.1475), 'var': tensor(0.0002), 'mse': tensor(0.0219), 'mi_tri': tensor(5.9212), 'mi_bi_1': tensor(2.6597, dtype=torch.float64), 'mi_bi_2': tensor(3.8793), 'mi_tri_ground_truth': 5.956179536438553, 'mi_bi_1_ground_truth': tensor(2.6288, dtype=torch.float64), 'mi_bi_2_ground_truth': 3.9217360652829023}","{'N': 1000, 'p': [50, 50, 50], 'mean': tensor(2.5123), 'std': tensor(0.1329), 'ground_truth': 2.811138046074242, 'emp_bias': tensor(0.9520), 'after_corr_bias': tensor(-0.2989), 'var': tensor(0.0174), 'mse': tensor(0.0980), 'mi_tri': tensor(7.3598), 'mi_bi_1': tensor(3.3219, dtype=torch.float64), 'mi_bi_2': tensor(5.0033), 'mi_tri_ground_truth': 7.282923004557128, 'mi_bi_1_ground_truth': tensor(3.2964, dtype=torch.float64), 'mi_bi_2_ground_truth': 4.938837298012774}","{'N': 1000, 'p': [40, 50, 100], 'mean': tensor(3.0345), 'std': tensor(0.0475), 'ground_truth': 3.3491220345551103, 'emp_bias': tensor(1.7270), 'after_corr_bias': tensor(-0.3146), 'var': tensor(0.0022), 'mse': tensor(0.1001), 'mi_tri': tensor(9.0457), 'mi_bi_1': tensor(3.6686, dtype=torch.float64), 'mi_bi_2': tensor(5.9154), 'mi_tri_ground_truth': 9.122807270451798, 'mi_bi_1_ground_truth': tensor(3.6847, dtype=torch.float64), 'mi_bi_2_ground_truth': 6.031393211262257}"
j,"{'N': 300, 'p': [30, 40, 50], 'mean': tensor(3.2280, dtype=torch.float64), 'std': tensor(0.1026, dtype=torch.float64), 'ground_truth': tensor(3.3273, dtype=torch.float64), 'emp_bias': tensor(4.4060, dtype=torch.float64), 'after_corr_bias': tensor(-0.0993, dtype=torch.float64), 'var': tensor(0.0105, dtype=torch.float64), 'mse': tensor(0.0151, dtype=torch.float64), 'mi_tri': tensor(5.8090), 'mi_bi_1': tensor(2.5810, dtype=torch.float64), 'mi_bi_2': tensor(3.8182), 'mi_tri_ground_truth': 5.956179536438553, 'mi_bi_1_ground_truth': tensor(2.6288, dtype=torch.float64), 'mi_bi_2_ground_truth': 3.9217360652829023}","{'N': 300, 'p': [50, 50, 50], 'mean': tensor(3.7973, dtype=torch.float64), 'std': tensor(0.3058, dtype=torch.float64), 'ground_truth': tensor(3.9866, dtype=torch.float64), 'emp_bias': tensor(6.1763, dtype=torch.float64), 'after_corr_bias': tensor(-0.1892, dtype=torch.float64), 'var': tensor(0.0935, dtype=torch.float64), 'mse': tensor(0.0826, dtype=torch.float64), 'mi_tri': tensor(7.1455), 'mi_bi_1': tensor(3.3481, dtype=torch.float64), 'mi_bi_2': tensor(4.7636), 'mi_tri_ground_truth': 7.282923004557128, 'mi_bi_1_ground_truth': tensor(3.2964, dtype=torch.float64), 'mi_bi_2_ground_truth': 4.938837298012774}","{'N': 300, 'p': [40, 50, 100], 'mean': tensor(5.0383, dtype=torch.float64), 'std': tensor(0.2097, dtype=torch.float64), 'ground_truth': tensor(5.4381, dtype=torch.float64), 'emp_bias': tensor(13.6768, dtype=torch.float64), 'after_corr_bias': tensor(-0.3998, dtype=torch.float64), 'var': tensor(0.0440, dtype=torch.float64), 'mse': tensor(0.1818, dtype=torch.float64), 'mi_tri': tensor(8.4650), 'mi_bi_1': tensor(3.4266, dtype=torch.float64), 'mi_bi_2': tensor(5.7015), 'mi_tri_ground_truth': 9.122807270451798, 'mi_bi_1_ground_truth': tensor(3.6847, dtype=torch.float64), 'mi_bi_2_ground_truth': 6.031393211262257}","{'N': 500, 'p': [30, 40, 50], 'mean': tensor(3.3315, dtype=torch.float64), 'std': tensor(0.0614, dtype=torch.float64), 'ground_truth': tensor(3.3273, dtype=torch.float64), 'emp_bias': tensor(2.3700, dtype=torch.float64), 'after_corr_bias': tensor(0.0042, dtype=torch.float64), 'var': tensor(0.0038, dtype=torch.float64), 'mse': tensor(0.0019, dtype=torch.float64), 'mi_tri': tensor(5.9513), 'mi_bi_1': tensor(2.6198, dtype=torch.float64), 'mi_bi_2': tensor(3.9572), 'mi_tri_ground_truth': 5.956179536438553, 'mi_bi_1_ground_truth': tensor(2.6288, dtype=torch.float64), 'mi_bi_2_ground_truth': 3.9217360652829023}","{'N': 500, 'p': [50, 50, 50], 'mean': tensor(3.9816, dtype=torch.float64), 'std': tensor(0.2289, dtype=torch.float64), 'ground_truth': tensor(3.9866, dtype=torch.float64), 'emp_bias': tensor(3.1401, dtype=torch.float64), 'after_corr_bias': tensor(-0.0050, dtype=torch.float64), 'var': tensor(0.0524, dtype=torch.float64), 'mse': tensor(0.0262, dtype=torch.float64), 'mi_tri': tensor(7.1761), 'mi_bi_1': tensor(3.1945, dtype=torch.float64), 'mi_bi_2': tensor(4.8644), 'mi_tri_ground_truth': 7.282923004557128, 'mi_bi_1_ground_truth': tensor(3.2964, dtype=torch.float64), 'mi_bi_2_ground_truth': 4.938837298012774}","{'N': 500, 'p': [40, 50, 100], 'mean': tensor(5.4971, dtype=torch.float64), 'std': tensor(0.3901, dtype=torch.float64), 'ground_truth': tensor(5.4381, dtype=torch.float64), 'emp_bias': tensor(6.6248, dtype=torch.float64), 'after_corr_bias': tensor(0.0590, dtype=torch.float64), 'var': tensor(0.1522, dtype=torch.float64), 'mse': tensor(0.0796, dtype=torch.float64), 'mi_tri': tensor(9.2473), 'mi_bi_1': tensor(3.7502, dtype=torch.float64), 'mi_bi_2': tensor(6.1882), 'mi_tri_ground_truth': 9.122807270451798, 'mi_bi_1_ground_truth': tensor(3.6847, dtype=torch.float64), 'mi_bi_2_ground_truth': 6.031393211262257}","{'N': 1000, 'p': [30, 40, 50], 'mean': tensor(3.2615, dtype=torch.float64), 'std': tensor(0.0507, dtype=torch.float64), 'ground_truth': tensor(3.3273, dtype=torch.float64), 'emp_bias': tensor(1.0174, dtype=torch.float64), 'after_corr_bias': tensor(-0.0659, dtype=torch.float64), 'var': tensor(0.0026, dtype=torch.float64), 'mse': tensor(0.0056, dtype=torch.float64), 'mi_tri': tensor(5.9212), 'mi_bi_1': tensor(2.6597, dtype=torch.float64), 'mi_bi_2': tensor(3.8793), 'mi_tri_ground_truth': 5.956179536438553, 'mi_bi_1_ground_truth': tensor(2.6288, dtype=torch.float64), 'mi_bi_2_ground_truth': 3.9217360652829023}","{'N': 1000, 'p': [50, 50, 50], 'mean': tensor(4.0379, dtype=torch.float64), 'std': tensor(0.0495, dtype=torch.float64), 'ground_truth': tensor(3.9866, dtype=torch.float64), 'emp_bias': tensor(1.4433, dtype=torch.float64), 'after_corr_bias': tensor(0.0514, dtype=torch.float64), 'var': tensor(0.0025, dtype=torch.float64), 'mse': tensor(0.0039, dtype=torch.float64), 'mi_tri': tensor(7.3598), 'mi_bi_1': tensor(3.3219, dtype=torch.float64), 'mi_bi_2': tensor(5.0033), 'mi_tri_ground_truth': 7.282923004557128, 'mi_bi_1_ground_truth': tensor(3.2964, dtype=torch.float64), 'mi_bi_2_ground_truth': 4.938837298012774}","{'N': 1000, 'p': [40, 50, 100], 'mean': tensor(5.3771, dtype=torch.float64), 'std': tensor(0.0479, dtype=torch.float64), 'ground_truth': tensor(5.4381, dtype=torch.float64), 'emp_bias': tensor(2.7724, dtype=torch.float64), 'after_corr_bias': tensor(-0.0610, dtype=torch.float64), 'var': tensor(0.0023, dtype=torch.float64), 'mse': tensor(0.0049, dtype=torch.float64), 'mi_tri': tensor(9.0457), 'mi_bi_1': tensor(3.6686, dtype=torch.float64), 'mi_bi_2': tensor(5.9154), 'mi_tri_ground_truth': 9.122807270451798, 'mi_bi_1_ground_truth': tensor(3.6847, dtype=torch.float64), 'mi_bi_2_ground_truth': 6.031393211262257}"
k,"{'N': 300, 'p': [30, 40, 50], 'mean': tensor(1.9908), 'std': tensor(0.1971), 'ground_truth': 2.0344434711556505, 'emp_bias': tensor(3.4095), 'after_corr_bias': tensor(-0.0436), 'var': tensor(0.0389), 'mse': tensor(0.0213), 'mi_tri': tensor(5.8090), 'mi_bi_1': tensor(2.5810, dtype=torch.float64), 'mi_bi_2': tensor(3.8182), 'mi_tri_ground_truth': 5.956179536438553, 'mi_bi_1_ground_truth': tensor(2.6288, dtype=torch.float64), 'mi_bi_2_ground_truth': 3.9217360652829023}","{'N': 300, 'p': [50, 50, 50], 'mean': tensor(2.3819), 'std': tensor(0.4047), 'ground_truth': 2.3440857065443543, 'emp_bias': tensor(6.4033), 'after_corr_bias': tensor(0.0378), 'var': tensor(0.1638), 'mse': tensor(0.0833), 'mi_tri': tensor(7.1455), 'mi_bi_1': tensor(3.3481, dtype=torch.float64), 'mi_bi_2': tensor(4.7636), 'mi_tri_ground_truth': 7.282923004557128, 'mi_bi_1_ground_truth': tensor(3.2964, dtype=torch.float64), 'mi_bi_2_ground_truth': 4.938837298012774}","{'N': 300, 'p': [40, 50, 100], 'mean': tensor(2.7635), 'std': tensor(0.1646), 'ground_truth': 3.0914140591895407, 'emp_bias': tensor(11.2398), 'after_corr_bias': tensor(-0.3279), 'var': tensor(0.0271), 'mse': tensor(0.1211), 'mi_tri': tensor(8.4650), 'mi_bi_1': tensor(3.4266, dtype=torch.float64), 'mi_bi_2': tensor(5.7015), 'mi_tri_ground_truth': 9.122807270451798, 'mi_bi_1_ground_truth': tensor(3.6847, dtype=torch.float64), 'mi_bi_2_ground_truth': 6.031393211262257}","{'N': 500, 'p': [30, 40, 50], 'mean': tensor(1.9941), 'std': tensor(0.0676), 'ground_truth': 2.0344434711556505, 'emp_bias': tensor(1.7547), 'after_corr_bias': tensor(-0.0404), 'var': tensor(0.0046), 'mse': tensor(0.0039), 'mi_tri': tensor(5.9513), 'mi_bi_1': tensor(2.6198, dtype=torch.float64), 'mi_bi_2': tensor(3.9572), 'mi_tri_ground_truth': 5.956179536438553, 'mi_bi_1_ground_truth': tensor(2.6288, dtype=torch.float64), 'mi_bi_2_ground_truth': 3.9217360652829023}","{'N': 500, 'p': [50, 50, 50], 'mean': tensor(2.3118), 'std': tensor(0.2211), 'ground_truth': 2.3440857065443543, 'emp_bias': tensor(3.1127), 'after_corr_bias': tensor(-0.0323), 'var': tensor(0.0489), 'mse': tensor(0.0255), 'mi_tri': tensor(7.1761), 'mi_bi_1': tensor(3.1945, dtype=torch.float64), 'mi_bi_2': tensor(4.8644), 'mi_tri_ground_truth': 7.282923004557128, 'mi_bi_1_ground_truth': tensor(3.2964, dtype=torch.float64), 'mi_bi_2_ground_truth': 4.938837298012774}","{'N': 500, 'p': [40, 50, 100], 'mean': tensor(3.0592), 'std': tensor(0.1616), 'ground_truth': 3.0914140591895407, 'emp_bias': tensor(5.2879), 'after_corr_bias': tensor(-0.0323), 'var': tensor(0.0261), 'mse': tensor(0.0141), 'mi_tri': tensor(9.2473), 'mi_bi_1': tensor(3.7502, dtype=torch.float64), 'mi_bi_2': tensor(6.1882), 'mi_tri_ground_truth': 9.122807270451798, 'mi_bi_1_ground_truth': tensor(3.6847, dtype=torch.float64), 'mi_bi_2_ground_truth': 6.031393211262257}","{'N': 1000, 'p': [30, 40, 50], 'mean': tensor(2.0419), 'std': tensor(0.0149), 'ground_truth': 2.0344434711556505, 'emp_bias': tensor(0.8242), 'after_corr_bias': tensor(0.0074), 'var': tensor(0.0002), 'mse': tensor(0.0002), 'mi_tri': tensor(5.9212), 'mi_bi_1': tensor(2.6597, dtype=torch.float64), 'mi_bi_2': tensor(3.8793), 'mi_tri_ground_truth': 5.956179536438553, 'mi_bi_1_ground_truth': tensor(2.6288, dtype=torch.float64), 'mi_bi_2_ground_truth': 3.9217360652829023}","{'N': 1000, 'p': [50, 50, 50], 'mean': tensor(2.3565), 'std': tensor(0.1939), 'ground_truth': 2.3440857065443543, 'emp_bias': tensor(1.4043), 'after_corr_bias': tensor(0.0124), 'var': tensor(0.0376), 'mse': tensor(0.0189), 'mi_tri': tensor(7.3598), 'mi_bi_1': tensor(3.3219, dtype=torch.float64), 'mi_bi_2': tensor(5.0033), 'mi_tri_ground_truth': 7.282923004557128, 'mi_bi_1_ground_truth': tensor(3.2964, dtype=torch.float64), 'mi_bi_2_ground_truth': 4.938837298012774}","{'N': 1000, 'p': [40, 50, 100], 'mean': tensor(3.1303), 'std': tensor(0.0526), 'ground_truth': 3.0914140591895407, 'emp_bias': tensor(2.3184), 'after_corr_bias': tensor(0.0389), 'var': tensor(0.0028), 'mse': tensor(0.0029), 'mi_tri': tensor(9.0457), 'mi_bi_1': tensor(3.6686, dtype=torch.float64), 'mi_bi_2': tensor(5.9154), 'mi_tri_ground_truth': 9.122807270451798, 'mi_bi_1_ground_truth': tensor(3.6847, dtype=torch.float64), 'mi_bi_2_ground_truth': 6.031393211262257}"
h,"{'N': 300, 'p': [30, 40, 50], 'mean': tensor(3.0403, dtype=torch.float64), 'std': tensor(0.0212, dtype=torch.float64), 'ground_truth': tensor(3.6140, dtype=torch.float64), 'emp_bias': tensor(3.0182, dtype=torch.float64), 'after_corr_bias': tensor(-0.5738, dtype=torch.float64), 'var': tensor(0.0006, dtype=torch.float64), 'mse': tensor(0.3295, dtype=torch.float64), 'mi_tri': tensor(5.8090), 'mi_bi_1': tensor(2.5810, dtype=torch.float64), 'mi_bi_2': tensor(3.8182), 'mi_tri_ground_truth': 5.956179536438553, 'mi_bi_1_ground_truth': tensor(2.6288, dtype=torch.float64), 'mi_bi_2_ground_truth': 3.9217360652829023}","{'N': 300, 'p': [50, 50, 50], 'mean': tensor(3.4512, dtype=torch.float64), 'std': tensor(0.0674, dtype=torch.float64), 'ground_truth': tensor(4.4536, dtype=torch.float64), 'emp_bias': tensor(3.2871, dtype=torch.float64), 'after_corr_bias': tensor(-1.0024, dtype=torch.float64), 'var': tensor(0.0038, dtype=torch.float64), 'mse': tensor(1.0067, dtype=torch.float64), 'mi_tri': tensor(7.1455), 'mi_bi_1': tensor(3.3481, dtype=torch.float64), 'mi_bi_2': tensor(4.7636), 'mi_tri_ground_truth': 7.282923004557128, 'mi_bi_1_ground_truth': tensor(3.2964, dtype=torch.float64), 'mi_bi_2_ground_truth': 4.938837298012774}","{'N': 300, 'p': [40, 50, 100], 'mean': tensor(4.6613, dtype=torch.float64), 'std': tensor(0.1329, dtype=torch.float64), 'ground_truth': tensor(5.6958, dtype=torch.float64), 'emp_bias': tensor(9.0730, dtype=torch.float64), 'after_corr_bias': tensor(-1.0345, dtype=torch.float64), 'var': tensor(0.0198, dtype=torch.float64), 'mse': tensor(1.0801, dtype=torch.float64), 'mi_tri': tensor(8.4650), 'mi_bi_1': tensor(3.4266, dtype=torch.float64), 'mi_bi_2': tensor(5.7015), 'mi_tri_ground_truth': 9.122807270451798, 'mi_bi_1_ground_truth': tensor(3.6847, dtype=torch.float64), 'mi_bi_2_ground_truth': 6.031393211262257}","{'N': 500, 'p': [30, 40, 50], 'mean': tensor(3.3021, dtype=torch.float64), 'std': tensor(0.1568, dtype=torch.float64), 'ground_truth': tensor(3.6140, dtype=torch.float64), 'emp_bias': tensor(1.7648, dtype=torch.float64), 'after_corr_bias': tensor(-0.3120, dtype=torch.float64), 'var': tensor(0.0250, dtype=torch.float64), 'mse': tensor(0.1099, dtype=torch.float64), 'mi_tri': tensor(5.9513), 'mi_bi_1': tensor(2.6198, dtype=torch.float64), 'mi_bi_2': tensor(3.9572), 'mi_tri_ground_truth': 5.956179536438553, 'mi_bi_1_ground_truth': tensor(2.6288, dtype=torch.float64), 'mi_bi_2_ground_truth': 3.9217360652829023}","{'N': 500, 'p': [50, 50, 50], 'mean': tensor(3.8764, dtype=torch.float64), 'std': tensor(0.2086, dtype=torch.float64), 'ground_truth': tensor(4.4536, dtype=torch.float64), 'emp_bias': tensor(1.9452, dtype=torch.float64), 'after_corr_bias': tensor(-0.5772, dtype=torch.float64), 'var': tensor(0.0440, dtype=torch.float64), 'mse': tensor(0.3551, dtype=torch.float64), 'mi_tri': tensor(7.1761), 'mi_bi_1': tensor(3.1945, dtype=torch.float64), 'mi_bi_2': tensor(4.8644), 'mi_tri_ground_truth': 7.282923004557128, 'mi_bi_1_ground_truth': tensor(3.2964, dtype=torch.float64), 'mi_bi_2_ground_truth': 4.938837298012774}","{'N': 500, 'p': [40, 50, 100], 'mean': tensor(5.2743, dtype=torch.float64), 'std': tensor(0.2321, dtype=torch.float64), 'ground_truth': tensor(5.6958, dtype=torch.float64), 'emp_bias': tensor(5.0556, dtype=torch.float64), 'after_corr_bias': tensor(-0.4216, dtype=torch.float64), 'var': tensor(0.0498, dtype=torch.float64), 'mse': tensor(0.2026, dtype=torch.float64), 'mi_tri': tensor(9.2473), 'mi_bi_1': tensor(3.7502, dtype=torch.float64), 'mi_bi_2': tensor(6.1882), 'mi_tri_ground_truth': 9.122807270451798, 'mi_bi_1_ground_truth': tensor(3.6847, dtype=torch.float64), 'mi_bi_2_ground_truth': 6.031393211262257}","{'N': 1000, 'p': [30, 40, 50], 'mean': tensor(3.3932, dtype=torch.float64), 'std': tensor(0.0215, dtype=torch.float64), 'ground_truth': tensor(3.6140, dtype=torch.float64), 'emp_bias': tensor(0.7946, dtype=torch.float64), 'after_corr_bias': tensor(-0.2208, dtype=torch.float64), 'var': tensor(0.0005, dtype=torch.float64), 'mse': tensor(0.0490, dtype=torch.float64), 'mi_tri': tensor(5.9212), 'mi_bi_1': tensor(2.6597, dtype=torch.float64), 'mi_bi_2': tensor(3.8793), 'mi_tri_ground_truth': 5.956179536438553, 'mi_bi_1_ground_truth': tensor(2.6288, dtype=torch.float64), 'mi_bi_2_ground_truth': 3.9217360652829023}","{'N': 1000, 'p': [50, 50, 50], 'mean': tensor(4.1937, dtype=torch.float64), 'std': tensor(0.1105, dtype=torch.float64), 'ground_truth': tensor(4.4536, dtype=torch.float64), 'emp_bias': tensor(0.9910, dtype=torch.float64), 'after_corr_bias': tensor(-0.2599, dtype=torch.float64), 'var': tensor(0.0125, dtype=torch.float64), 'mse': tensor(0.0738, dtype=torch.float64), 'mi_tri': tensor(7.3598), 'mi_bi_1': tensor(3.3219, dtype=torch.float64), 'mi_bi_2': tensor(5.0033), 'mi_tri_ground_truth': 7.282923004557128, 'mi_bi_1_ground_truth': tensor(3.2964, dtype=torch.float64), 'mi_bi_2_ground_truth': 4.938837298012774}","{'N': 1000, 'p': [40, 50, 100], 'mean': tensor(5.2813, dtype=torch.float64), 'std': tensor(0.0428, dtype=torch.float64), 'ground_truth': tensor(5.6958, dtype=torch.float64), 'emp_bias': tensor(2.1811, dtype=torch.float64), 'after_corr_bias': tensor(-0.4145, dtype=torch.float64), 'var': tensor(0.0018, dtype=torch.float64), 'mse': tensor(0.1727, dtype=torch.float64), 'mi_tri': tensor(9.0457), 'mi_bi_1': tensor(3.6686, dtype=torch.float64), 'mi_bi_2': tensor(5.9154), 'mi_tri_ground_truth': 9.122807270451798, 'mi_bi_1_ground_truth': tensor(3.6847, dtype=torch.float64), 'mi_bi_2_ground_truth': 6.031393211262257}"
