,R²_A,R²_B,R²_AB,unique_A,unique_B,common,unexplained,suppression_strength,snr,mixing_dimension
0,0.37787973231386834,0.011280448038880174,0.3832121418775826,0.37193169383870245,0.00533240956371428,0.0059480384751658955,0.6167878581224173,0.25,1.0,
1,0.15586164673910077,0.0022332991485478513,0.1583149316360302,0.15608163248748233,0.0024532848969294196,-0.00021998574838155704,0.8416850683639698,0.25,1.0,20.0
2,0.2697010032455689,0.005793436098148539,0.27950652011021176,0.27371308401206323,0.009805516864642871,-0.004012080766494341,0.7204934798897882,0.25,1.0,50.0
3,0.3219455024712017,0.007869760821485081,0.3411812666278877,0.3333115058064026,0.01923576415668604,-0.011366003335200936,0.6588187333721123,0.25,1.0,70.0
4,0.37787973231386834,0.011280448038880174,0.3832121418775827,0.3719316938387025,0.005332409563714335,0.00594803847516584,0.6167878581224173,0.25,1.0,150.0
5,0.8265514311643901,0.011247048169867544,0.8280450396444717,0.8167979914746042,0.0014936084800816207,0.009753439689785925,0.17195496035552826,0.25,5.0,
6,0.3396553285896831,0.002186048108076796,0.34237261019928256,0.34018656209120574,0.0027172816095994423,-0.0005312335015226211,0.6576273898007174,0.25,5.0,20.0
7,0.5883974819966319,0.0059292347974285895,0.6039278513086319,0.5979986165112033,0.015530369312000025,-0.009601134514571452,0.3960721486913681,0.25,5.0,50.0
8,0.7020682639393289,0.007780023458983954,0.735749512415842,0.727969488956858,0.033681248476513104,-0.025901225017529117,0.26425048758415803,0.25,5.0,70.0
9,0.8265514311643901,0.01124704816986755,0.8280450396444717,0.8167979914746042,0.0014936084800816207,0.009753439689785925,0.17195496035552826,0.25,5.0,150.0
10,0.8735372677290951,0.011243426101694756,0.8746294115869263,0.8633859854852316,0.0010921438578311848,0.010151282243863524,0.1253705884130737,0.25,10.0,
11,0.3585036268400269,0.002180023924423201,0.3612483708131333,0.35906834688871014,0.0027447439731064227,-0.0005647200486832427,0.6387516291868667,0.25,10.0,20.0
12,0.6212704599245177,0.005940668601381377,0.6374410859836737,0.6315004173822922,0.01617062605915598,-0.010229957457774552,0.36255891401632634,0.25,10.0,50.0
13,0.7415176758606968,0.007768421531135798,0.7767498732594007,0.7689814517282649,0.03523219739870387,-0.027463775867568097,0.2232501267405993,0.25,10.0,70.0
14,0.8735372677290951,0.01124342610169476,0.8746294115869263,0.8633859854852316,0.0010921438578311848,0.010151282243863524,0.1253705884130737,0.25,10.0,150.0
15,0.32705260085722104,0.011280448038880174,0.33091932246997136,0.3196388744310912,0.0038667216127503123,0.007413726426129863,0.6690806775300286,0.5,1.0,
16,0.14918369094641745,0.0022332991485478513,0.15297396039926947,0.1507406612507216,0.0037902694528520187,-0.001556970304304156,0.8470260396007305,0.5,1.0,20.0
17,0.24725050401048812,0.005793436098148539,0.2653891382520847,0.2595957021539362,0.01813863424159659,-0.012345198143448033,0.7346108617479152,0.5,1.0,50.0
18,0.28903357427791376,0.007869760821485081,0.3201808863943328,0.3123111255728477,0.031147312116419024,-0.023277551294933918,0.6798191136056673,0.5,1.0,70.0
19,0.32705260085722104,0.011280448038880174,0.3309193224699713,0.3196388744310911,0.003866721612750257,0.0074137264261299185,0.6690806775300286,0.5,1.0,150.0
20,0.705650776676789,0.011247048169867544,0.7073787978082341,0.6961317496383665,0.001728021131445101,0.009519027038422445,0.2926212021917659,0.5,5.0,
21,0.3234521931156837,0.002186048108076796,0.32919488178362843,0.3270088336755516,0.005742688667944751,-0.0035566405598679296,0.6708051182163716,0.5,5.0,20.0
22,0.5344983904342875,0.0059292347974285895,0.5674993752528649,0.5615701404554363,0.033000984818577384,-0.02707175002114881,0.43250062474713513,0.5,5.0,50.0
23,0.6250848943284275,0.007780023458983954,0.6846387156246515,0.6768586921656675,0.059553821296224,-0.05177379783724001,0.3153612843753485,0.5,5.0,70.0
24,0.705650776676789,0.01124704816986755,0.7073787978082341,0.6961317496383665,0.001728021131445101,0.009519027038422445,0.2926212021917659,0.5,5.0,150.0
25,0.7446172782810938,0.011243426101694756,0.7461249723908334,0.7348815462891387,0.0015076941097396102,0.009735731991955099,0.2538750276091666,0.5,10.0,
26,0.34116428291495593,0.002180023924423201,0.34711019710405566,0.3449301731796325,0.0059459141890997325,-0.0037658902646765524,0.6528898028959443,0.5,10.0,20.0
27,0.5638016105928935,0.005940668601381377,0.5983512861889719,0.5924106175875905,0.034549675596078466,-0.02860900699469704,0.40164871381102807,0.5,10.0,50.0
28,0.6595679587491526,0.007768421531135798,0.7221064837484407,0.7143380622173049,0.06253852499928803,-0.054770103468152254,0.27789351625155934,0.5,10.0,70.0
29,0.7446172782810938,0.01124342610169476,0.7461249723908334,0.7348815462891387,0.0015076941097396102,0.009735731991955099,0.2538750276091666,0.5,10.0,150.0
30,0.24011881543903224,0.011280448038880174,0.24227995367386027,0.2309995056349801,0.002161138234828025,0.00911930980405215,0.7577200463261398,0.75,1.0,
31,0.1349618072360768,0.0022332991485478513,0.14034709317140262,0.13811379402285476,0.005385285935325834,-0.0031519867867779716,0.8596529068285974,0.75,1.0,20.0
32,0.20036155951749504,0.005793436098148539,0.2209985797989304,0.21520514370078186,0.020637020281435353,-0.014843584183286823,0.7790014202010695,0.75,1.0,50.0
33,0.221910885449927,0.007869760821485081,0.2422799536738603,0.23441019285237522,0.020369068223933307,-0.012499307402448229,0.7577200463261398,0.75,1.0,70.0
34,0.24011881543903224,0.011280448038880174,0.2422799536738603,0.23099950563498012,0.002161138234828053,0.009119309804052123,0.7577200463261398,0.75,1.0,150.0
35,0.5107868297096565,0.011247048169867544,0.512155467883772,0.5009084197139044,0.0013686381741154774,0.009878409995752069,0.487844532116228,0.75,5.0,
36,0.29091653272504864,0.002186048108076796,0.30013246579941405,0.29794641769133723,0.009215933074365412,-0.007029884966288591,0.699867534200586,0.75,5.0,20.0
37,0.430191426441081,0.0059292347974285895,0.46843390514864197,0.4625046703512134,0.03824247870756098,-0.032313243910132405,0.5315660948513581,0.75,5.0,50.0
38,0.4742539319660472,0.007780023458983954,0.512155467883772,0.504375444424788,0.03790153591772477,-0.03012151245874084,0.487844532116228,0.75,5.0,70.0
39,0.5107868297096565,0.01124704816986755,0.512155467883772,0.5009084197139044,0.0013686381741154774,0.009878409995752069,0.487844532116228,0.75,5.0,150.0
40,0.5381224783818864,0.011243426101694756,0.5394107609913775,0.5281673348896828,0.0012882826094910982,0.00995514349220361,0.4605892390086225,0.75,10.0,
41,0.3065952170776923,0.002180023924423201,0.3161964651084505,0.31401644118402733,0.009601248030758236,-0.007421224106335056,0.6838035348915494,0.75,10.0,20.0
42,0.4533284583274774,0.005940668601381377,0.4933854377258184,0.487444769124437,0.040056979398340964,-0.03411631079695959,0.5066145622741816,0.75,10.0,50.0
43,0.4997196433454212,0.007768421531135798,0.5394107609913775,0.5316423394602418,0.03969111764595634,-0.03192269611482057,0.4605892390086225,0.75,10.0,70.0
44,0.5381224783818864,0.01124342610169476,0.5394107609913775,0.5281673348896828,0.0012882826094910982,0.00995514349220361,0.4605892390086225,0.75,10.0,150.0
45,0.15146314644594,0.011280448038880174,0.1523056539069802,0.14102520586810002,0.0008425074610401984,0.010437940577839977,0.8476943460930197,0.9,1.0,
46,0.11387253900496887,0.0022332991485478513,0.12031636322643495,0.1180830640778871,0.006443824221466082,-0.004210525072918234,0.8796836367735651,0.9,1.0,20.0
47,0.13544674470268805,0.005793436098148539,0.14991085492217274,0.1441174188240242,0.014464110219484683,-0.008670674121336153,0.8500891450778273,0.9,1.0,50.0
48,0.14331965804091407,0.007869760821485081,0.1523056539069802,0.14443589308549512,0.008985995866066132,-0.0011162350445810543,0.8476943460930197,0.9,1.0,70.0
49,0.15146314644594,0.011280448038880174,0.1523056539069802,0.14102520586810002,0.0008425074610401984,0.010437940577839977,0.8476943460930197,0.9,1.0,150.0
50,0.3187727487088976,0.011247048169867544,0.31939998796639124,0.3081529397965237,0.0006272392574936392,0.010619808912373907,0.6806000120336088,0.9,5.0,
51,0.2456970645647135,0.002186048108076796,0.25720184769756077,0.25501579958948395,0.01150478313284728,-0.009318735024770486,0.7427981523024392,0.9,5.0,20.0
52,0.2903503118329127,0.0059292347974285895,0.31533000088276064,0.30940076608533207,0.02497968904984793,-0.019050454252419358,0.6846699991172394,0.9,5.0,50.0
53,0.3046224267817941,0.007780023458983954,0.31939998796639124,0.3116199645074073,0.014777561184597166,-0.006997537725613234,0.6806000120336088,0.9,5.0,70.0
54,0.3187727487088976,0.01124704816986755,0.31939998796639124,0.3081529397965237,0.0006272392574936392,0.010619808912373907,0.6806000120336088,0.9,5.0,150.0
55,0.3354889899039885,0.011243426101694756,0.3360941871473091,0.32485076104561433,0.0006051972433205877,0.010638228858374177,0.6639058128526909,0.9,10.0,
56,0.25879793583002547,0.002180023924423201,0.27080859892595527,0.2686285750015321,0.012010663095929797,-0.009830639171506617,0.7291914010740448,0.9,10.0,20.0
57,0.3058308701207322,0.005940668601381377,0.3318556218352841,0.32591495323390274,0.02602475171455193,-0.02008408311317056,0.6681443781647158,0.9,10.0,50.0
58,0.3207475008911726,0.007768421531135798,0.33609418714730904,0.32832576561617327,0.015346686256136444,-0.007578264725000672,0.6639058128526909,0.9,10.0,70.0
59,0.3354889899039885,0.01124342610169476,0.33609418714730904,0.3248507610456143,0.0006051972433205322,0.010638228858374232,0.6639058128526909,0.9,10.0,150.0
