,R²_A,R²_B,R²_AB,unique_A,unique_B,common,unexplained,suppression_strength,snr,mixing_dimension
47,0.6720424286776816,0.007765070728529956,0.7356641688494983,0.7278990981209683,0.06362174017181665,-0.05585666944328671,0.26433583115050174,0.5,50.0,70.0
36,0.6692424774161418,0.007765564864835967,0.732621414432654,0.7248558495678181,0.0633789370165122,-0.05561337215167628,0.26737858556734595,0.5,20.0,70.0
25,0.6595679587491526,0.007768421531135798,0.7221064837484407,0.7143380622173049,0.06253852499928803,-0.054770103468152254,0.27789351625155934,0.5,10.0,70.0
14,0.6250848943284275,0.007780023458983954,0.6846387156246515,0.6768586921656675,0.059553821296224,-0.05177379783724001,0.3153612843753485,0.5,5.0,70.0
46,0.5743834184859778,0.005945100455332286,0.6094997379009639,0.6035546374456316,0.03511631941498605,-0.0291712189596538,0.3905002620990361,0.5,50.0,50.0
35,0.5720108087624013,0.00594398950169045,0.6069987702767524,0.6010547807750619,0.03498796151435113,-0.029043972012660624,0.3930012297232476,0.5,20.0,50.0
24,0.5638016105928935,0.005940668601381377,0.5983512861889719,0.5924106175875905,0.034549675596078466,-0.02860900699469704,0.40164871381102807,0.5,10.0,50.0
13,0.5344983904342875,0.0059292347974285895,0.5674993752528649,0.5615701404554363,0.033000984818577384,-0.02707175002114881,0.43250062474713513,0.5,5.0,50.0
3,0.28903357427791376,0.007869760821485081,0.3201808863943328,0.3123111255728477,0.031147312116419024,-0.023277551294933918,0.6798191136056673,0.5,1.0,70.0
2,0.24725050401048812,0.005793436098148539,0.2653891382520847,0.2595957021539362,0.01813863424159659,-0.012345198143448033,0.7346108617479152,0.5,1.0,50.0
45,0.3475588580848814,0.002178095112312561,0.35357911499330424,0.3514010198809917,0.0060202569084228386,-0.0038421617961102994,0.6464208850066957,0.5,50.0,20.0
34,0.3461244076204024,0.0021784461324743216,0.352127777361552,0.3499493312290777,0.006003369741149567,-0.003824923608675257,0.647872222638448,0.5,20.0,20.0
23,0.34116428291495593,0.002180023924423201,0.34711019710405566,0.3449301731796325,0.0059459141890997325,-0.0037658902646765524,0.6528898028959443,0.5,10.0,20.0
12,0.3234521931156837,0.002186048108076796,0.32919488178362843,0.3270088336755516,0.005742688667944751,-0.0035566405598679296,0.6708051182163716,0.5,5.0,20.0
1,0.14918369094641745,0.0022332991485478513,0.15297396039926947,0.1507406612507216,0.0037902694528520187,-0.001556970304304156,0.8470260396007305,0.5,1.0,20.0
0,0.32705260085722104,0.011280448038880174,0.33091932246997136,0.3196388744310912,0.0038667216127503123,0.007413726426129863,0.6690806775300286,0.5,1.0,
10,0.32705260085722104,0.011280448038880174,0.3309193224699713,0.3196388744310911,0.003866721612750257,0.0074137264261299185,0.6690806775300286,0.5,1.0,250.0
7,0.32705260085722104,0.011280448038880175,0.3309193224699713,0.3196388744310911,0.003866721612750257,0.0074137264261299185,0.6690806775300286,0.5,1.0,120.0
9,0.32705260085722104,0.011280448038880172,0.3309193224699713,0.3196388744310911,0.003866721612750257,0.0074137264261299185,0.6690806775300286,0.5,1.0,190.0
8,0.32705260085722104,0.011280448038880172,0.3309193224699713,0.3196388744310911,0.003866721612750257,0.0074137264261299185,0.6690806775300286,0.5,1.0,180.0
5,0.32705260085722104,0.011280448038880174,0.3309193224699713,0.3196388744310911,0.003866721612750257,0.0074137264261299185,0.6690806775300286,0.5,1.0,200.0
4,0.32705260085722104,0.011280448038880174,0.3309193224699713,0.3196388744310911,0.003866721612750257,0.0074137264261299185,0.6690806775300286,0.5,1.0,150.0
6,0.32705260085722104,0.011280448038880172,0.33091932246997124,0.31963887443109107,0.0038667216127502013,0.007413726426129974,0.6690806775300288,0.5,1.0,300.0
16,0.7056507766767889,0.01124704816986755,0.7073787978082341,0.6961317496383665,0.001728021131445212,0.009519027038422334,0.2926212021917659,0.5,5.0,200.0
21,0.705650776676789,0.011247048169867546,0.7073787978082341,0.6961317496383665,0.001728021131445101,0.009519027038422445,0.2926212021917659,0.5,5.0,250.0
20,0.705650776676789,0.011247048169867548,0.7073787978082341,0.6961317496383665,0.001728021131445101,0.009519027038422445,0.2926212021917659,0.5,5.0,190.0
15,0.705650776676789,0.01124704816986755,0.7073787978082341,0.6961317496383665,0.001728021131445101,0.009519027038422445,0.2926212021917659,0.5,5.0,150.0
11,0.705650776676789,0.011247048169867544,0.7073787978082341,0.6961317496383665,0.001728021131445101,0.009519027038422445,0.2926212021917659,0.5,5.0,
19,0.705650776676789,0.01124704816986755,0.7073787978082341,0.6961317496383665,0.001728021131445101,0.009519027038422445,0.2926212021917659,0.5,5.0,180.0
17,0.705650776676789,0.011247048169867548,0.7073787978082341,0.6961317496383665,0.001728021131445101,0.009519027038422445,0.2926212021917659,0.5,5.0,300.0
18,0.705650776676789,0.011247048169867543,0.7073787978082341,0.6961317496383665,0.001728021131445101,0.009519027038422445,0.2926212021917659,0.5,5.0,120.0
22,0.7446172782810938,0.011243426101694756,0.7461249723908334,0.7348815462891387,0.0015076941097396102,0.009735731991955099,0.2538750276091666,0.5,10.0,
31,0.7446172782810938,0.01124342610169476,0.7461249723908334,0.7348815462891387,0.0015076941097396102,0.009735731991955099,0.2538750276091666,0.5,10.0,190.0
30,0.7446172782810938,0.011243426101694758,0.7461249723908334,0.7348815462891387,0.0015076941097396102,0.009735731991955099,0.2538750276091666,0.5,10.0,180.0
29,0.7446172782810938,0.011243426101694756,0.7461249723908334,0.7348815462891387,0.0015076941097396102,0.009735731991955099,0.2538750276091666,0.5,10.0,120.0
28,0.7446172782810938,0.011243426101694758,0.7461249723908334,0.7348815462891387,0.0015076941097396102,0.009735731991955099,0.2538750276091666,0.5,10.0,300.0
27,0.7446172782810938,0.011243426101694758,0.7461249723908334,0.7348815462891387,0.0015076941097396102,0.009735731991955099,0.2538750276091666,0.5,10.0,200.0
