red,unq1,unq2,syn,bi_mi_1,bi_mi_2,tri_mi
0.0,0.06803077478801413,0.0,0.024181495566827443,0.06803077478801413,0.0,0.09221227035484157
3.884136614876188e-05,0.06509190215456775,7.426559367473828e-13,0.019639011257326977,0.06513074352071652,3.884136689141102e-05,0.08476975477878615
0.00621783515544333,0.04676562294220473,8.790884686860068e-13,0.048592392737359165,0.05298345809764806,0.006217835156322418,0.10157585083588631
0.0009200916911105972,0.09446190795066092,8.195943923539062e-12,0.01904538188303645,0.09538199964177152,0.0009200916993065349,0.11442738153300391
0.00329010164410104,0.08731772577934374,1.6514567491299204e-15,0.013662938611899655,0.09060782742344478,0.003290101644102692,0.10427076603534609
4.892816782522957e-06,0.06606574130434889,7.359529652362085e-13,0.022146247619756837,0.06607063412113141,4.892817518471364e-06,0.0882168817416242
0.00039849214432514934,0.06930868161506147,3.729058728474399e-12,0.02892073944909311,0.06970717375938662,0.0003984921480542086,0.09862791321220879
0.00018566395751741516,0.07747618813390936,7.293096682126077e-12,0.03514432489122522,0.07766185209142677,0.00018566396481051607,0.11280617698994509
0.0003408488600185333,0.06853431977077318,4.4891868000718205e-13,0.017663622676966653,0.06887516863079171,0.00034084886046744755,0.08653879130820728
2.4758915320985397e-05,0.06829953968239744,1.601289933983452e-11,0.020733502597197265,0.06832429859771842,2.4758931333880292e-05,0.08905780121092859
8.920555464266011e-05,0.07929754453606606,3.1502578323738817e-14,0.02871318023981903,0.07938675009070872,8.920555467416799e-05,0.10809993033055926
3.872251713654684e-05,0.06280319722274404,1.2814457828191905e-11,0.019304469830860135,0.06284191973988058,3.872252995100285e-05,0.08214638958355518
0.0001443339175599273,0.0648132214435134,7.618905506490137e-15,0.02526507929831845,0.06495755536107332,0.00014433391756754667,0.09022263465939939
0.0003827537368469719,0.06698356814450035,1.3281042932078435e-14,0.026113222591784918,0.06736632188134732,0.00038275373686024616,0.09347954447314552
3.8501589608191944e-05,0.06795232213191267,1.9445695054187695e-12,0.021774142078306927,0.06799082372152086,3.8501591552763354e-05,0.08976496580177236
0.001464680492716794,0.08921609388835114,9.241357679101725e-12,0.01872309755537703,0.09068077438106793,0.0014646805019581568,0.10940387194568632
0.000980631751714936,0.07850062596867055,3.891817423884447e-12,0.015451907883516927,0.07948125772038549,0.0009806317556067562,0.09493316560779423
0.00022779352794752294,0.07546521321041699,4.747910398172905e-12,0.021437149359826213,0.07569300673836452,0.00022779353269543177,0.09713015610293864
0.00044865628029688853,0.0782822700449023,2.881639371565825e-12,0.018561178095734737,0.0787309263251992,0.0004486562831785298,0.09729210442381557
0.0035868593752639982,0.06336616979923675,1.3353804173554806e-11,0.03682086436904697,0.06695302917450074,0.0035868593886178033,0.10377389355690152
0.0005461060069648499,0.07138269020231432,5.0226350856164e-12,0.01827213485393149,0.07192879620927917,0.0005461060119874787,0.09020093106823329
0.000576338675723799,0.06091392714525021,2.5803872927276927e-12,0.012755969646213797,0.061490265820974006,0.0005763386783041838,0.07424623546976819
0.0038256798103086798,0.07881138634351914,1.926125925422184e-12,0.009595220631241574,0.08263706615382782,0.0038256798122348066,0.09223228678699552
0.0003604673635679151,0.06425173963478906,3.93904353579444e-12,0.01592325619332094,0.06461220699835697,0.0003604673675069552,0.08053546319561695
0.00013875937145720052,0.051304456146505036,5.782874179516284e-13,0.01875065386780376,0.051443215517962236,0.00013875937203548948,0.07019386938634428
0.0007398268270398661,0.06704671836701656,2.110811525568579e-14,0.03659899692031529,0.06778654519405643,0.0007398268270609697,0.10438554211439283
0.000903354785781324,0.061792586700721915,1.742857247410967e-11,0.03950025666624507,0.06269594148650325,0.0009033548032099008,0.10219619817017689
0.00018439020890435864,0.07410878203778219,1.7555401576885288e-13,0.021790976804420284,0.07429317224668655,0.0001843902090799086,0.09608414905128239
0.0025983232921327065,0.08021068980700598,1.5025342081642634e-12,0.016747159236629977,0.08280901309913868,0.0025983232936352446,0.0995561723372712
2.5395395827979006e-05,0.06576006092854697,1.2028433804545102e-12,0.02628843012634066,0.06578545632437495,2.5395397030817053e-05,0.09207388645191845
0.00014602579359104806,0.0541507585593452,1.072635036347691e-12,0.009965843734102732,0.05429678435293625,0.00014602579466368225,0.06426262808811162
0.0003536491295822036,0.07343370945422088,8.890110869685941e-14,0.016430931093101828,0.07378735858380309,0.000353649129671111,0.09021828967699382
0.0002440704141369321,0.055933454059256406,8.926193117986259e-14,0.021474919554531215,0.05617752447339334,0.0002440704142261916,0.07765244402801381
0.0006251625567833402,0.09089942498085626,6.42270958639557e-12,0.022502310699112224,0.0915245875376396,0.00062516256320605,0.11402689824317454
9.505007259033582e-06,0.061983024467160946,1.0165132624528894e-12,0.02210210347320058,0.06199252947441998,9.50500827554615e-06,0.08409463294863707
0.00043913464665873425,0.06722973064651287,1.898897705743252e-12,0.0201156016538718,0.0676688652931716,0.00043913464855762567,0.0877844669489423
0.00036072006182006483,0.06070846764098735,6.361994264736381e-13,0.0312921663472401,0.06106918770280741,0.00036072006245626393,0.09236135405068371
2.8045781797048086e-05,0.07147096115621306,7.993120054727854e-12,0.02274947832130471,0.0714990069380101,2.8045789790161263e-05,0.09424848526730793
4.4137896111628994e-07,0.0588326540631979,3.187991537423329e-12,0.024574675877768223,0.05883309544215902,4.4138214910583784e-07,0.08340777132311523
5.2204374600996195e-05,0.053215733914083664,3.1126490274147045e-13,0.016959685047979067,0.05326793828868466,5.2204374912262216e-05,0.07022762333697499
0.0013840874200612696,0.07000974501175658,1.2170056629123849e-11,0.013337972582381188,0.07139383243181785,0.001384087432231329,0.0847318050263691
2.0702361724980745e-05,0.0664331659340148,1.8218482278342663e-12,0.023034848904710845,0.06645386829573978,2.070236354683231e-05,0.08948871720227247
0.0005887186790063115,0.06061173941219704,1.5825854515760795e-11,0.029551779021959088,0.06120045809120335,0.0005887186948321692,0.09075223712898829
5.00726331305254e-05,0.05057292074737546,2.1139617834009528e-12,0.019144026992547004,0.050622993380505986,5.0072635244487944e-05,0.06976702037516695
0.0007097844521787577,0.06849467956248351,1.4512405166478004e-11,0.01494136171199599,0.06920446401466226,0.000709784466691158,0.08414582574117066
0.002124088373614094,0.07904869035777994,1.3829215550487106e-13,0.012061479284960097,0.08117277873139403,0.0021240883737523885,0.09323425801649242
0.0024915998159165953,0.06224234713352805,1.502270530195915e-12,0.03715639499684538,0.06473394694944465,0.0024915998174188637,0.1018903419477923
0.000479115938834207,0.09052306997008736,1.109667913112844e-13,0.024946454846852803,0.09100218590892156,0.00047911593894516745,0.11594864075588533
0.0015746184165525284,0.09350311158552317,2.8449465006019636e-15,0.02122210640600007,0.0950777300020757,0.0015746184165553766,0.11629983640807862
0.0023435609346950798,0.07206261592467204,1.485410405788201e-11,0.012920090332933176,0.07440617685936712,0.0023435609495491864,0.0873262672071544
0.0006429215635620072,0.06662707046754231,7.464626139430663e-12,0.017126387443903227,0.06726999203110431,0.0006429215710266399,0.08439637948247217
