config_json,"{""all_runs_results_prefix"": ""seed_runs"", ""method"": ""ridge_cv"", ""n"": 10000, ""n_seeds"": 5000, ""p"": 100, ""progress_print_every"": 100, ""r_str"": 30, ""results_dir"": ""/home/ohadshee/Desktop/Thesis_Ohad_Sheelo/simulation_results/turned_off_unique"", ""results_prefix"": ""seed_summary"", ""seed_start"": 0, ""snr"": 10, ""test_name"": ""turned_off_unique"", ""u1_str"": 15, ""u2_str"": 2}"

metric,mean,std
CA_R²_X1,0.986450260256022,2.0158005594125544e-05
CA_R²_X2,0.7906129230467739,0.0003648281697427331
CA_R²_X12,0.9863900499315874,2.0319631727494748e-05
CA_unique_X1,0.19577712688481347,0.0003612837456940213
CA_unique_X2,-6.021032443458463e-05,2.8176994604226935e-06
CA_common,0.7906731333712085,0.0003644034620224212
CA_unexplained,0.013609950068412592,2.0319631727494748e-05
PID_red,77.39820280805297,0.08628045940769605
PID_unq1,138.19363901099126,0.1027544714588265
PID_unq2,1.300688076164019,0.01038780650645331
PID_syn,-3.012701199622825e-16,2.8243302589212892e-14
I(M1;T),215.5918418190443,0.0745856429782972
I(M2;T),78.69889088421701,0.08724311180198692
"I(M1,M2;T)",216.89252989520827,0.0748649223502894
